,Address,Price,Rental_type,Sqfeet,Boro,Agency,Beds,Baths
699,"660 St Marks Avenue, 2 - Crown Heights, New York",5500,Condo,"Approximate Sq. Feet: 2,000",Brooklyn,Elliman,3 Beds, 2 Baths 
700,"21 India Street, 37D - Greenpoint, New York",5500,"Condo, Doorman","Approximate Sq. Feet: 1,194",Brooklyn,Elliman,2 Beds, 2 Baths
701,"388 Bridge Street, 38H - Downtown Brooklyn, New York",5500,"Condo, Doorman","Approximate Sq. Feet: 1,170",Brooklyn,Elliman,2 Beds, 2 Baths
702,"411 Degraw Street, 1 - Gowanus, New York",5495,Rental,Listing ID: 3748181,Brooklyn,Elliman,2 Beds, 1 Bath
703,"THE EDGE CONDOMINIUM, 22 North 6th Street, 3L - Williamsburg, New York",5495,"Condo, Doorman",Listing ID: 3893944,Brooklyn,Elliman,2 Beds, 2 Baths
704,"Caton Pl - Kensington, New York",5462,Rental,"Approximate Sq. Feet: 1,382",Brooklyn,Elliman,3 Beds, 2 Baths
705,"1 North 4th Pl, 20K - Williamsburg, New York",5431,"Rental, Doorman","Approximate Sq. Feet: 1,038",Brooklyn,Elliman,2 Beds, 2 Baths
706,"50 North 5th Street, W6D - Williamsburg, New York",5425,"Condo, Doorman",Listing ID: 3888953,Brooklyn,Elliman,2 Beds, 2 Baths
707,"441 1st Street, 2L - Park Slope, New York",5400,Rental,Listing ID: 3867365,Brooklyn,Elliman,3 Beds, 2 Baths
708,"21 India Street, T1911 - Greenpoint, New York",5380,"Condo, Doorman",Listing ID: 3887077,Brooklyn,Elliman,2 Beds, 2 Baths
709,"30 Washington Street, 1J - Dumbo, New York",5375,Rental,Approximate Sq. Feet: 864,Brooklyn,Elliman,2 Beds, 2 Baths
710,"220 Water Street, 223 - Dumbo, New York",5350,"Rental, Doorman",Approximate Sq. Feet: 971,Brooklyn,Elliman,2 Beds, 1 Bath
711,"263 Adelphi Street, 1 - Fort Greene, New York",5300,Rental,Listing ID: 3825623,Brooklyn,Elliman,3 Beds, 2 Baths
712,"18 Dikeman Street, 2C - Red Hook, New York",5300,Condo,Listing ID: 3868476,Brooklyn,Elliman,3 Beds, 2 Baths
713,"29 Willow Street, 4R - Brooklyn Heights, New York",5300,Rental,"Approximate Sq. Feet: 1,000",Brooklyn,Elliman,1 Bed, 1 Bath
714,"80 METROPOLITAN, 80 Metropolitan Avenue, 2S - Williamsburg, New York",5300,"Condo, Doorman","Approximate Sq. Feet: 1,050",Brooklyn,Elliman,Loft, 2 Beds 
715,"150 Myrtle Avenue, 2301 - Downtown Brooklyn, New York",5300,"Condo, Doorman","Approximate Sq. Feet: 1,113",Brooklyn,Elliman,2 Beds, 2 Baths
716,"The Nevins, 319 Schermerhorn Street, 15B - Boerum Hill, New York",5300,"Condo, Doorman","Approximate Sq. Feet: 1,048",Brooklyn,Elliman,2 Beds, 2 Baths
717,"529 5th Street, 1R - Park Slope, New York",5295,Rental,"Approximate Sq. Feet: 1,600",Brooklyn,Elliman,4 Beds, 2 Baths
718,"The ARIAS, 150 Fourth Avenue, 10A - Park Slope, New York",5295,"Rental, Doorman",Listing ID: 3895562,Brooklyn,Elliman,2 Beds, 2 Baths
719,"181 Front, 181 Front Street, 2C - Dumbo, New York",5292,Rental,Listing ID: 3860276,Brooklyn,Elliman,2 Beds, 2 Baths
720,"88 Atlantic Avenue, 2B1 - Brooklyn Heights, New York",5292,Rental,Listing ID: 3889621,Brooklyn,Elliman,3 Beds, 2 Baths
721,"305 McGuinness Boulevard, 5A - Greenpoint, New York",5250,Condo,Listing ID: 3828202,Brooklyn,Elliman,Loft, 2 Beds 
722,"94 North 3rd Street, 6D - Williamsburg, New York",5200,Rental,Listing ID: 3873721,Brooklyn,Elliman,2 Beds, 1 Bath
723,"862 Union Street, 1B - Park Slope, New York",5200,Rental,Listing ID: 3886803,Brooklyn,Elliman,3 Beds, 2 Baths
724,"222 Lincoln Pl, 2 - Park Slope, New York",5200,Rental,Listing ID: 3863481,Brooklyn,Elliman,2 Beds, 1 Bath
725,"94 North 3rd Street, 5F - Williamsburg, New York",5200,Rental,Listing ID: 3873722,Brooklyn,Elliman,2 Beds, 1 Bath
726,"429 Kent Avenue, 804 - Brooklyn, New York",5200,Rental,"Approximate Sq. Feet: 1,176",Brooklyn,Elliman,2 Beds, 2 Baths
727,"88 Withers Street, 6D - Williamsburg, New York",5200,Condo,Approximate Sq. Feet: 918,Brooklyn,Elliman,2 Beds, 1 Bath
728,"236 North 7th Street, 1L - Williamsburg, New York",5200,Rental,"Approximate Sq. Feet: 1,475",Brooklyn,Elliman,2 Beds, 1 Bath 
729,"OOSTEN, 429 Kent Avenue, 804 - Williamsburg, New York",5200,"Condo, Doorman","Approximate Sq. Feet: 1,176",Brooklyn,Elliman,Loft, 2 Beds 
730,"146 Pierrepont Street, 1F2 - Brooklyn Heights, New York",5169,Rental,Listing ID: 3856068,Brooklyn,Elliman,1 Bed, 1 Bath
731,"415 Red Hook Ln, 21C - Downtown Brooklyn, New York",5155,Rental,Listing ID: 3892781,Brooklyn,Elliman,2 Beds, 2 Baths
732,"60 South 8th Street, 809 - Williamsburg, New York",5150,Condo,Listing ID: 3895246,Brooklyn,Elliman,2 Beds, 2 Baths
733,"60 South 8th Street, 903 - Williamsburg, New York",5150,Condo,Listing ID: 3895168,Brooklyn,Elliman,2 Beds, 2 Baths
734,"29 Willow Street, 5L - Brooklyn Heights, New York",5100,Rental,Listing ID: 1410023,Brooklyn,Elliman,1 Bed, 1 Bath
735,"651 New York Avenue, PH - Prospect-Lefferts Gardens, New York",5076,Condo,"Approximate Sq. Feet: 1,713",Brooklyn,Elliman,3 Beds, 2 Baths
736,"Fifth & Wythe, 55 North 5th Street, 501WW - Williamsburg, New York",5067,"Condo, Doorman",Listing ID: 3878261,Brooklyn,Elliman,2 Beds, 2 Baths
737,"Clover House, 107 Columbia Hts, 11E - Brooklyn Heights, New York",5041,Rental,Approximate Sq. Feet: 609,Brooklyn,Elliman,1 Bed, 1 Bath
738,"The Amberly, 120 Nassau Street, 10J1 - Dumbo, New York",5035,"Rental, Doorman",Approximate Sq. Feet: 754,Brooklyn,Elliman,1 Bed, 1 Bath
739,"802 Avenue U - Gravesend, New York",5000,Rental,Listing ID: 429161,Brooklyn,Elliman,Studio,
740,"816 51 Street - Sunset Park, New York",5000,Rental,"Approximate Sq. Feet: 1,280 | Approximate Exterior Sq. Ft: 2003 Sq Ft",Brooklyn,Elliman,Studio,
742,"6204 5 Avenue - Sunset Park, New York",5000,Rental,Approximate Exterior Sq. Ft: 2000 Sq Ft,Brooklyn,Elliman,Studio,
743,"607 Manhattan Avenue, 6 - Greenpoint, New York",5000,Condo,Listing ID: 3879576,Brooklyn,Elliman,2 Beds, 2 Baths
744,"75 Livingston Street, 2A - Brooklyn Heights, New York",5000,"Cooperative, Doorman","Approximate Sq. Feet: 1,700",Brooklyn,Elliman,2 Beds, 1 Bath
745,"180 Nassau Street, 2A - Dumbo, New York",5000,"Rental, Doorman",Approximate Sq. Feet: 839,Brooklyn,Elliman,2 Beds, 2 Baths
746,"184 Eagle Street, MEDICALSPA - Greenpoint, New York",5000,Rental,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,Loft, 1 Bath
747,"46 South 2nd Street, 1C - Williamsburg, New York",5000,Condo,"Approximate Sq. Feet: 1,524",Brooklyn,Elliman,2 Beds, 3 Baths
748,"468 Warren Street, 2 - Boerum Hill, New York",5000,Condo,Approximate Sq. Feet: 995,Brooklyn,Elliman,2 Beds, 2 Baths
749,"13 4th Street, 1 - Carroll Gardens, New York",5000,Rental,Listing ID: 3855977,Brooklyn,Elliman,3 Beds, 2 Baths
750,"90 Atlantic Avenue, 2A - Cobble Hill, New York",5000,Rental,Listing ID: 3866184,Brooklyn,Elliman,3 Beds, 2 Baths
751,"271 Jefferson Avenue, 1 - Bedford - Stuyvesant, New York",5000,Multi-Family,"Approximate Sq. Feet: 1,800",Brooklyn,Elliman,3 Beds, 2 Baths 
752,"MERCHANT HOUSE, 618 Dean Street, 1E - Prospect Heights, New York",5000,Condo,"Approximate Sq. Feet: 2,342",Brooklyn,Elliman,2 Beds, 3 Baths
753,"Bridge Harbor Heights, 75 Poplar Street, 2J - Brooklyn Heights, New York",5000,Condo,"Approximate Sq. Feet: 1,080",Brooklyn,Elliman,2 Beds, 1 Bath 
754,"420 Kent Avenue, 6172A - Williamsburg, New York",4999,"Rental, Doorman",Listing ID: 3852093,Brooklyn,Elliman,2 Beds, 1 Bath
755,"1 NORTHSIDE PIERS, 4 North 5th Street, 5B - Williamsburg, New York",4995,"Condo, Doorman","Approximate Sq. Feet: 1,133",Brooklyn,Elliman,2 Beds, 2 Baths
756,"308 Eckford Street, 7A - Williamsburg, New York",4995,Rental,"Approximate Sq. Feet: 1,240",Brooklyn,Elliman,2 Beds, 2 Baths
757,"11 Montgomery Pl, 3 - Park Slope, New York",4995,Multi-Family,"Approximate Sq. Feet: 1,300",Brooklyn,Elliman,2 Beds, 2 Baths
758,"92 Atlantic Avenue, 3A - Cobble Hill, New York",4981,Rental,Listing ID: 3888175,Brooklyn,Elliman,3 Beds, 2 Baths
759,"181 Front, 181 Front Street, 11A - Dumbo, New York",4964,Rental,Listing ID: 3862029,Brooklyn,Elliman,1 Bed, 1 Bath
760,"440 Kent Avenue, 18D - Williamsburg, New York",4950,"Condo, Doorman","Approximate Sq. Feet: 1,222",Brooklyn,Elliman,Loft, 2 Beds 
761,"1 North 4th Pl, 22I - Williamsburg, New York",4944,"Rental, Doorman",Approximate Sq. Feet: 904,Brooklyn,Elliman,2 Beds, 2 Baths
762,"520 76th Street - Bay Ridge, New York",4900,Rental,Approximate Exterior Sq. Ft: 1880 Sq Ft,Brooklyn,Elliman,5 Beds, 2 Baths
764,"Courthouse Apartments, 125 Court Street, 6NE - Brooklyn Heights, New York",4900,"Rental, Doorman","Approximate Sq. Feet: 1,006",Brooklyn,Elliman,2 Beds, 2 Baths
765,"555 10th Street, 17G - Park Slope, New York",4895,Multi-Family,Listing ID: 3637122,Brooklyn,Elliman,1 Bed, 1 Bath
766,"Urban Eagle, 171 Eagle Street, 1A - Greenpoint, New York",4895,Condo,"Approximate Sq. Feet: 1,073",Brooklyn,Elliman,2 Beds, 2 Baths
767,"The Amberly, 120 Nassau Street, 19K - Dumbo, New York",4860,"Rental, Doorman",Listing ID: 3845739,Brooklyn,Elliman,1 Bed, 1 Bath
768,"PHOTO GALLERY BUILD, 425 Keap Street, 4D - Williamsburg, New York",4850,Rental,Listing ID: 3805879,Brooklyn,Elliman,Loft, 1 Bed 
769,"574 Eastern Parkway - Crown Heights, New York",4850,Single Family Townhouse,"Approximate Sq. Feet: 2,082",Brooklyn,Elliman,5 Beds, 3 Baths 
770,"The Amberly, 120 Nassau Street, 24C - Dumbo, New York",4820,"Rental, Doorman",Listing ID: 3845738,Brooklyn,Elliman,1 Bed, 1 Bath
771,"21 India Street, T1804 - Greenpoint, New York",4820,"Condo, Doorman",Listing ID: 3867861,Brooklyn,Elliman,1 Bed, 1 Bath
772,"Lincoln Place, 364 Lincoln Pl, E5 - Prospect Heights, New York",4815,Rental,Listing ID: 3877946,Brooklyn,Elliman,3 Beds, 2 Baths 
773,"267 Powers Street, RR2 - Williamsburg, New York",4800,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,4 Beds, 2 Baths
774,"2550 Coney Island Avenue - Gravesend, New York",4800,Rental,Listing ID: 429299,Brooklyn,Elliman,Studio,
775,"655 East 92nd Street, TWNH - Remsen Village, New York",4800,Single Family Townhouse,"Approximate Sq. Feet: 2,358",Brooklyn,Elliman,3 Beds, 2 Baths
776,"368 Myrtle Avenue, D - Fort Greene, New York",4795,Condo,Listing ID: 3877945,Brooklyn,Elliman,4 Beds, 2 Baths
777,"144 Fourth Avenue, 2 - Park Slope, New York",4792,Rental,"Approximate Sq. Feet: 1,000",Brooklyn,Elliman,3 Beds, 1 Bath 
778,"180 Myrtle Avenue, 15N - Fort Greene, New York",4780,Rental,Approximate Sq. Feet: 830,Brooklyn,Elliman,2 Beds, 1 Bath
779,"290 Kings Highway - Gravesend, New York",4750,Rental,"Approximate Sq. Feet: 1,100 | Approximate Exterior Sq. Ft: 1630 Sq Ft",Brooklyn,Elliman,Studio,
780,"200 Schermerhorn Street, RETAIL2 - Boerum Hill, New York",4750,"Rental, Doorman",Approximate Sq. Feet: 834,Brooklyn,Elliman,Studio, 1 Bath
781,"499 Grand Street, 3R - Williamsburg, New York",4750,Rental,Approximate Sq. Feet: 6,Brooklyn,Elliman,4 Beds, 1 Bath
782,"220 Water Street, 427 - Dumbo, New York",4750,"Rental, Doorman",Approximate Sq. Feet: 862,Brooklyn,Elliman,1 Bed, 1 Bath
783,"Park Ilona, The, 150 North 12th Street, 5E - Williamsburg, New York",4750,Rental,Listing ID: 3884924,Brooklyn,Elliman,2 Beds, 2 Baths
784,"The Amberly, 120 Nassau Street, 20J - Dumbo, New York",4730,"Rental, Doorman",Listing ID: 3834209,Brooklyn,Elliman,1 Bed, 1 Bath
785,"180 Myrtle Avenue, 16A - Fort Greene, New York",4721,Rental,Approximate Sq. Feet: 842,Brooklyn,Elliman,1 Bed, 1 Bath
786,"101 Norman Avenue, 3 - Greenpoint, New York",4700,Multi-Family,Listing ID: 3891987,Brooklyn,Elliman,3 Beds, 2 Baths
787,"185 South 4th Street, 3A - Williamsburg, New York",4700,"Rental, Doorman","Approximate Sq. Feet: 1,000",Brooklyn,Elliman,3 Beds, 2 Baths
788,"The Refinery, 490 Myrtle Avenue, 7K - Fort Greene, New York",4696,Condo,Listing ID: 3886986,Brooklyn,Elliman,2 Beds, 2 Baths
789,"180 Myrtle Avenue, 16B - Fort Greene, New York",4695,Rental,Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
790,"555 10th Street, 14L - Park Slope, New York",4695,Multi-Family,Listing ID: 3637121,Brooklyn,Elliman,1 Bed, 1 Bath
791,"The Amberly, 120 Nassau Street, B28 - Dumbo, New York",4680,"Rental, Doorman",Approximate Sq. Feet: 814,Brooklyn,Elliman,1 Bed, 1 Bath
792,"44 Berry Street, 5C - Williamsburg, New York",4665,Condo,Listing ID: 3887329,Brooklyn,Elliman,3 Beds, 1 Bath
793,"Gair2, 25 Washington Street, 5B - Dumbo, New York",4650,Rental,Approximate Sq. Feet: 687,Brooklyn,Elliman,Loft, 2 Beds 
794,"99 ATLANTIC Avenue, 4 - Brooklyn Heights, New York",4650,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 1 Bath
795,"331 South 1st Street, 1 - Williamsburg, New York",4650,Multi-Family,Listing ID: 3879587,Brooklyn,Elliman,3 Beds, 1 Bath
796,"420 Kent Avenue, 3011B - Williamsburg, New York",4615,"Rental, Doorman",Listing ID: 3892770,Brooklyn,Elliman,1 Bed, 1 Bath
797,"214 Macon Street, 2 - Bedford - Stuyvesant, New York",4600,Condo,"Approximate Sq. Feet: 1,575",Brooklyn,Elliman,4 Beds, 3 Baths
798,"8015 5 Avenue - Bay Ridge, New York",4600,Rental,"Approximate Sq. Feet: 1,440",Brooklyn,Elliman,Studio,
799,"28 South Oxford Street, 5 - Fort Greene, New York",4600,Rental,Approximate Sq. Feet: 600,Brooklyn,Elliman,2 Beds, 1 Bath
800,"50 Bridge Street, 318 - Dumbo, New York",4600,"Condo, Doorman",Approximate Sq. Feet: 785,Brooklyn,Elliman,Loft, 1 Bed 
801,"The Amberly, 120 Nassau Street, 22K - Dumbo, New York",4583,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
802,"The Amberly, 120 Nassau Street, F28 - Dumbo, New York",4580,"Rental, Doorman",Approximate Sq. Feet: 812,Brooklyn,Elliman,1 Bed, 1 Bath
803,"125 Parkside Avenue, 4C - Prospect Park South, New York",4570,Rental,Listing ID: 3888580,Brooklyn,Elliman,2 Beds, 2 Baths
804,"The Amberly, 120 Nassau Street, 27C - Dumbo, New York",4565,"Rental, Doorman",Approximate Sq. Feet: 817,Brooklyn,Elliman,1 Bed, 1 Bath
805,"1 North 4th Pl, 17D - Williamsburg, New York",4550,"Rental, Doorman",Approximate Sq. Feet: 922,Brooklyn,Elliman,2 Beds, 2 Baths
806,"The Amberly, 120 Nassau Street, 21K - Dumbo, New York",4538,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
807,"The Amberly, 120 Nassau Street, 26C - Dumbo, New York",4538,"Rental, Doorman",Approximate Sq. Feet: 817,Brooklyn,Elliman,1 Bed, 1 Bath
808,"180 Myrtle Avenue, 15P - Fort Greene, New York",4533,Rental,Approximate Sq. Feet: 830,Brooklyn,Elliman,2 Beds, 1 Bath
809,"200 Franklin Street, 7B - Greenpoint, New York",4515,Rental,Listing ID: 3892857,Brooklyn,Elliman,2 Beds, 1 Bath
810,"2278 Flatbush Avenue - Marine Park, New York",4500,Rental,"Approximate Sq. Feet: 1,260 | Approximate Exterior Sq. Ft: 2000 Sq Ft",Brooklyn,Elliman,Studio,
811,"208 Starr St, 1L - Bushwick, New York",4500,Rental,Listing ID: 3530430,Brooklyn,Elliman,4 Beds, 1 Bath 
812,"509 Dean Street, 1LSB - Prospect Heights, New York",4500,Multi-Family,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,4 Beds, 1 Bath
813,"1161 Halsey Street, 1 - Bushwick, New York",4500,Rental,Listing ID: 3837630,Brooklyn,Elliman,3 Beds, 3 Baths
814,"667 Washington Avenue, COMMERCIAL - Prospect Heights, New York",4500,Condo,"Approximate Sq. Feet: 1,460",Brooklyn,Elliman,Studio, 1 Bath 
815,"459 Keap Street, R1 - Williamsburg, New York",4500,Rental,Approximate Sq. Feet: 450,Brooklyn,Elliman,1 Bed, 1 Bath
816,"2908 Emmons Avenue - Sheepshead Bay, New York",4500,Rental,Listing ID: 427093,Brooklyn,Elliman,Studio,
817,"1695 Albany Avenue, 2 - East Flatbush, New York",4500,Rental,"Approximate Sq. Feet: 2,300",Brooklyn,Elliman,4 Beds, 3 Baths
818,"50 North 1st Street, 3H - Williamsburg, New York",4500,Rental,Listing ID: 3841012,Brooklyn,Elliman,2 Beds, 1 Bath
819,"321 Putnam Avenue, 3L - Clinton Hill, New York",4500,Rental,Listing ID: 3797366,Brooklyn,Elliman,Loft, 5 Beds 
820,"180 Nassau Street, 8K - Dumbo, New York",4500,"Rental, Doorman",Approximate Sq. Feet: 958,Brooklyn,Elliman,2 Beds, 2 Baths
821,"202 W 9th Street, 2A - Brooklyn, New York",4500,Rental,Listing ID: 5004254,Brooklyn,Elliman,3 Beds, 2 Baths
822,"The Amberly, 120 Nassau Street, 20K - Dumbo, New York",4500,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
823,"76 Pierrepont Street, 3 - Brooklyn Heights, New York",4500,Condo,Listing ID: 3874281,Brooklyn,Elliman,1 Bed, 1 Bath
824,"442 Sterling Pl, 2 - Prospect Heights, New York",4500,Rental,Listing ID: 3725079,Brooklyn,Elliman,3 Beds, 1 Bath
825,"682 Union Street, 3A - Park Slope, New York",4500,Rental,"Approximate Sq. Feet: 1,400",Brooklyn,Elliman,1 Bed, 1 Bath
826,"319 Union Street, 1 - Carroll Gardens, New York",4500,Rental,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,3 Beds, 1 Bath
827,"144 N. 8TH STREET, 144 North 8th Street, 12C - Williamsburg, New York",4500,"Condo, Doorman",Approximate Sq. Feet: 754,Brooklyn,Elliman,1 Bed, 1 Bath
828,"190 North 9th Street, 607 - Williamsburg, New York",4500,Rental,Approximate Sq. Feet: 913,Brooklyn,Elliman,1 Bed, 1 Bath
829,"BROADWAY CONDOMINIUM, 154 Broadway, 2 - Williamsburg, New York",4500,Condo,Listing ID: 3785078,Brooklyn,Elliman,1 Bed, 1 Bath
830,"307 Baltic Street, 4A - Cobble Hill, New York",4500,Condo,Listing ID: 3869124,Brooklyn,Elliman,2 Beds, 1 Bath
831,"63 North 3rd Street, 314 - Williamsburg, New York",4500,Rental,Approximate Sq. Feet: 900,Brooklyn,Elliman,Loft, 1 Bed 
832,"9inety North 5ifth, 90 North 5th Street, 2A - Williamsburg, New York",4500,"Condo, Doorman",Approximate Sq. Feet: 901,Brooklyn,Elliman,2 Beds, 2 Baths
833,"LANDMARK PENCIL FAC, 59 Kent Street, 3B - Greenpoint, New York",4500,Rental,Listing ID: 3883881,Brooklyn,Elliman,Loft, 2 Beds 
834,"202 West 9th Street, 2A - Park Slope, New York",4500,Condo,Listing ID: 3887987,Brooklyn,Elliman,3 Beds, 2 Baths
835,"39 Plaza Street West, 6C - Park Slope, New York",4500,"Cooperative, Doorman",Approximate Sq. Feet: 930,Brooklyn,Elliman,2 Beds, 2 Baths
836,"214 Clinton Street, 2C - Brooklyn Heights, New York",4500,Rental,Listing ID: 3865866,Brooklyn,Elliman,2 Beds, 1 Bath
837,"285 Halsey Street, 2 - Bedford - Stuyvesant, New York",4500,Condo,Listing ID: 3884371,Brooklyn,Elliman,2 Beds, 3 Baths
838,"180 Nassau Street, 7A - Dumbo, New York",4500,"Rental, Doorman",Approximate Sq. Feet: 842,Brooklyn,Elliman,2 Beds, 1 Bath
839,"Clover House, 107 Columbia Hts, 11A - Brooklyn Heights, New York",4500,Rental,Listing ID: 3871879,Brooklyn,Elliman,1 Bed, 1 Bath
840,"420 Kent Avenue, PH031A - Williamsburg, New York",4499,"Rental, Doorman",Listing ID: 3883429,Brooklyn,Elliman,1 Bed, 1 Bath
841,"360 Furman Street, 342 - Brooklyn Heights, New York",4499,"Condo, Doorman",Approximate Sq. Feet: 908,Brooklyn,Elliman,1 Bed, 1 Bath
843,"152 Carroll Street, 1B - Carroll Gardens, New York",4495,Rental,"Approximate Sq. Feet: 1,300",Brooklyn,Elliman,3 Beds, 1 Bath
844,"Nassau On The Park, 229 Nassau Avenue, GARDEN - Greenpoint, New York",4475,Rental,Approximate Sq. Feet: 900,Brooklyn,Elliman,2 Beds, 1 Bath
845,"51 Irving Pl, 6K - Clinton Hill, New York",4457,Rental,Listing ID: 3894484,Brooklyn,Elliman,Studio, 1 Bath
846,"51 Irving Pl, 6H - Clinton Hill, New York",4457,Rental,Listing ID: 3894483,Brooklyn,Elliman,Studio, 1 Bath
847,"The Amberly, 120 Nassau Street, 25C - Dumbo, New York",4455,"Rental, Doorman",Approximate Sq. Feet: 817,Brooklyn,Elliman,1 Bed, 1 Bath
848,"220 Water Street, 428 - Dumbo, New York",4450,"Rental, Doorman",Approximate Sq. Feet: 673,Brooklyn,Elliman,1 Bed, 1 Bath
849,"BRIDGE TOWER, 74 South 4th Street, 1B - Williamsburg, New York",4450,Rental,"Approximate Sq. Feet: 1,100",Brooklyn,Elliman,3 Beds, 1 Bath 
850,"null, 233 MADISON Street, 1 - Bedford - Stuyvesant, New York",4450,Condo,"Approximate Sq. Feet: 2,000",Brooklyn,Elliman,3 Beds, 2 Baths
851,"141 Broadway, 3 - Williamsburg, New York",4450,Rental,Listing ID: 3891620,Brooklyn,Elliman,Loft, 2 Beds 
852,"21 India Street, T1503 - Greenpoint, New York",4430,"Condo, Doorman",Listing ID: 3880316,Brooklyn,Elliman,1 Bed, 1 Bath
853,"Clover House, 107 Columbia Hts, 2A - Brooklyn Heights, New York",4430,Rental,Approximate Sq. Feet: 891,Brooklyn,Elliman,2 Beds, 2 Baths
854,"180 Myrtle Avenue, 10N - Fort Greene, New York",4423,Rental,Approximate Sq. Feet: 830,Brooklyn,Elliman,2 Beds, 1 Bath
855,"The Amberly, 120 Nassau Street, 18K - Dumbo, New York",4415,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
856,"The Amberly, 120 Nassau Street, 18K1 - Dumbo, New York",4415,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
857,"410 Utica Avenue - Crown Heights, New York",4400,Rental,Listing ID: 425567,Brooklyn,Elliman,Studio,
858,"289 Fifth Avenue, 3 - Park Slope, New York",4400,Condo,"Approximate Sq. Feet: 1,400",Brooklyn,Elliman,3 Beds, 2 Baths
859,"487 Keap Street, 403 - Williamsburg, New York",4400,Condo,Listing ID: 3883307,Brooklyn,Elliman,2 Beds, 2 Baths
860,"2326 E 19 Street - Homecrest, New York",4400,Rental,"Approximate Sq. Feet: 1,012 | Approximate Exterior Sq. Ft: 2300 Sq Ft",Brooklyn,Elliman,5 Beds, 2 Baths
861,"951 Prospect Pl, 2R - Crown Heights, New York",4400,Condo,"Approximate Sq. Feet: 1,000",Brooklyn,Elliman,4 Beds, 2 Baths
862,"166 Kingsland Avenue, 1A - Greenpoint, New York",4400,Rental,Listing ID: 3866213,Brooklyn,Elliman,4 Beds, 1 Bath 
863,"60 South 8th Street, 731 - Williamsburg, New York",4400,Condo,Listing ID: 3895247,Brooklyn,Elliman,1 Bed, 1 Bath 
864,"214 North 11th Street, 5C - Williamsburg, New York",4400,"Condo, Doorman","Approximate Sq. Feet: 1,054",Brooklyn,Elliman,2 Beds, 2 Baths
865,"467 Keap Street, 5A - Williamsburg, New York",4395,Condo,Listing ID: 3890864,Brooklyn,Elliman,2 Beds, 2 Baths
866,"The Amberly, 120 Nassau Street, K17 - Dumbo, New York",4380,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
867,"The Amberly, 120 Nassau Street, 17K1 - Dumbo, New York",4380,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
868,"Level, 2 North 6th Pl, 24F - Williamsburg, New York",4365,Rental,Approximate Sq. Feet: 658,Brooklyn,Elliman,1 Bed, 1 Bath
869,"319 South 5th Street, 4 - Williamsburg, New York",4350,Multi-Family,Approximate Sq. Feet: 900,Brooklyn,Elliman,3 Beds, 2 Baths
870,"1 MacDonough Street, 2N - Bedford - Stuyvesant, New York",4350,Rental,Listing ID: 3888805,Brooklyn,Elliman,4 Beds, 2 Baths
871,"The Amberly, 120 Nassau Street, 16K - Dumbo, New York",4335,"Rental, Doorman",Approximate Sq. Feet: 780,Brooklyn,Elliman,1 Bed, 1 Bath
873,"1419 Eighth Avenue, G - Park Slope, New York",4308,Condo,Listing ID: 3874288,Brooklyn,Elliman,3 Beds, 2 Baths
874,"East Flatbush, New York",4300,Rental,"Approximate Sq. Feet: 2,222",Brooklyn,Elliman,Studio,
875,"544 State Street, GARDEN - Boerum Hill, New York",4300,Rental,Listing ID: 3867522,Brooklyn,Elliman,2 Beds, 2 Baths
876,"305 McGuinness Boulevard, 4C - Greenpoint, New York",4300,Condo,"Approximate Sq. Feet: 1,105",Brooklyn,Elliman,2 Beds, 1 Bath
877,"115 Henry Street, 3C - Brooklyn Heights, New York",4300,Rental,Listing ID: 3883485,Brooklyn,Elliman,2 Beds, 1 Bath
878,"823 Carroll Street, 3. - Park Slope, New York",4300,Rental,Listing ID: 3863998,Brooklyn,Elliman,2 Beds, 1 Bath
879,"45 Newel Street, 5B - Greenpoint, New York",4300,Rental,Listing ID: 3890301,Brooklyn,Elliman,3 Beds, 1 Bath
880,"PHOTO GALLERY BUILD, 425 Keap Street, 4A - Williamsburg, New York",4300,Rental,"Approximate Sq. Feet: 1,200",Brooklyn,Elliman,1 Bed, 1 Bath
881,"OOSTEN, 429 Kent Avenue, 835 - Williamsburg, New York",4300,"Condo, Doorman",Approximate Sq. Feet: 909,Brooklyn,Elliman,Loft, 1 Bed 
882,"BOULEVARD EAST, 53 Boerum Pl, 10B - Boerum Hill, New York",4300,"Condo, Doorman",Approximate Sq. Feet: 970,Brooklyn,Elliman,2 Beds, 2 Baths
