Address,Price,Description,Neighborhood,Boro
"43 West 64th Street, Apt. 3B",8700,"1 Bed / 2 Baths / 1,688 Sq. Ft. / Condo",Upper West Side,Manhattan
"421 Hudson Street, Apt. 404",15000,"2 Beds / 2 Baths / 1,900 Sq. Ft. / Condo",West Village,Manhattan
"486 Broadway, Apt. PH",13500,"2 Beds / 2 Baths / 2,196 Sq. Ft. / Rental",Soho/Nolita,Manhattan
"364 West 116th Street, Apt. 3B",2337,2 Beds / 1 Bath / Rental,Morningside Heights,Manhattan
"212 West 16th Street, Apt. 1W",2395,Multi-Family Townhouse,Chelsea/Hudson Yards,Manhattan
"355 East 4th Street, Apt. 5A",3400,3 Beds / 1 Bath / Rental,East Village,Manhattan
"107 West 82nd Street, Apt. 1B",4000,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Upper West Side,Manhattan
"51 Bank Street, Apt. 21",3995,2 Beds / 1 Bath / Rental,West Village,Manhattan
"519 Broadway, Apt. 6 FL",19000,"3 Beds / 2 Baths / 4,200 Sq. Ft. / Co-op",Soho/Nolita,Manhattan
"49 West 94th Street, Apt. GARDEN",7500,6 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"10 West 15th Street, Apt. PHM",17000,"3 Beds / 3 Baths / 1,752 Sq. Ft. / Co-op",Flatiron,Manhattan
"233 East 21st Street, Apt. 18",4750,3 Beds / 1 Bath / Rental,Gramercy,Manhattan
"515 East 72nd Street, Apt. 30B",6750,"2 Beds / 2 Baths / 1,015 Sq. Ft. / Condo",Upper East Side,Manhattan
"275 West 10th Street, Apt. 6D",45000,4 Beds / 4 Baths / Condo,West Village,Manhattan
"111 West 67th Street, Apt. 20D",3550,1 Bed / 1 Bath / 641 Sq. Ft. / Condo,Upper West Side,Manhattan
"54 East 83rd Street, Apt. 3A",3350,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"300 Albany Street, Apt. 6A",3500,1 Bed / 1 Bath / 546 Sq. Ft. / Condo,Battery Park City,Manhattan
"300 Albany Street, Apt. 6A",3500,1 Bed / 1 Bath / 546 Sq. Ft. / Condo,Battery Park City,Manhattan
"210 West 70th Street, Apt. 316",2875,Studio / 1 Bath / Rental,Upper West Side,Manhattan
"527 West 149th Street, Apt. 2",2500,5 Units / 3 Floors / Townhouse,Hamilton Heights,Manhattan
"340 East 64th Street, Apt. 18L",7900,"2 Beds / 2 Baths / 1,616 Sq. Ft. / Condo",Upper East Side,Manhattan
"164 Bank Street, Apt. 4B",4750,1 Bed / 1 Bath / 775 Sq. Ft. / Condo,West Village,Manhattan
"210 East 17th Street, Apt. 2A",4100,2 Beds / 1 Bath / 650 Sq. Ft. / Co-op,Gramercy,Manhattan
"189 Avenue C, Apt. 5D",4000,Studio / 1 Bath / 751 Sq. Ft. / Condo,East Village,Manhattan
"56 Perry Street, Apt. 1FE",4795,2 Beds / 1 Bath / Rental,West Village,Manhattan
"46 West 89th Street, Apt. 4",6995,6 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"340 East 23rd Street, Apt. 14L",3850,1 Bed / 1 Bath / 770 Sq. Ft. / Condo,Gramercy,Manhattan
"55 East 86th Street, Apt. 3D",3500,1 Bed / 1 Bath / Condo,Carnegie Hill,Manhattan
"123 Washington Street, Apt. 55D",7900,2 Beds / 2 Baths / Condo,Financial District,Manhattan
"101 West 87th Street, Apt. 504",4250,1 Bed / 1 Bath / 662 Sq. Ft. / Condo,Upper West Side,Manhattan
"150 Sullivan Street, Apt. 33",3695,1 Bed / 1 Bath / Co-op,Soho/Nolita,Manhattan
"170 East 87th Street, Apt. W17D",7500,2 Beds / 2 Baths / Condo,Upper East Side,Manhattan
"32 Gramercy Park South, Apt. 12H",4300,1 Bed / 1 Bath / Co-op,Gramercy,Manhattan
