Address,Price,Description,Neighborhood,Boro
West 57th Street,8750,"2 Beds / 2 Baths / 1,434 Sq. Ft. / Condo",Midtown West,Manhattan
"469 West 147th Street, Apt. 1",1450,10 Units / 4 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
Second Avenue,2500,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"142 East 39th Street, Apt. 3",8000,"4 Beds / 3 Baths / 2,100 Sq. Ft. / Rental",Murray Hill,Manhattan
East 81st Street,1700,Studio / 1 Bath / Rental,Upper East Side,Manhattan
"21 West 121st Street, Apt. 4A",3800,4 Units / 5 Floors / Multi-Family Townhouse,Harlem,Manhattan
"404 West 145th Street, Apt. 3",2995,5 Units / 4 Floors / Multi-Family Townhouse,Hamilton Heights,Manhattan
"350 West 47th Street, Apt. 1C",2400,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
West 10th Street,5495,1 Bed / 1 Bath / Rental,West Village,Manhattan
"180 Water Street, Apt. 1608s",3465,1 Bed / 1 Bath / Rental,Financial District,Manhattan
"440 West 41st Street, Apt. 11",3500,1 Bed / 1 Bath / Rental,Clinton,Manhattan
"440 West 41st Street, Apt. 9",2600,Studio / 1 Bath / Rental,Clinton,Manhattan
East 74th Street,10500,"2 Beds / 3 Baths / 1,700 Sq. Ft. / Rental",Upper East Side,Manhattan
"203 East 121st Street, Apt. 503",1850,Studio / 1 Bath / Rental,East Harlem,Manhattan
"15 West 55th Street, Apt. 6C",5995,"2 Beds / 1 Bath / 1,100 Sq. Ft. / Rental",Midtown West,Manhattan
"1771 First Avenue, Apt. 1",5200,"3 Beds / 2 Baths / 1,200 Sq. Ft. / Rental",Upper East Side,Manhattan
"237 East 12th Street, Apt. 3A",2750,Studio / 1 Bath / Co-op,East Village,Manhattan
East 12th Street,3650,2 Beds / 1 Bath / Co-op,East Village,Manhattan
"229 West 60th Street, Apt. 19M",3795,1 Bed / 1 Bath / 665 Sq. Ft. / Condo,Upper West Side,Manhattan
Delancey Street,3492,Studio / 1 Bath / Rental,Lower East Side,Manhattan
"205 East 59th Street, Apt. 11C",13500,"3 Beds / 3 Baths / 1,600 Sq. Ft. / Condo",Upper East Side,Manhattan
East 25th Street,2475,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
"505 East 79th Street, Apt. 10G",3700,1 Bed / 1 Bath / 780 Sq. Ft. / Co-op,Upper East Side,Manhattan
"73 Monroe Street, Apt. 166",2300,3 Units / 4 Floors / Multi-Family Townhouse,Lower East Side,Manhattan
East 38th Street,2595,1 Bed / 1 Bath / Condo,Murray Hill,Manhattan
Essex Street,3250,1 Bed / 1 Bath / 490 Sq. Ft. / Condo,Lower East Side,Manhattan
Fifth Avenue,6800,"2 Beds / 2 Baths / 1,221 Sq. Ft. / Condo",Murray Hill,Manhattan
Fifth Avenue,5200,1 Bed / 1 Bath / 776 Sq. Ft. / Condo,Midtown West,Manhattan
East 22nd Street,3950,1 Bed / 1 Bath / 700 Sq. Ft. / Condo,Flatiron,Manhattan
"110 West 86th Street, Apt. 2B",5500,"2 Beds / 2 Baths / 1,000 Sq. Ft. / Condo",Upper West Side,Manhattan
"16 West 19th Street, Apt. 10-D",3750,Studio / 1 Bath / 420 Sq. Ft. / Condo,Flatiron,Manhattan
East 81st Street,3250,1 Bed / 1 Bath / Condo,Upper East Side,Manhattan
"210 East 60th Street, Apt. 3",4100,3 Beds / 1 Bath / Mixed Use Townhouse,Upper East Side,Manhattan
"1274 First Avenue, Apt. 15",3000,2 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"1274 First Avenue, Apt. 12",2250,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"75 Leonard Street, Apt. 3NE",3600,Studio / 1 Bath / 600 Sq. Ft. / Rental,Tribeca,Manhattan
West 19th Street,2595,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
3RD Avenue,7595,2 Beds / 2 Baths / Rental,Gramercy,Manhattan
"38 West 85th Street, Apt. 4R",2495,5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
East 10th Street,7950,1 Bed / 1 Bath / 924 Sq. Ft. / Condo,Greenwich Village,Manhattan
"440 West 41st Street, Apt. 10",2500,Studio / 1 Bath / Rental,Clinton,Manhattan
East 82nd Street,15000,4 Beds / 2 Baths / Rental,Upper East Side,Manhattan
"24 Avenue A, Apt. 4D",4795,20 Units / 6 Floors / Townhouse,East Village,Manhattan
"215 West 84th Street, Apt. 315",4050,2 Beds / 1 Bath / 830 Sq. Ft. / Rental,Upper West Side,Manhattan
"200 East 116th Street, Apt. 3N",6200,5 Beds / 2 Baths / Rental,East Harlem,Manhattan
"814 10TH Avenue, Apt. 7A",2700,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
"715 Madison Avenue, Apt. 5R",2850,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"208 East 70th Street, Apt. 1-E",2195,Studio / 1 Bath / Co-op,Upper East Side,Manhattan
West 14th Street,4450,1 Bed / 1 Bath / 783 Sq. Ft. / Condo,West Village,Manhattan
East 44th Street,5980,1 Bed / 1 Bath / Rental,Midtown East,Manhattan
"15 West 55th Street, Apt. 9A",7795,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Rental",Midtown West,Manhattan
"20 West Street, Apt. 15F",3495,1 Bed / 1 Bath / 578 Sq. Ft. / Condo,Financial District,Manhattan
East 67th Street,11000,"3 Beds / 3 Baths / 1,700 Sq. Ft. / Condo",Upper East Side,Manhattan
"340 East 93rd Street, Apt. 4E",3100,1 Bed / 1 Bath / Co-op,Upper East Side,Manhattan
West 52nd Street,5800,2 Beds / 2 Baths / 904 Sq. Ft. / Condo,Midtown West,Manhattan
"220 Avenue A, Apt. 1-D",2625,Studio / 1 Bath / Rental,East Village,Manhattan
Broad Street,4700,"1 Bed / 2 Baths / 1,189 Sq. Ft. / Condo",Financial District,Manhattan
"4 East 65th Street, Apt. STE 5A",3500,9 Units / 7 Floors / Multi-Family Townhouse,Upper East Side,Manhattan
"11 Mott Street, Apt. 4F",4500,3 Beds / 12 Baths / Rental,Chinatown,Manhattan
"63 Carmine Street, Apt. 2A",3300,2 Beds / 1 Bath / Rental,Greenwich Village,Manhattan
"144 West 70th Street, Apt. 2",2795,7 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"107 Avenue A, Apt. 4F",5200,3 Beds / 1 Bath / 751 Sq. Ft. / Condo,East Village,Manhattan
"445 East 6th Street, Apt. 5",5200,Studio / 1 Bath / Rental,East Village,Manhattan
"112 West 121st Street, Apt. 8",2295,1 Bed / 1 Bath / Rental,Harlem,Manhattan
"30 Central Park South, Apt. 7A",7500,Studio / 2 Baths / 600 Sq. Ft. / Condo,Central Park South,Manhattan
"375 Broome Street, Apt. 9",6500,5 Beds / 2 Baths / Rental,Chinatown,Manhattan
"37 West 72nd Street, Apt. 8-E",3700,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"236 East 5th Street, Apt. F4",4995,2 Beds / 1 Bath / Rental,East Village,Manhattan
East 5th Street,6295,3 Beds / 1 Bath / Rental,East Village,Manhattan
Clinton Street,5538,2 Beds / 1 Bath / Condo,Lower East Side,Manhattan
Clinton Street,7153,3 Beds / 2 Baths / Condo,Lower East Side,Manhattan
Clinton Street,6138,2 Beds / 2 Baths / Condo,Lower East Side,Manhattan
"301 East 45th Street, Apt. 15-B",3850,2 Beds / 1 Bath / 765 Sq. Ft. / Condo,Midtown East,Manhattan
"211 West 53rd Street, Apt. 4D",2495,Studio / 1 Bath / Rental,Midtown West,Manhattan
East 34th Street,3895,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
"59 Thompson Street, Apt. 8",3850,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
"153 Ludlow Street, Apt. 12",3375,1 Bed / 1 Bath / Rental,Lower East Side,Manhattan
West 89th Street,3350,1 Bed / 1 Bath / 780 Sq. Ft. / Condo,Upper West Side,Manhattan
Forsyth Street,3850,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
Central Park West,7500,"2 Beds / 2 Baths / 1,459 Sq. Ft. / Rental",Upper West Side,Manhattan
"340 East 23rd Street, Apt. 3I",2900,Studio / 1 Bath / 430 Sq. Ft. / Condo,Gramercy,Manhattan
"324 West 47th Street, Apt. WEST",5500,Studio / 1 Bath / Rental,Midtown West,Manhattan
"142 East 39th Street, Apt. 2",4000,"1 Bed / 1 Bath / 1,200 Sq. Ft. / Rental",Murray Hill,Manhattan
"1225 Park Avenue, Apt. 7-D",6495,2 Beds / 2 Baths / Rental,Upper East Side,Manhattan
"217 West 79th Street, Apt. 4A",2200,Studio / 1 Bath / 400 Sq. Ft. / Rental,Upper West Side,Manhattan
"123 Third Avenue, Apt. 10D",3995,1 Bed / 1 Bath / 536 Sq. Ft. / Condo,Greenwich Village,Manhattan
"39A Gramercy Park North, Apt. 6C",4200,Studio / 1 Bath / Co-op,Gramercy,Manhattan
"440 West 41st Street, Apt. 13",3495,1 Bed / 1 Bath / Rental,Clinton,Manhattan
East 109th Street,2695,1 Bed / 1 Bath / 675 Sq. Ft. / Condo,East Harlem,Manhattan
West 117th Street,3300,2 Beds / 1 Bath / Rental,Harlem,Manhattan
Horatio Street,6500,"1 Bed / 1 Bath / 1,500 Sq. Ft. / Rental",West Village,Manhattan
"229 West 60th Street, Apt. 8S",4350,1 Bed / 2 Baths / 982 Sq. Ft. / Condo,Upper West Side,Manhattan
East 44th Street,4700,Studio / 1 Bath / Rental,Midtown East,Manhattan
East 44th Street,6550,1 Bed / 1 Bath / Rental,Midtown East,Manhattan
"300 East 46th Street, Apt. 15K",2825,Studio / 1 Bath / Rental,Midtown East,Manhattan
"544 West 156th Street, Apt. 4-E",2200,2 Beds / 1 Bath / Co-op,Washington Heights,Manhattan
"35 East 38th Street, Apt. 5B",3300,2 Beds / 1 Bath / Condo,Murray Hill,Manhattan
"252 South Street, Apt. 50N",4750,1 Bed / 1 Bath / 723 Sq. Ft. / Condo,Lower East Side,Manhattan
West 118th Street,2400,1 Bed / 1 Bath / 650 Sq. Ft. / Condo,Harlem,Manhattan
"73 West 68th Street, Apt. 6",2650,1 Bed / 1 Bath / Co-op,Upper West Side,Manhattan
Manhattan Avenue,1950,1 Bed / 1 Bath / 500 Sq. Ft. / Rental,Harlem,Manhattan
East 84th Street,2250,Studio / 1 Bath / 500 Sq. Ft. / Co-op,Upper East Side,Manhattan
East 51st Street,7800,"3 Units / 4 Floors / 1,500 Sq. Ft. / Multi-Family Townhouse",Midtown East,Manhattan
"247 East 28th Street, Apt. 7-E",4150,2 Beds / 1 Bath / Rental,Murray Hill,Manhattan
"478 Third Avenue, Apt. 2-C",2700,1 Bed / 1 Bath / Co-op,Murray Hill,Manhattan
186 Ninth Avenue,3500,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"225 East 63rd Street, Apt. 3H",3275,Studio / 1 Bath / Rental,Upper East Side,Manhattan
East 63rd Street,2995,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 103rd Street,2795,2 Beds / 1 Bath / 500 Sq. Ft. / Rental,East Harlem,Manhattan
"520 East 11th Street, Apt. 5",2590,1 Bed / 1 Bath / Rental,East Village,Manhattan
"520 East 11th Street, Apt. 18",3290,1 Bed / 1 Bath / Rental,East Village,Manhattan
"323 East 8th Street, Apt. 6C",2200,Studio / 1 Bath / 375 Sq. Ft. / Co-op,East Village,Manhattan
"620 West 42nd Street, Apt. 44-E",5635,2 Beds / 2 Baths / Rental,Clinton,Manhattan
East 53rd Street,11500,"1 Bed / 1 Bath / 1,375 Sq. Ft. / Condo",Midtown East,Manhattan
"99 Battery Place, Apt. 18E",4000,1 Bed / 1 Bath / 715 Sq. Ft. / Condo,Battery Park City,Manhattan
Park Avenue,85000,"5 Beds / 5 Baths / 7,000 Sq. Ft. / Condo",Carnegie Hill,Manhattan
"456 West 19th Street, Apt. PENTHO...",22500,"2 Beds / 2 Baths / 2,353 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"550 West 45th Street, Apt. 540",3875,1 Bed / 1 Bath / Rental,Clinton,Manhattan
"15 William Street, Apt. 10-G",3995,1 Bed / 1 Bath / 850 Sq. Ft. / Condo,Financial District,Manhattan
"229 Chrystie Street, Apt. 921",7050,2 Beds / 2 Baths / 950 Sq. Ft. / Rental,East Village,Manhattan
"123 East 54th Street, Apt. 2H",3995,2 Beds / 1 Bath / Rental,Midtown East,Manhattan
East 31st Street,4500,5 Units / 5 Floors / 900 Sq. Ft. / Multi-Family Townhouse,Murray Hill,Manhattan
"124-136 East 117th Street, Apt. 6P",2995,3 Beds / 1 Bath / 650 Sq. Ft. / Rental,East Harlem,Manhattan
"1661 Park Avenue, Apt. 6-A",2995,3 Beds / 1 Bath / 650 Sq. Ft. / Rental,East Harlem,Manhattan
"440 West 47th Street, Apt. 3E",3715,2 Beds / 1 Bath / Rental,Clinton,Manhattan
"202 West 84th Street, Apt. 5E",5800,10 Units / 6 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"515 Ninth Avenue, Apt. 11B",3987,1 Bed / 1 Bath / Rental,Midtown West,Manhattan
West 62nd Street,3500,1 Bed / 1 Bath / 656 Sq. Ft. / Condo,Upper West Side,Manhattan
East 22nd Street,4100,1 Bed / 1 Bath / 610 Sq. Ft. / Condo,Flatiron,Manhattan
"20 Park Avenue, Apt. 16B",4400,Studio / 1 Bath / 520 Sq. Ft. / Rental,Murray Hill,Manhattan
"2101 Eighth Avenue, Apt. 5A",2700,1 Bed / 1 Bath / 565 Sq. Ft. / Condo,Harlem,Manhattan
"204 Forsyth Street, Apt. 3N",9750,"2 Beds / 2 Baths / 1,549 Sq. Ft. / Condo",Lower East Side,Manhattan
East 82nd Street,6900,"3 Beds / 2 Baths / 1,337 Sq. Ft. / Rental",Upper East Side,Manhattan
Fifth Avenue,6300,"2 Beds / 2 Baths / 1,221 Sq. Ft. / Condo",Murray Hill,Manhattan
"1 Irving Place, Apt. U11D",4900,1 Bed / 1 Bath / 670 Sq. Ft. / Condo,Gramercy,Manhattan
"123 East 54th Street, Apt. 8H",4795,3 Beds / 1 Bath / Rental,Midtown East,Manhattan
2490 Frederick Douglass Boulevard...,2250,1 Bed / 1 Bath / Rental,Harlem,Manhattan
West 47th Street,2750,1 Bed / 1 Bath / Mixed Use Townhouse,Clinton,Manhattan
East 61st Street,9500,5 Units / 4 Floors / Commercial,Upper East Side,Manhattan
"215 East 117th Street, Apt. 22",2375,2 Beds / 1 Bath / 500 Sq. Ft. / Rental,East Harlem,Manhattan
"455 West 44th Street, Apt. 10",2500,1 Bed / 1 Bath / Rental,Clinton,Manhattan
"209 West 135th Street, Apt. 4F",3800,9 Units / 5 Floors / Townhouse,Harlem,Manhattan
"478 Third Avenue, Apt. 4-A",2250,Studio / 1 Bath / Co-op,Murray Hill,Manhattan
"3 Hanover Square, Apt. 23-EF",3800,1 Bed / 1 Bath / 950 Sq. Ft. / Co-op,Financial District,Manhattan
"420 East 54th Street, Apt. 3108",12500,3 Beds / 2 Baths / Rental,Sutton Area,Manhattan
"163 East 92nd Street, Apt. 28",4195,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"8 West 76th Street, Apt. 2B",2600,14 Units / 5 Floors / Multi-Family Townhouse,Upper West Side,Manhattan
"50 East 80th Street, Apt. 5B",2250,1 Bed / 1 Bath / 420 Sq. Ft. / Co-op,Upper East Side,Manhattan
"60 East 8th Street, Apt. 9B",8995,"2 Beds / 2 Baths / 1,100 Sq. Ft. / Condo/Co-op",Greenwich Village,Manhattan
"150 Sullivan Street, Apt. 21",4600,3 Beds / 1 Bath / Co-op,Soho/Nolita,Manhattan
"155 Hester Street, Apt. 704",4200,2 Beds / 2 Baths / Rental,Lower East Side,Manhattan
Worth Street,8950,"2 Beds / 2 Baths / 1,410 Sq. Ft. / Condo",Tribeca,Manhattan
"323 West 83rd Street, Apt. 5C",4750,2 Beds / 1 Bath / 950 Sq. Ft. / Co-op,Upper West Side,Manhattan
"155 Hester Street, Apt. 704",4200,2 Beds / 2 Baths / Rental,Lower East Side,Manhattan
"150 Sullivan Street, Apt. 21",4600,3 Beds / 1 Bath / Co-op,Soho/Nolita,Manhattan
East 47th Street,2600,Studio / 1 Bath / 510 Sq. Ft. / Condo,Midtown East,Manhattan
United Nations Plaza,5000,"1 Bed / 1 Bath / 1,181 Sq. Ft. / Condo",Midtown East,Manhattan
"77 Seventh Avenue, Apt. 12C",4250,1 Bed / 1 Bath / Co-op,Chelsea/Hudson Yards,Manhattan
"206 Rivington Street, Apt. 2E",3070,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
Eldridge Street,2459,20 Units / 5 Floors / Multi-Family Townhouse,Lower East Side,Manhattan
"39 West 83rd Street, Apt. 6",3100,10 Units / 5 Floors / 650 Sq. Ft. / Multi-Family Townhouse,Upper West Side,Manhattan
East 3rd Street,4295,2 Beds / 1 Bath / Rental,East Village,Manhattan
"159 East 92nd Street, Apt. 7",3995,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
Manhattan Avenue,2470,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"440 West 47th Street, Apt. 4G",5220,3 Beds / 1 Bath / Rental,Clinton,Manhattan
"1050 Sixth Avenue, Apt. 11-B",3500,Studio / 1 Bath / 420 Sq. Ft. / Rental,Midtown West,Manhattan
"293 Central Park West, Apt. PHS",4700,2 Beds / 1 Bath / Rental,Upper West Side,Manhattan
"180 Hester Street, Apt. 3",3995,1 Bed / 1 Bath / 680 Sq. Ft. / Condo,Soho/Nolita,Manhattan
"161 East 25th Street, Apt. 3A",2550,1 Bed / 1 Bath / Rental,Murray Hill,Manhattan
East 6th Street,6395,4 Beds / 2 Baths / Rental,East Village,Manhattan
"520 East 11th Street, Apt. 2",5290,3 Beds / 1 Bath / Rental,East Village,Manhattan
Broadway,2995,1 Bed / 1 Bath / 575 Sq. Ft. / Condo/Co-op,Upper West Side,Manhattan
"952 5TH Avenue, Apt. 5",4100,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
Rector Place,4000,1 Bed / 1 Bath / 695 Sq. Ft. / Condo,Battery Park City,Manhattan
Park Avenue,2750,Studio / 1 Bath / 448 Sq. Ft. / Rental,Murray Hill,Manhattan
"572 West 141st Street, Apt. D-6D",2450,2 Beds / 1 Bath / Rental,Harlem,Manhattan
Pine Street,3600,Studio / 1 Bath / 822 Sq. Ft. / Condo,Financial District,Manhattan
"406 West 48th Street, Apt. 3RW",2275,1 Bed / 1 Bath / Rental,Clinton,Manhattan
Manhattan Avenue,2085,Studio / 1 Bath / Rental,Upper West Side,Manhattan
Greenwich Street,5495,1 Bed / 1 Bath / Co-op,West Village,Manhattan
"63 AVE D, Apt. 1C",2264,2 Beds / 1 Bath / Rental,East Village,Manhattan
"522 West 29th Street, Apt. 7D",28500,"5 Beds / 5 Baths / 3,586 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
Riverside Drive,2450,Studio / 1 Bath / 470 Sq. Ft. / Co-op,Upper West Side,Manhattan
"330 East 49th Street, Apt. 10D",3300,1 Bed / 1 Bath / 615 Sq. Ft. / Condo,Midtown East,Manhattan
"550 West 45th Street, Apt. PH-104",4010,1 Bed / 1 Bath / Rental,Clinton,Manhattan
"225 East 34th Street, Apt. 5B",4699,1 Bed / 1 Bath / 980 Sq. Ft. / Condo,Murray Hill,Manhattan
"115 West 104th Street, Apt. 5",5050,"4 Beds / 2 Baths / 1,400 Sq. Ft. / Rental",Upper West Side,Manhattan
"205 West 107th Street, Apt. 3-W",6295,"3 Beds / 2 Baths / 1,500 Sq. Ft. / Rental",Upper West Side,Manhattan
"520 East 11th Street, Apt. 6",3790,2 Beds / 1 Bath / Rental,East Village,Manhattan
"20 West 53rd Street, Apt. 21B",10000,"1 Bed / 1 Bath / 1,200 Sq. Ft. / Condo",Midtown West,Manhattan
"125 East 90th Street, Apt. 2A",2810,1 Bed / 1 Bath / Rental,Carnegie Hill,Manhattan
"105 East 88th Street, Apt. B",5100,3 Beds / 1 Bath / Rental,Upper East Side,Manhattan
"312 West 48th Street, Apt. 7",2490,1 Bed / 1 Bath / 450 Sq. Ft. / Rental,Clinton,Manhattan
"814 10TH Avenue, Apt. 3A",2400,Studio / 1 Bath / Rental,Midtown West,Manhattan
"101 West 15th Street, Apt. 427",6300,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"251 West 19th Street, Apt. 1D",8000,"2 Beds / 2 Baths / 1,634 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
"143 West 4th Street, Apt. 4F",10000,"5 Beds / 2 Baths / 1,400 Sq. Ft. / Rental",Greenwich Village,Manhattan
West 88th Street,2500,Studio / 1 Bath / 425 Sq. Ft. / Condo,Upper West Side,Manhattan
"270 West 17th Street, Apt. 8E",4000,1 Bed / 1 Bath / 550 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
Suffolk Street,3200,1 Bed / 1 Bath / Co-op,Lower East Side,Manhattan
Suffolk Street,3200,1 Bed / 1 Bath / Co-op,Lower East Side,Manhattan
"103 West 27th Street, Apt. 3FLR",6350,"4 Beds / 2 Baths / 1,200 Sq. Ft. / Mixed Use Townhouse",Chelsea/Hudson Yards,Manhattan
Lafayette Street,9500,"2 Beds / 1 Bath / 2,000 Sq. Ft. / Co-op",Soho/Nolita,Manhattan
East 38th Street,3200,1 Bed / 1 Bath / 629 Sq. Ft. / Condo,Murray Hill,Manhattan
"77 West 85th Street, Apt. E",4260,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"518 Ninth Avenue, Apt. 2",4500,3 Beds / 1 Bath / Rental,Clinton,Manhattan
"265 West 87th Street, Apt. 5B",2325,Studio / 1 Bath / Rental,Upper West Side,Manhattan
"155 West 68th Street, Apt. 817",3950,1 Bed / 1 Bath / 700 Sq. Ft. / Condo,Upper West Side,Manhattan
East 86th Street,5350,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
"342 West 47th Street, Apt. 3F",2520,Studio / 1 Bath / 450 Sq. Ft. / Rental,Clinton,Manhattan
"200 West 85th Street, Apt. 4C",3500,2 Beds / 1 Bath / Rental,Upper West Side,Manhattan
West 14th Street,2975,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"342 East 8th Street, Apt. 2I",4285,2 Beds / 1 Bath / 850 Sq. Ft. / Rental,East Village,Manhattan
"7 West 21st Street, Apt. 16-J",6161,1 Bed / 1 Bath / Rental,Flatiron,Manhattan
"10 Downing Street, Apt. 5-U",4900,121 Units / 6 Floors / Townhouse,Greenwich Village,Manhattan
"200 East 61st Street, Apt. 23-B",6000,1 Bed / 2 Baths / Condo,Upper East Side,Manhattan
"518 Ninth Avenue, Apt. 3",4500,3 Beds / 1 Bath / Rental,Clinton,Manhattan
West 23rd Street,3495,Studio / 1 Bath / 625 Sq. Ft. / Condo,Chelsea/Hudson Yards,Manhattan
East 95th Street,3725,2 Beds / 1 Bath / 786 Sq. Ft. / Rental,Upper East Side,Manhattan
"255 West 14th Street, Apt. 2G",3895,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
East 82nd Street,2250,1 Bed / 1 Bath / Rental,Upper East Side,Manhattan
East 38th Street,1995,Studio / 1 Bath / Rental,Murray Hill,Manhattan
East 43rd Street,1800,Studio / 1 Bath / Co-op,Midtown East,Manhattan
West 101st Street,3250,1 Bed / 1 Bath / Rental,Upper West Side,Manhattan
"101 East 10TH Street, Apt. 85",5795,1 Bed / 1 Bath / Rental,East Village,Manhattan
"205 East 33rd Street, Apt. 3F",5000,2 Beds / 2 Baths / Rental,Murray Hill,Manhattan
"439 West 48th Street, Apt. ONE-RW",3400,2 Beds / 1 Bath / Rental,Clinton,Manhattan
"16 MAIDEN Lane, Apt. PH5",7000,5 Beds / 1 Bath / Rental,Financial District,Manhattan
West 45th Street,2300,Studio / 1 Bath / Co-op,Clinton,Manhattan
"310 East 53rd Street, Apt. 2/3C",7000,"1 Bed / 2 Baths / 1,919 Sq. Ft. / Condo",Midtown East,Manhattan
"529 West 48th Street, Apt. 3",2150,1 Bed / 1 Bath / Rental,Clinton,Manhattan
"108 Stanton Street, Apt. 1D",3100,2 Beds / 1 Bath / Rental,Lower East Side,Manhattan
East 82nd Street,2350,20 Units / 5 Floors / Townhouse,Upper East Side,Manhattan
Park Avenue South,5200,1 Bed / 1 Bath / 810 Sq. Ft. / Condo,Flatiron,Manhattan
West 22nd Street,24000,"3 Beds / 3 Baths / 2,248 Sq. Ft. / Condo",Chelsea/Hudson Yards,Manhattan
West 77th Street,3100,1 Bed / 1 Bath / Co-op,Upper West Side,Manhattan
"415 East 37th Street, Apt. 43J",6500,"2 Beds / 2 Baths / 1,078 Sq. Ft. / Condo",Murray Hill,Manhattan
"251 West 89th Street, Apt. 5E",3300,1 Bed / 1 Bath / 600 Sq. Ft. / Condo,Upper West Side,Manhattan
"101 East 10TH Street, Apt. 34",6750,2 Beds / 2 Baths / Rental,East Village,Manhattan
"152 Thompson Street, Apt. C",3300,1 Bed / 1 Bath / Rental,Soho/Nolita,Manhattan
West 68th Street,3495,2 Beds / 1 Bath / 600 Sq. Ft. / Rental,Upper West Side,Manhattan
"316 Mott Street, Apt. CC",3250,2 Beds / 1 Bath / Co-op,Greenwich Village,Manhattan
"518 Ninth Avenue, Apt. 1",4500,3 Beds / 1 Bath / Rental,Clinton,Manhattan
"200 East 116th Street, Apt. 2S",4200,3 Beds / 2 Baths / Rental,East Harlem,Manhattan
"200 East 116th Street, Apt. 4S",5150,4 Beds / 2 Baths / Rental,East Harlem,Manhattan
West 89th Street,4500,2 Beds / 1 Bath / Rental,Upper West Side,Manhattan
East 77th Street,24500,"5 Beds / 4 Baths / 2,900 Sq. Ft. / Condo",Upper East Side,Manhattan
Sutton Place,5000,1 Bed / 1 Bath / 800 Sq. Ft. / Co-op,Sutton Area,Manhattan
"70 Pine Street, Apt. 803",3325,Studio / 1 Bath / Condo,Financial District,Manhattan
"67 Wall Street, Apt. 12-C",3450,Studio / 1 Bath / 550 Sq. Ft. / Rental,Financial District,Manhattan
"101 East 10th Street, Apt. 7D",6250,1 Bed / 1 Bath / Rental,Greenwich Village,Manhattan
Madison Square West,10000,"1 Bed / 1 Bath / 1,026 Sq. Ft. / Condo",Flatiron,Manhattan
"245 East 63rd Street, Apt. 23-C",4250,2 Beds / 1 Bath / 900 Sq. Ft. / Rental,Upper East Side,Manhattan
West 56th Street,2450,Studio / 1 Bath / Rental,Midtown West,Manhattan
"52 East 7th Street, Apt. 11",3200,1 Bed / 1 Bath / Rental,East Village,Manhattan
"2021 Lexington Avenue, Apt. 2D",2900,"3 Beds / 1 Bath / 1,200 Sq. Ft. / Rental",East Harlem,Manhattan
"247 Broome Street, Apt. 4D",3000,2 Beds / 1 Bath / Mixed Use Townhouse,Lower East Side,Manhattan
East 37th Street,2800,Studio / 1 Bath / 566 Sq. Ft. / Condo,Murray Hill,Manhattan
"150 East 44th Street, Apt. 40G",5100,1 Bed / 1 Bath / 905 Sq. Ft. / Rental,Midtown East,Manhattan
West Street,13000,"3 Beds / 3 Baths / 2,097 Sq. Ft. / Condo",Battery Park City,Manhattan
"174 West 137th Street, Apt. .2",2900,3 Beds / 1 Bath / Rental,Harlem,Manhattan
West 25th Street,5625,1 Bed / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
"55 West 25th Street, Apt. 33M",4895,Studio / 1 Bath / Rental,Chelsea/Hudson Yards,Manhattan
Central Park South,6000,1 Bed / 1 Bath / 800 Sq. Ft. / Condo,Central Park South,Manhattan
"120 West 21st Street, Apt. 1504",5350,1 Bed / 1 Bath / 568 Sq. Ft. / Rental,Chelsea/Hudson Yards,Manhattan
