,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
2891,"120 Greenwich Street, Apt. 7-G",3450,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Financial District
2892,"159 West 53rd Street, Apt. 24A",2900,Manhattan,1 Bed, 1 Bath , 498 Sq. Ft. / Condo,Corcoran,Midtown West
2893,West 142nd Street,3600,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Harlem
2894,"330 West 45th Street, Apt. 10L",4050,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Clinton
2895,"2 Cooper Square, Apt. 10-A",6395,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
2896,West 57th Street,5999,Manhattan,2 Beds, 2 Baths ," 1,045 Sq. Ft. / Condo",Corcoran,Midtown West
2897,"17 Convent Avenue, Apt. 3B",4500,Manhattan,2 Beds, 2 Baths ," 1,065 Sq. Ft. / Condo",Corcoran,Harlem
2899,"212 Fifth Avenue, Apt. 7C",13500,Manhattan,2 Beds, 2 Baths ," 1,550 Sq. Ft. / Condo",Corcoran,Flatiron
2901,East 13th Street,3000,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
2902,"35 West 15th Street, Apt. 8C",21000,Manhattan,4 Beds, 4 Baths ," 2,582 Sq. Ft. / Condo",Corcoran,Flatiron
2903,"285 Lafayette Street, Apt. 2A",30000,Manhattan,3 Beds, 3 Baths ," 3,910 Sq. Ft. / Condo",Corcoran,Soho
2903,"285 Lafayette Street, Apt. 2A",30000,Manhattan,3 Beds, 3 Baths ," 3,910 Sq. Ft. / Condo",Corcoran,Nolita
2904,"285 Lafayette Street, Apt. 2A",30000,Manhattan,3 Beds, 3 Baths ," 3,910 Sq. Ft. / Condo",Corcoran,Soho
2904,"285 Lafayette Street, Apt. 2A",30000,Manhattan,3 Beds, 3 Baths ," 3,910 Sq. Ft. / Condo",Corcoran,Nolita
2905,"108 Franklin Street, Apt. TH-1",25000,Manhattan,4 Beds, 3 Baths ," 5,086 Sq. Ft. / Co-op",Corcoran,Tribeca
2906,"377 Rector Place, Apt. 7B",3400,Manhattan,1 Bed, 1 Bath , 634 Sq. Ft. / Condo,Corcoran,Battery Park City
2907,"510 Main Street, Apt. 407",2750,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Roosevelt Island
2909,"345 East 80th Street, Apt. 12H",3200,Manhattan,1 Bed, 1 Bath , 624 Sq. Ft. / Condo,Corcoran,Upper East Side
2910,"415 East 37th Street, Apt. 12K",3400,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Condo,Corcoran,Murray Hill
2911,York Avenue,2400,Manhattan,Studio, 1 Bath , 500 Sq. Ft. / Condo,Corcoran,Upper East Side
2912,East 91ST Street,6300,Manhattan,3 Beds, 2 Baths , Rental,Corcoran,Upper East Side
2914,Main Street,2295,Manhattan,Studio, 1 Bath , Rental,Corcoran,Roosevelt Island
2916,"234 East 24th Street, Apt. 1RE",3300,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Murray Hill
2917,"442 Amsterdam Avenue, Apt. 3B",2750,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper West Side
2918,West 21st Street,5955,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Flatiron
2920,"200 East 28th Street, Apt. 6D",4500,Manhattan,2 Beds, 1 Bath , 650 Sq. Ft. / Condo,Corcoran,Murray Hill
2921,West 24th Street,2995,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Chelsea
2921,West 24th Street,2995,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Hudson Yards
2923,"138-140 East 31ST Street, Apt. 40",2200,Manhattan,Studio, 1 Bath , Rental,Corcoran,Murray Hill
2924,"330 East 38th Street, Apt. 15N",9600,Manhattan,3 Beds, 3 Baths ," 1,700 Sq. Ft. / Condo",Corcoran,Murray Hill
2925,"516 West 134th Street, Apt. 21",3200,Manhattan,4 Beds, 2 Baths , 900 Sq. Ft. / Rental,Corcoran,Harlem
2926,"229 West 20th Street, Apt. 1B",2775,Manhattan,1 Bed, 1 Bath , 500 Sq. Ft. / Rental,Corcoran,Chelsea
2926,"229 West 20th Street, Apt. 1B",2775,Manhattan,1 Bed, 1 Bath , 500 Sq. Ft. / Rental,Corcoran,Hudson Yards
2927,Park Avenue,2550,Manhattan,Studio, 1 Bath , 450 Sq. Ft. / Co-op,Corcoran,Murray Hill
2928,"293 East 10th Street, Apt. 2",5450,Manhattan,3 Beds, 1 Bath ," 1,400 Sq. Ft. / Rental",Corcoran,East Village
2930,"488 Seventh Avenue, Apt. 5B",3700,Manhattan,1 Bed, 1 Bath , 550 Sq. Ft. / Rental,Corcoran,Midtown West
2931,"15 West 55th Street, Apt. PH-1",4700,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Rental,Corcoran,Midtown West
2932,"250 West 19th Street, Apt. 5K",4400,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Chelsea
2932,"250 West 19th Street, Apt. 5K",4400,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hudson Yards
2933,Mott Street,3495,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Soho
2933,Mott Street,3495,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Nolita
2934,"280 Rector Place, Apt. 8C",4995,Manhattan,2 Beds, 2 Baths , 832 Sq. Ft. / Condo,Corcoran,Battery Park City
2935,"200 East 11th Street, Apt. 803",4500,Manhattan,Studio, 1 Bath , Rental,Corcoran,East Village
2936,"130 West 15th Street, Apt. 3R",4500,Manhattan,Studio, 1 Bath , 525 Sq. Ft. / Rental,Corcoran,Chelsea
2936,"130 West 15th Street, Apt. 3R",4500,Manhattan,Studio, 1 Bath , 525 Sq. Ft. / Rental,Corcoran,Hudson Yards
2938,Washington Street,4250,Manhattan,1 Bed, 1 Bath , 606 Sq. Ft. / Condo,Corcoran,Financial District
2940,"300 East 23rd Street, Apt. 7H",4650,Manhattan,1 Bed, 1 Bath , 707 Sq. Ft. / Condo,Corcoran,Gramercy
2941,"70 Pine Street, Apt. 5202",6400,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Financial District
2942,"252 South Street, Apt. 20C",4195,Manhattan,1 Bed, 1 Bath , 695 Sq. Ft. / Condo,Corcoran,Lower East Side
2943,West 23rd Street,4425,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Chelsea
2943,West 23rd Street,4425,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hudson Yards
2944,Lispenard Street,17950,Manhattan,5 Beds, 4 Baths ," 3,185 Sq. Ft. / Condo",Corcoran,Tribeca
2945,Greene Street,23950,Manhattan,4 Beds, 4 Baths ," 4,000 Sq. Ft. / Rental",Corcoran,Soho
2945,Greene Street,23950,Manhattan,4 Beds, 4 Baths ," 4,000 Sq. Ft. / Rental",Corcoran,Nolita
2946,West 115th Street,3300,Manhattan,2 Beds, 2 Baths ," 1,000 Sq. Ft. / Condo",Corcoran,Harlem
2947,"54 East 7th Street, Apt. 19",2400,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
2948,East 40th Street,4500,Manhattan,1 Bed, 1 Bath , 789 Sq. Ft. / Condo,Corcoran,Murray Hill
2949,"555 West 59th Street, Apt. 17B",10000,Manhattan,3 Beds, 3 Baths ," 1,689 Sq. Ft. / Condo",Corcoran,Upper West Side
2950,"520 West 43rd Street, Apt. 25-J",4300,Manhattan,1 Bed, 1 Bath , 643 Sq. Ft. / Rental,Corcoran,Clinton
2952,"128 East 84th Street, Apt. 3B",1800,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
2953,3RD Avenue,5995,Manhattan,1 Bed, 1 Bath , 800 Sq. Ft. / Rental,Corcoran,Gramercy
2954,"103 West 105th Street, Apt. 4-B",2400,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Morningside Heights
2955,West 54th Street,3095,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Midtown West
2956,East 79th Street,2300,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
2957,"201 East 86th Street, Apt. 10A",7900,Manhattan,2 Beds, 2 Baths , 950 Sq. Ft. / Rental,Corcoran,Upper East Side
2959,"92 Perry Street, Apt. 14",5200,Manhattan,1 Bed, 1 Bath , 656 Sq. Ft. / Condo,Corcoran,West Village
2960,"83 POST Avenue, Apt. 42",2250,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Inwood
2961,"250 West 19th Street, Apt. 10K",4900,Manhattan,1 Bed, 1 Bath , 596 Sq. Ft. / Rental,Corcoran,Chelsea
2961,"250 West 19th Street, Apt. 10K",4900,Manhattan,1 Bed, 1 Bath , 596 Sq. Ft. / Rental,Corcoran,Hudson Yards
2962,"250 West 19th Street, Apt. 11N",4308,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Chelsea
2962,"250 West 19th Street, Apt. 11N",4308,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hudson Yards
2963,"507 West 171st Street, Apt. 62",1850,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Washington Heights
2964,West 68th Street,3995,Manhattan,1 Bed, 1 Bath , 650 Sq. Ft. / Condo,Corcoran,Upper West Side
2965,"70 Pine Street, Apt. 1506",4100,Manhattan,Studio, 1 Bath , 560 Sq. Ft. / Condo,Corcoran,Financial District
2966,"1600 Broadway, Apt. 20A",5490,Manhattan,1 Bed, 1 Bath , 900 Sq. Ft. / Condo,Corcoran,Midtown West
2967,West Street,6200,Manhattan,2 Beds, 2 Baths ," 1,150 Sq. Ft. / Condo",Corcoran,Battery Park City
2968,"431 East 82nd Street, Apt. 1-A",1975,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Upper East Side
2969,"478 Third Avenue, Apt. 3-D",3400,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Murray Hill
2971,East 13th Street,4600,Manhattan,1 Bed, 1 Bath , 600 Sq. Ft. / Rental,Corcoran,East Village
2972,Mott Street,3450,Manhattan,2 Beds, 1 Bath , Co-op,Corcoran,Greenwich Village
2973,"441 East 57th Street, Apt. 5",15000,Manhattan,4 Beds, 4 Baths ," 3,375 Sq. Ft. / Condo",Corcoran,Upper East Side
2974,West 61st Street,6250,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Upper West Side
2975,East 55th Street,5700,Manhattan,1 Bed, 1 Bath , 900 Sq. Ft. / Condo,Corcoran,Midtown East
2976,"133 West 22nd Street, Apt. 3K",4500,Manhattan,1 Bed, 1 Bath , 643 Sq. Ft. / Condo,Corcoran,Chelsea
2976,"133 West 22nd Street, Apt. 3K",4500,Manhattan,1 Bed, 1 Bath , 643 Sq. Ft. / Condo,Corcoran,Hudson Yards
2977,"21 West Street, Apt. 23J",4295,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Battery Park City
2978,"55 West 25th Street, Apt. 26-D",7975,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Chelsea
2978,"55 West 25th Street, Apt. 26-D",7975,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Hudson Yards
2979,East 54th Street,2325,Manhattan,Studio, 1 Bath , 470 Sq. Ft. / Condo,Corcoran,Sutton Area
2980,"70 Pine Street, Apt. 2902",4500,Manhattan,Studio, 1 Bath , Condo,Corcoran,Financial District
2981,"200 East 11th Street, Apt. 601",6400,Manhattan,1 Bed, 1 Bath , 780 Sq. Ft. / Rental,Corcoran,East Village
2982,"20 Park Avenue, Apt. 16B",4400,Manhattan,Studio, 1 Bath , 520 Sq. Ft. / Rental,Corcoran,Murray Hill
2984,Fort Washington Avenue,1700,Manhattan,Studio, 1 Bath , Rental,Corcoran,East Harlem
2985,"719 West 180th Street, Apt. 6",2175,Manhattan,2 Beds, 1 Bath , 850 Sq. Ft. / Rental,Corcoran,Washington Heights
2986,"236 East 78th Street, Apt. 4B",2250,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Upper East Side
2987,"330 East 65th Street, Apt. 7",2600,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper East Side
2990,Front Street,5000,Manhattan,2 Beds, 1 Bath , 935 Sq. Ft. / Condo,Corcoran,Financial District
2991,"47 West 71st Street, Apt. 4R",2300,Manhattan,1 Bed, 1 Bath , 265 Sq. Ft. / Rental,Corcoran,Upper West Side
2992,"170 East 91st Street, Apt. STE 1W",2800,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
2994,"352 West 56th Street, Apt. 3-D",2150,Manhattan,Studio, 1 Bath , 500 Sq. Ft. / Co-op,Corcoran,Midtown West
2995,"330 East 39th Street, Apt. 11C",4795,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Murray Hill
2996,"225 East 63rd Street, Apt. 6M",4200,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
2997,"7 Essex Street, Apt. 7A",5950,Manhattan,2 Beds, 2 Baths ," 1,584 Sq. Ft. / Condo",Corcoran,Lower East Side
2998,"660 Riverside Drive, Apt. 3A",2300,Manhattan,1 Bed, 1 Bath , 289 Sq. Ft. / Condo,Corcoran,Hamilton Heights
2999,East 90th Street,13995,Manhattan,3 Beds, 3 Baths ," 2,077 Sq. Ft. / Condo",Corcoran,Carnegie Hill
3000,"60 West 129th Street, Apt. 1E",1500,Manhattan,Studio, 1 Bath , Rental,Corcoran,Harlem
3001,"7 Essex Street, Apt. 7A",5950,Manhattan,2 Beds, 2 Baths ," 1,584 Sq. Ft. / Condo",Corcoran,Lower East Side
3002,East 90th Street,13995,Manhattan,3 Beds, 3 Baths ," 2,077 Sq. Ft. / Condo",Corcoran,Carnegie Hill
3003,"343 East 78th Street, Apt. 8",3500,Manhattan,1 Bed, 2 Baths , 800 Sq. Ft. / Co-op,Corcoran,Upper East Side
3004,"10 West End Avenue, Apt. 8E",3950,Manhattan,1 Bed, 1 Bath , 770 Sq. Ft. / Condo,Corcoran,Upper West Side
3005,East 82nd Street,7300,Manhattan,2 Beds, 2 Baths ," 1,589 Sq. Ft. / Rental",Corcoran,Upper East Side
3006,"88 Greenwich Street, Apt. 3203",2800,Manhattan,Studio, 1 Bath , 444 Sq. Ft. / Condo,Corcoran,Financial District
3007,"865 First Avenue, Apt. 2E",3800,Manhattan,1 Bed, 1 Bath , 884 Sq. Ft. / Condo,Corcoran,Midtown East
3008,"229 Chrystie Street, Apt. 912",5335,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
3009,"229 Chrystie Street, Apt. 1213",5335,Manhattan,1 Bed, 1 Bath , 697 Sq. Ft. / Rental,Corcoran,East Village
3010,Chrystie Street,3870,Manhattan,Studio, 1 Bath , 496 Sq. Ft. / Rental,Corcoran,East Village
3011,"160 East 27th Street, Apt. 6C",2800,Manhattan,Studio, 1 Bath , 550 Sq. Ft. / Co-op,Corcoran,empty neighborhood
3012,"721 Fifth Avenue, Apt. 56",6500,Manhattan,1 Bed, 1 Bath ," 1,137 Sq. Ft. / Condo",Corcoran,Midtown East
3013,York Avenue,3650,Manhattan,1 Bed, 1 Bath , 825 Sq. Ft. / Rental,Corcoran,Upper East Side
3014,Park Avenue,5500,Manhattan,2 Beds, 2 Baths ," 1,080 Sq. Ft. / Co-op",Corcoran,Murray Hill
3015,East 57th Street,10000,Manhattan,2 Beds, 3 Baths ," 2,200 Sq. Ft. / Co-op",Corcoran,Sutton Area
3016,"60 West 23rd Street, Apt. 1203",6795,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Flatiron
3017,"959 First Avenue, Apt. 11-B",5800,Manhattan,1 Bed, 1 Bath , 900 Sq. Ft. / Condo,Corcoran,Midtown East
3018,West 109th Street,3200,Manhattan,2 Beds, 1 Bath , 700 Sq. Ft. / Rental,Corcoran,Upper West Side
3019,West 106th Street,3650,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Upper West Side
3020,"200 West 106TH Street, Apt. 5C",6000,Manhattan,5 Beds, 2 Baths , Rental,Corcoran,Upper West Side
3021,East 58th Street,3400,Manhattan,1 Bed, 1 Bath , 900 Sq. Ft. / Rental,Corcoran,Midtown East
3022,"323 West 47th Street, Apt. 2B",5850,Manhattan,4 Beds, 2 Baths , Rental,Corcoran,Midtown West
3023,East 39th Street,5295,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Murray Hill
3024,"334 East 82nd Street, Apt. 4RE",2390,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
3025,"183 East 3RD Street, Apt. 4C",2650,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
3026,Broad Street,3875,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Financial District
3027,"206 Rivington Street, Apt. 2B",2841,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Lower East Side
3028,"225 East 63rd Street, Apt. 2L",3100,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
3030,"1224 Saint Nicholas Avenue, Apt. 2D",1581,Manhattan,Studio, 1 Bath , Rental,Corcoran,Washington Heights
3031,East 39th Street,5295,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Murray Hill
3032,"404 East 55th Street, Apt. 6B",3650,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Sutton Area
3033,"101 West 79th Street, Apt. 3A",4300,Manhattan,1 Bed, 1 Bath , 860 Sq. Ft. / Condo,Corcoran,Upper West Side
3034,"97 Lexington Avenue, Apt. 2-C",2850,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Murray Hill
3035,"250 West 19th Street, Apt. 1D",4813,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Chelsea
3035,"250 West 19th Street, Apt. 1D",4813,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Hudson Yards
3036,"539 West 155th Street, Apt. 03",3000,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,East Harlem
3037,"445 Fifth Avenue, Apt. 23H",3750,Manhattan,1 Bed, 1 Bath , 670 Sq. Ft. / Condo,Corcoran,Murray Hill
3038,"211 East 33rd Street, Apt. 52",5000,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Murray Hill
3039,"70 Pine Street, Apt. 3706",5000,Manhattan,1 Bed, 1 Bath , 621 Sq. Ft. / Condo,Corcoran,Financial District
3040,East 10TH Street,5600,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
3041,York Avenue,3575,Manhattan,1 Bed, 1 Bath , 890 Sq. Ft. / Rental,Corcoran,Upper East Side
3042,"45 Tudor City Place, Apt. 1903",2300,Manhattan,Studio, 1 Bath , Co-op,Corcoran,Midtown East
3044,West 12th Street,5950,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
3047,"13 Essex Street, Apt. 7",3000,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Lower East Side
3048,"126 East 4th Street, Apt. 9",3395,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Flatiron
3049,"532 West 145th Street, Apt. 4A",1650,Manhattan,1 Bed, 1 Bath , 460 Sq. Ft. / Rental,Corcoran,Hamilton Heights
3050,Broad Street,4100,Manhattan,Studio, 1 Bath , Rental,Corcoran,Financial District
3051,Water Street,6900,Manhattan,4 Beds, 2 Baths , Rental,Corcoran,Financial District
3053,"6 West 107th Street, Apt. 1A",2500,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper West Side
3055,Front Street,10000,Manhattan,2 Beds, 3 Baths ," 1,698 Sq. Ft. / Condo",Corcoran,Financial District
3057,"353 West 56th Street, Apt. 3N",4200,Manhattan,1 Bed, 1 Bath , 810 Sq. Ft. / Condo,Corcoran,Midtown West
3058,"2110 Frederick Douglass Blvd, Apt...",6500,Manhattan,3 Beds, 2 Baths ," 1,355 Sq. Ft. / Condo",Corcoran,Harlem
3059,West 111th Street,2495,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Harlem
3060,"207 Madison Street, Apt. 17",3750,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Lower East Side
3061,West 108th Street,6500,Manhattan,5 Beds, 2 Baths , Rental,Corcoran,Upper West Side
3062,"7 West 108th Street, Apt. 3D",5000,Manhattan,4 Beds, 1 Bath , Rental,Corcoran,Upper West Side
3063,"4 East 89th Street, Apt. 3F",3000,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
3064,West 79th Street,3700,Manhattan,1 Bed, 1 Bath , 672 Sq. Ft. / Condo,Corcoran,Upper West Side
3065,West 55th Street,3395,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Midtown West
3066,West 39th Street,3900,Manhattan,1 Bed, 1 Bath , 601 Sq. Ft. / Condo,Corcoran,Midtown West
3067,West 100th Street,2125,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper West Side
3068,"20 West Street, Apt. 44B",3650,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Financial District
3069,"70 Pine Street, Apt. 720",8595,Manhattan,3 Beds, 2 Baths , Condo,Corcoran,Financial District
3070,"40 Central Park South, Apt. 12C",7400,Manhattan,1 Bed, 1 Bath , 980 Sq. Ft. / Rental,Corcoran,Central Park South
3071,East 82nd Street,3650,Manhattan,1 Bed, 1 Bath , 877 Sq. Ft. / Rental,Corcoran,Upper East Side
3072,"101 East 10TH Street, Apt. 9R",7250,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,East Village
3073,"101 East 10TH Street, Apt. 8JJ",4995,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Village
3074,"101 East 10th Street, Apt. 7B",4900,Manhattan,Studio, 1 Bath , Rental,Corcoran,Greenwich Village
3075,East 82nd Street,3650,Manhattan,1 Bed, 1 Bath , 877 Sq. Ft. / Rental,Corcoran,Upper East Side
3076,East 39th Street,4895,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Murray Hill
3078,"8 Centre Market Place, Apt. 1C",4600,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Soho
3078,"8 Centre Market Place, Apt. 1C",4600,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Nolita
3079,Avenue D,2850,Manhattan,Studio, 1 Bath , 448 Sq. Ft. / Rental,Corcoran,East Village
3080,"25 Grove Street, Apt. 14",6300,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,West Village
3081,Seventh Avenue,3650,Manhattan,Studio, 1 Bath , Rental,Corcoran,Chelsea
3081,Seventh Avenue,3650,Manhattan,Studio, 1 Bath , Rental,Corcoran,Hudson Yards
3082,East 39th Street,4900,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Murray Hill
3083,East 71st Street,3095,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
3084,"444 East 57th Street, Apt. 4B",6875,Manhattan,2 Beds, 2 Baths ," 1,060 Sq. Ft. / Condo",Corcoran,Sutton Area
3085,2322 Adam Clayton Powell Boulevar...,3000,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Harlem
3086,"121 East 22nd Street, Apt. N205",6995,Manhattan,1 Bed, 1 Bath , 757 Sq. Ft. / Condo,Corcoran,Gramercy
3087,"319 East 105th Street, Apt. 2-F",2850,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,East Harlem
3088,"101 East 10th Street, Apt. 7C",5250,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Greenwich Village
3089,West 19th Street,8350,Manhattan,2 Beds, 2 Baths ," 1,338 Sq. Ft. / Condo",Corcoran,Chelsea
3089,West 19th Street,8350,Manhattan,2 Beds, 2 Baths ," 1,338 Sq. Ft. / Condo",Corcoran,Hudson Yards
3090,York Avenue,2600,Manhattan,Studio, 1 Bath , 518 Sq. Ft. / Rental,Corcoran,Upper East Side
3091,"140 Wadsworth Avenue, Apt. 28",2500,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Washington Heights
3092,Park Avenue,4000,Manhattan,1 Bed, 1 Bath , 748 Sq. Ft. / Rental,Corcoran,Murray Hill
3094,East 39th Street,3595,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Murray Hill
3095,West Street,2695,Manhattan,Studio, 1 Bath , 447 Sq. Ft. / Rental,Corcoran,Financial District
3096,Crosby Street,9000,Manhattan,2 Beds, 1 Bath ," 1,500 Sq. Ft. / Rental",Corcoran,Soho
3096,Crosby Street,9000,Manhattan,2 Beds, 1 Bath ," 1,500 Sq. Ft. / Rental",Corcoran,Nolita
3097,Broadway,4100,Manhattan,1 Bed, 1 Bath , 700 Sq. Ft. / Condo/Co-op,Corcoran,Upper West Side
3098,East 10th Street,6200,Manhattan,4 Beds, 2 Baths , Rental,Corcoran,East Village
3100,"69 East 125th Street, Apt. 6D",3250,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,East Harlem
3101,Christopher Street,5500,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,West Village
3102,East 30th Street,2500,Manhattan,Studio, 1 Bath , Condo,Corcoran,Murray Hill
3103,East 46th Street,5400,Manhattan,1 Bed, 1 Bath ," 1,000 Sq. Ft. / Condo/Co-op",Corcoran,Midtown East
3104,East 82nd Street,2600,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
3105,"300 East 85th Street, Apt. 2302/2303",17995,Manhattan,4 Beds, 4 Baths , Condo/Co-op,Corcoran,Upper East Side
3106,"221 East 88th Street, Apt. 2",2100,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
3108,East 69th Street,18000,Manhattan,4 Beds, 3 Baths , Co-op,Corcoran,Upper East Side
3109,West 117th Street,3300,Manhattan,2 Beds, 1 Bath , 710 Sq. Ft. / Rental,Corcoran,Harlem
3110,Broadway,1749,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Inwood
3111,"810 Broadway, Apt. 4FLR",10995,Manhattan,2 Beds, 2 Baths ," 2,500 Sq. Ft. / Rental",Corcoran,Greenwich Village
3112,"333 Rector Place, Apt. 703",3850,Manhattan,1 Bed, 1 Bath , 777 Sq. Ft. / Condo,Corcoran,Battery Park City
3113,Broadway,6850,Manhattan,2 Beds, 2 Baths ," 1,165 Sq. Ft. / Condo",Corcoran,Upper West Side
3114,"167 East 61st Street, Apt. 30E",8500,Manhattan,2 Beds, 2 Baths ," 1,350 Sq. Ft. / Co-op",Corcoran,Upper East Side
3115,"109 West 105th Street, Apt. 1C",3750,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Upper West Side
3116,"400 Park Avenue South, Apt. 27A",6200,Manhattan,1 Bed, 1 Bath , 819 Sq. Ft. / Condo,Corcoran,Flatiron
3117,"15 Broad Street, Apt. 1606",6200,Manhattan,2 Beds, 1 Bath ," 1,080 Sq. Ft. / Condo",Corcoran,Financial District
3119,"237 East 34th Street, Apt. 501",6495,Manhattan,2 Beds, 2 Baths , Rental,Corcoran,Murray Hill
3120,"120 West 21st Street, Apt. 219",4500,Manhattan,Studio, 1 Bath , 449 Sq. Ft. / Rental,Corcoran,Chelsea
3120,"120 West 21st Street, Apt. 219",4500,Manhattan,Studio, 1 Bath , 449 Sq. Ft. / Rental,Corcoran,Hudson Yards
3121,East 43rd Street,5675,Manhattan,2 Beds, 2 Baths ," 1,270 Sq. Ft. / Condo",Corcoran,Midtown East
3122,East 70th Street,3695,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
3123,"456 West 19th Street, Apt. PHH",30000,Manhattan,3 Beds, 3 Baths ," 2,829 Sq. Ft. / Condo",Corcoran,Chelsea
3123,"456 West 19th Street, Apt. PHH",30000,Manhattan,3 Beds, 3 Baths ," 2,829 Sq. Ft. / Condo",Corcoran,Hudson Yards
3124,Third Avenue,6000,Manhattan,1 Bed, 1 Bath ," 1,000 Sq. Ft. / Co-op",Corcoran,empty neighborhood
3125,"520 West 43rd Street, Apt. 19J",5000,Manhattan,1 Bed, 1 Bath , 643 Sq. Ft. / Rental,Corcoran,Clinton
