,Address,Price,Boro,Bed,Bath,Rental,Agency,Neighborhood
45,"21-23 South William Street, Apt. 5D",3500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Financial District
47,"325 Lexington Avenue, Apt. 22C",6995,Manhattan,2 Beds, 2 Baths ," 1,138 Sq. Ft. / Condo",Corcoran,Murray Hill
48,"509 East 77th Street, Apt. 1N",2800,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Upper East Side
49,"1575 Third Avenue, Apt. 3D",1895,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
50,"228 East 81st Street, Apt. 6B",2895,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,Upper East Side
51,"56 Perry Street, Apt. 5RW",2995,Manhattan,1 Bed, 1 Bath , Rental,Corcoran,West Village
52,"140 Seventh Avenue, Apt. 6E",4400,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Chelsea
52,"140 Seventh Avenue, Apt. 6E",4400,Manhattan,2 Beds, 1 Bath , Condo,Corcoran,Hudson Yards
53,"330 East 75th Street, Apt. 9J",3600,Manhattan,1 Bed, 1 Bath , 725 Sq. Ft. / Condo,Corcoran,Upper East Side
54,"230 East 11th Street, Apt. 2",14000,Manhattan,4 Beds, 2 Baths ," 2,829 Sq. Ft. / Rental",Corcoran,East Village
55,"43 West 64th Street, Apt. 3B",8700,Manhattan,1 Bed, 2 Baths ," 1,688 Sq. Ft. / Condo",Corcoran,Upper West Side
56,"421 Hudson Street, Apt. 404",15000,Manhattan,2 Beds, 2 Baths ," 1,900 Sq. Ft. / Condo",Corcoran,West Village
57,"486 Broadway, Apt. PH",13500,Manhattan,2 Beds, 2 Baths ," 2,196 Sq. Ft. / Rental",Corcoran,Soho
57,"486 Broadway, Apt. PH",13500,Manhattan,2 Beds, 2 Baths ," 2,196 Sq. Ft. / Rental",Corcoran,Nolita
58,"364 West 116th Street, Apt. 3B",2337,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,Morningside Heights
60,"355 East 4th Street, Apt. 5A",3400,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,East Village
61,"107 West 82nd Street, Apt. 1B",4000,Manhattan,1 Bed, 1 Bath , 750 Sq. Ft. / Co-op,Corcoran,Upper West Side
62,"51 Bank Street, Apt. 21",3995,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,West Village
63,"519 Broadway, Apt. 6 FL",19000,Manhattan,3 Beds, 2 Baths ," 4,200 Sq. Ft. / Co-op",Corcoran,Soho
63,"519 Broadway, Apt. 6 FL",19000,Manhattan,3 Beds, 2 Baths ," 4,200 Sq. Ft. / Co-op",Corcoran,Nolita
65,"10 West 15th Street, Apt. PHM",17000,Manhattan,3 Beds, 3 Baths ," 1,752 Sq. Ft. / Co-op",Corcoran,Flatiron
66,"233 East 21st Street, Apt. 18",4750,Manhattan,3 Beds, 1 Bath , Rental,Corcoran,Gramercy
67,"515 East 72nd Street, Apt. 30B",6750,Manhattan,2 Beds, 2 Baths ," 1,015 Sq. Ft. / Condo",Corcoran,Upper East Side
68,"275 West 10th Street, Apt. 6D",45000,Manhattan,4 Beds, 4 Baths , Condo,Corcoran,West Village
69,"111 West 67th Street, Apt. 20D",3550,Manhattan,1 Bed, 1 Bath , 641 Sq. Ft. / Condo,Corcoran,Upper West Side
70,"54 East 83rd Street, Apt. 3A",3350,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper East Side
71,"300 Albany Street, Apt. 6A",3500,Manhattan,1 Bed, 1 Bath , 546 Sq. Ft. / Condo,Corcoran,Battery Park City
72,"300 Albany Street, Apt. 6A",3500,Manhattan,1 Bed, 1 Bath , 546 Sq. Ft. / Condo,Corcoran,Battery Park City
73,"210 West 70th Street, Apt. 316",2875,Manhattan,Studio, 1 Bath , Rental,Corcoran,Upper West Side
75,"340 East 64th Street, Apt. 18L",7900,Manhattan,2 Beds, 2 Baths ," 1,616 Sq. Ft. / Condo",Corcoran,Upper East Side
76,"164 Bank Street, Apt. 4B",4750,Manhattan,1 Bed, 1 Bath , 775 Sq. Ft. / Condo,Corcoran,West Village
77,"210 East 17th Street, Apt. 2A",4100,Manhattan,2 Beds, 1 Bath , 650 Sq. Ft. / Co-op,Corcoran,Gramercy
78,"189 Avenue C, Apt. 5D",4000,Manhattan,Studio, 1 Bath , 751 Sq. Ft. / Condo,Corcoran,East Village
79,"56 Perry Street, Apt. 1FE",4795,Manhattan,2 Beds, 1 Bath , Rental,Corcoran,West Village
81,"340 East 23rd Street, Apt. 14L",3850,Manhattan,1 Bed, 1 Bath , 770 Sq. Ft. / Condo,Corcoran,Gramercy
82,"55 East 86th Street, Apt. 3D",3500,Manhattan,1 Bed, 1 Bath , Condo,Corcoran,Carnegie Hill
83,"123 Washington Street, Apt. 55D",7900,Manhattan,2 Beds, 2 Baths , Condo,Corcoran,Financial District
84,"101 West 87th Street, Apt. 504",4250,Manhattan,1 Bed, 1 Bath , 662 Sq. Ft. / Condo,Corcoran,Upper West Side
85,"150 Sullivan Street, Apt. 33",3695,Manhattan,1 Bed, 1 Bath , Co-op,Corcoran,Soho
