"448 West 167th Street, LL2ND - Washington Heights, New York",34931,Commercial,,"Approximate Sq. Feet: 9,315"
"111 Murray Street, 45WEST - TriBeCa, New York",34500,"Condo, Doorman",4 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 3,208"
"53 West 71st Street - Upper West Side, New York",34000,Single Family Townhouse,5 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 5,139"
"420 Fifth Avenue, 33 - Fashion Center, New York",32845,"Commercial, Doorman",,"Approximate Sq. Feet: 7,232"
"Liberty Lofts, 43 West 64th Street, 6A - Lincoln Square, New York",30000,"Condo, Doorman",4 Beds | 4 Baths,"Approximate Sq. Feet: 3,667"
"20 East 76th Street, ULTRA1 - Upper East Side, New York",30000,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3644300
"111 East 56th Street, PH1 - Midtown, New York",30000,"Cooperative, Doorman",3 Beds | 3 Baths | 1 Half Bath,Listing ID: 3621069
"737 Park Avenue, 8A - Upper East Side, New York",30000,"Condo, Doorman",3 Beds | 4 Baths,"Approximate Sq. Feet: 3,164"
"American Thread Building, 260 West Broadway, 1/2C - TriBeCa, New York",30000,"Condo, Doorman",Loft | 3 Beds | 6 Baths,"Approximate Sq. Feet: 8,000"
"Reade Chambers, 71 Reade Street, PHA - TriBeCa, New York",30000,"Condo, Doorman",4 Beds | 4 Baths | 1 Half Bath,Approximate Exterior Sq. Ft: 1404
"400 Park Avenue South, PH2 - NoMad, New York",30000,"Condo, Doorman",4 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 3,592"
"456 Washington Street, PHD - TriBeCa, New York",29795,Rental,4 Beds | 4 Baths,"Approximate Sq. Feet: 2,261"
"56 Leonard Street, 44AEAST - TriBeCa, New York",29500,"Condo, Doorman",3 Beds | 3 Baths | 1 Half Bath,"Approximate Sq. Feet: 2,728 | Approximate Exterior Sq. Ft: 254"
"327 East 9th Street, TRIPLEX - East Village, New York",28500,Rental,5 Beds | 4 Baths,"Approximate Sq. Feet: 3,700 | Approximate Exterior Sq. Ft: 1000"
"70 Vestry Street, 6F - TriBeCa, New York",28500,"Condo, Doorman",3 Beds | 3 Baths | 1 Half Bath,"Approximate Sq. Feet: 2,445"
"8 East 12th Street, 9FL - Greenwich Village, New York",28000,Condo,Loft | 5 Beds | 4 Baths,"Approximate Sq. Feet: 4,600"
"220 Central Park South, 26C - Central Park South, New York",28000,"Condo, Doorman",2 Beds | 3 Baths,"Approximate Sq. Feet: 2,455"
"111 Murray Street, 48E - TriBeCa, New York",28000,"Condo, Doorman",3 Beds | 4 Baths | 1 Half Bath,Listing ID: 3873818
"111 Murray Street, 49E - TriBeCa, New York",27500,"Condo, Doorman",3 Beds | 4 Baths | 1 Half Bath,"Approximate Sq. Feet: 2,896"
"6 Cortlandt Alley, PENTHOUSEB - TriBeCa, New York",26000,Condo,Loft | 3 Beds | 4 Baths | 1 Half Bath,Listing ID: 3869206
"875 Park Avenue, 9A - Upper East Side, New York",26000,"Cooperative, Doorman",3 Beds | 3 Baths | 1 Half Bath,"Approximate Sq. Feet: 2,700"
"151 East 80th Street, 8A - Upper East Side, New York",25000,"Rental, Doorman",4 Beds | 4 Baths,"Approximate Sq. Feet: 2,130"
