"655 6th Avenue, Unit 5A",Chelsea,6300,1 BD,1.5 BA
"13 East 131st Street, Unit 4B",East Harlem,2525,2 BD,1 BA
"535 Broadway, Unit Retail",SoHo,102208,empty Beds,empty Bath
"539 Malcolm X Boulevard, Unit 1A",Harlem,2799,2 BD,1 BA
"1443 York Avenue, Unit 5S",Upper East Side,2995,2 BD,1 BA
"280 Park Avenue South, Unit 19L",Flatiron,6995,2 BD,2 BA
"55 West 17th Street, Unit 804",Flatiron,16500,3 BD,2.5 BA
"97 Lexington Avenue, Unit 5A",Kips Bay,2750,1 BD,1 BA
"7 West 122nd Street, Unit 3",Harlem,3000,2 BD,1 BA
"123 Washington Street, Unit 47G",Financial District,4500,1 BD,1 BA
"3850 Broadway, Unit RETAIL",Washington Heights,15450,empty Beds,empty Bath
"135 East 54th Street, Unit 12J",Midtown East,2595,Alcove,1 BA
"15 Central Park West, Unit 28D",Upper West Side,60000,3 BD,4 BA
"254 West 25th Street, Unit 3D",Chelsea,3300,1 BD,1 BA
"21 West Street, Unit 11C",Financial District,5725,2 BD,2 BA
"330 East 75th Street, Unit 17A",Upper East Side,8500,3 BD,3 BA
"129 East 39th Street, Unit 2B",Murray Hill,2200,Studio,1 BA
"382 Central Park West, Unit 12C",Upper West Side,6200,2 BD,2 BA
"25 Tudor City Place, Unit 622",Murray Hill,2000,Studio,1 BA
"247 West 46th Street, Unit 1406",Theater District,4300,1 BD,1.5 BA
"210 West 19th Street, Unit 1E",Chelsea,4200,1 BD,2 BA
"195 Hudson Street, Unit 5A",TriBeCa,29000,3 BD,2.5 BA
"350 East 50th Street, Unit 4A",Midtown East,2100,Studio,1 BA
"580 Amsterdam Avenue, Unit B",Upper West Side,5500,empty Beds,empty Bath
"300 East 23rd Street, Unit 7H",Gramercy,4650,1 BD,1 BA
"218 East 13th Street, Unit 1",East Village,3000,Studio,1 BA
"245 West 51st Street, Unit 707",Theater District,3795,2 BD,1 BA
"2001-2007 Broadway , Unit Retail",Upper West Side,16267,empty Beds,empty Bath
"264 Lexington Avenue, Unit 3B",Murray Hill,4350,2 BD,1 BA
"2546 Adam Clayton Powell Junior Boulevard, Unit 6",Harlem,2150,2 BD,1 BA
"245 West 51st Street, Unit 711",Theater District,3750,2 BD,1 BA
"568 West 192nd Street, Unit 26",Washington Heights,2625,3 BD,1 BA
"536 West 159th Street, Unit 4A",Washington Heights,1850,1 BD,1 BA
"252 West 30th Street, Unit 3B",Chelsea,10000,3 BD,2 BA
"27 Bethune Street, Unit 3",West Village,5395,2 BD,1 BA
"235 East 83rd Street, Unit 5H",Upper East Side,2750,1 BD,1 BA
241 West 17th Street,Chelsea,25000,6 BD,5 BA
"590 West 204th Street, Unit A55",Inwood,2100,2 BD,1 BA
"15 Hudson Yards, Unit 31J",Manhattan,8200,1 BD,1.5 BA
"177 9th Avenue, Unit PHF",Chelsea,19000,3 BD,3 BA
"1107 Broadway, Unit 2G",NoMad,19500,3 BD,3.5 BA
"2245 Adam Clayton Powell Junior Boulevard, Unit 5E",Harlem,3450,3 BD,2 BA
"9 East 16th Street, Unit 2C",Flatiron,7495,1 BD,2 BA
"140 West 71st Street, Unit 6E",Upper West Side,3300,1 BD,1 BA
"1011 Lexington Avenue, Unit Retail",Upper East Side,31667,empty Beds,empty Bath
"342 West 56th Street, Unit 2C",Hell's Kitchen,3300,1 BD,1 BA
"166 West 129th Street, Unit 20",Harlem,2000,1 BD,1 BA
"342 East 110th Street, Unit 8A",East Harlem,3000,1 BD,1 BA
"342 East 110th Street, Unit 8A",East Harlem,3000,1 BD,1 BA
"894 Riverside Drive, Unit 2I",Washington Heights,1800,1 BD,1 BA
"230 Riverside Drive, Unit 9B",Upper West Side,3500,1 BD,1 BA
"312 East 30th Street, Unit 14B",Kips Bay,6995,4 BD,2 BA
"15 Barrow Street, Unit 3",West Village,7370,1 BD,2 BA
"33 Park Row, Unit Retail/Office",Financial District,225179,empty Beds,empty Bath
"590 West 204th Street, Unit A45",Inwood,2200,2 BD,1 BA
"330 5th Avenue, Unit Retail",Midtown South,70000,empty Beds,empty Bath
"113 Elizabeth Street, Unit 4A",Little Italy,6495,3 BD,2 BA
"350 5th Avenue, Unit 4810",Midtown South,22517,Studio,1 BA
"45 Rockefeller Plaza, Unit 3205",Theater District,10250,empty Beds,empty Bath
"525 West 175th Street, Unit 55",Washington Heights,2100,2 BD,1 BA
"166 Perry Street, Unit 3B",West Village,11500,2 BD,2 BA
"752 Greenwich Street, Unit 2C",West Village,3350,1 BD,1 BA
"7 East 20th Street, Unit 10F",Flatiron,9500,2 BD,2 BA
"312 East 30th Street, Unit 11E",Kips Bay,5395,3 BD,1 BA
"115 Christopher Street, Unit PH",West Village,17500,2 BD,2 BA
"15 West 53rd Street, Unit 9C",Theater District,4400,1 BD,1.5 BA
"2285 Adam Clayton Powell Junior Boulevard, Unit 2N",Harlem,4500,4 BD,2 BA
"2 River Terrace, Unit 24E",Battery Park City,9995,2 BD,2.5 BA
"333 East 43rd Street, Unit 412",Midtown East,3300,1 BD,1 BA
"2 Magaw Place, Unit 52A",Washington Heights,2095,2 BD,1 BA
"372 5th Avenue, Unit 9D",Midtown South,3300,Alcove,1 BA
"30 Central Park South, Unit 7a",Central Park South,7500,3 BD,2 BA
"21 Downing Street, Unit 3",West Village,5500,1 BD,1 BA
"100 West 58th Street, Unit 13F",Theater District,5995,2 BD,2 BA
"1735 York Avenue, Unit PH2C",Upper East Side,11455,3 BD,3 BA
149 West 12th Street,West Village,3450,1 BD,1 BA
"715 Madison Avenue, Unit 5R",Upper East Side,3000,1 BD,1 BA
"252 7th Avenue, Unit 3Z",Chelsea,4995,1 BD,1 BA
"220 East 65th Street, Unit 17A",Upper East Side,3575,1 BD,1 BA
"31 Jane Street, Unit 3D",West Village,3750,1 BD,1 BA
