"333 Atlantic Avenue, Apt. 5A",3750,2 Beds / 1 Bath / Rental,Boerum Hill,Brooklyn
281 Cumberland Street,16000,"4 Floors / 3,700 Sq. Ft. / Multi-Family Townhouse",Fort Greene,Brooklyn
"243 St Marks Avenue, Apt. 2",3600,"8 Units / 2 Floors / 1,200 Sq. Ft. / Townhouse",Prospect Heights,Brooklyn
"2265 Gerritsen Avenue, Apt. 6J",1895,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Marine Park,Brooklyn
"2902 Beverley Road, Apt. 2F",2800,"2 Units / 2 Floors / 1,100 Sq. Ft. / Multi-Family Townhouse",Flatbush,Brooklyn
"188 SAINT JOHNS PLACE, Apt. 4",3200,"2 Beds / 1 Bath / 1,200 Sq. Ft. / Rental",Park Slope,Brooklyn
"440A 13th Street, Apt. COMMERCIAL",6000,"1 Floor / 2,700 Sq. Ft. / Mixed Use Townhouse",Park Slope,Brooklyn
"142 Hicks Street, Apt. 5A",2100,Studio / 1 Bath / Co-op,Brooklyn Heights,Brooklyn
"1109 Putnam Avenue, Apt. 3",2700,3 Units / 3 Floors / Multi-Family Townhouse,Bushwick,Brooklyn
"125 Bergen Street, Apt. 2C",2750,1 Bed / 1 Bath / Condo,Boerum Hill,Brooklyn
"1497 President Street, Apt. B",1850,2 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"101 Lafayette Avenue, Apt. 1B",2400,Studio / 1 Bath / Co-op,Fort Greene,Brooklyn
"141 Saint Felix Street, Apt. 2",2850,1 Bed / 1 Bath / Condo,Fort Greene,Brooklyn
"7409 3rd Avenue, Apt. 3",2350,"3 Beds / 2 Baths / 1,000 Sq. Ft. / Rental",Bay Ridge,Brooklyn
"917 Fulton Street, Apt. 1",2500,Townhouse,Clinton Hill,Brooklyn
"378 Myrtle Avenue, Apt. 1",3400,2 Beds / 1 Bath / Rental,Fort Greene,Brooklyn
"180 Nassau Street, Apt. 5M",3861,1.5 Beds / 1 Bath / 793 Sq. Ft. / Rental,Downtown Brooklyn,Brooklyn
"192 Saint Johns Place, Apt. 1",2600,2 Units / 5 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"439 Hicks Street, Apt. 4C",2400,1 Bed / 1 Bath / Condo,Cobble Hill,Brooklyn
"1416 Putnam Avenue, Apt. 3R",1950,6 Units / 3 Floors / Multi-Family Townhouse,Bushwick,Brooklyn
"625 Blake Avenue, Apt. Office",900,4 Units / 3 Floors / Townhouse,empty neighborhood,Brooklyn
"492 11th Street, Apt. 4C",2300,1 Bed / 1 Bath / Rental,Park Slope,Brooklyn
"449 Pacific Street, Apt. 2",4950,4 Units / 4 Floors / Mixed Use Townhouse,Boerum Hill,Brooklyn
"578 19th Street, Apt. 2",2500,2 Units / 2 Floors / House,Windsor Terrace,Brooklyn
"1152 Jefferson Avenue, Apt. 1",2250,2 Units / 2 Floors / Multi-Family Townhouse,Bushwick,Brooklyn
"92 Bainbridge Street, Apt. 2",3600,2 Units / 2 Floors / House,Bedford-Stuyvesant,Brooklyn
"1078 Carroll Street, Apt. 2",3500,2 Units / 2 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"215 Bergen Street, Apt. 1",2250,2 Floors / Multi-Family Townhouse,Boerum Hill,Brooklyn
"419 Humboldt Street, Apt. 4",3075,1 Bed / 1 Bath / 775 Sq. Ft. / Rental,Williamsburg,Brooklyn
"126 Prospect Place, Apt. 1",2895,2 Beds / 1 Bath / Rental,Prospect Heights,Brooklyn
"14 Kosciuszko Street, Apt. Top Floor",2600,2 Beds / 1 Bath / Rental,Bedford-Stuyvesant,Brooklyn
"655 Franklin Avenue, Apt. 1R",4250,"2 Beds / 2 Baths / 1,458 Sq. Ft. / Condo",Crown Heights,Brooklyn
"1 John Street, Apt. 7B",16000,"3 Beds / 3 Baths / 2,492 Sq. Ft. / Condo",DUMBO/Vinegar Hill,Brooklyn
"400 7th Avenue, Apt. 3-R",3323,6 Units / 4 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"44 Sterling Place, Apt. 3rd Floor",3250,3 Units / 3 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"1655 Flatbush Avenue, Apt. C2110",1800,1 Bed / 1 Bath / Co-op,Flatbush,Brooklyn
"500 Driggs Avenue, Apt. PH613",11500,"3.5 Beds / 3 Baths / 2,500 Sq. Ft. / Rental",Williamsburg,Brooklyn
"272 Saint Marks Avenue, Apt. 3F",3250,1.5 Beds / 1 Bath / Condo,Prospect Heights,Brooklyn
"120 Montague Street, Apt. 12D",1771,5 Floors / Multi-Family Townhouse,Brooklyn Heights,Brooklyn
"242 Carlton Avenue, Apt. 2",6600,"3 Units / 3 Floors / 2,000 Sq. Ft. / Multi-Family Townhouse",Fort Greene,Brooklyn
"1531 Union Street, Apt. Garden",2200,2 Units / 3 Floors / 970 Sq. Ft. / Multi-Family Townhouse,Crown Heights,Brooklyn
"638 2nd Street, Apt. GARDEN",3150,2 Units / 4 Floors / Multi-Family Townhouse,Park Slope,Brooklyn
"871 Park Place, Apt. 2F",3300,7 Units / 3 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"265 Nostrand Avenue, Apt. D-8",2699,1 Bed / 1 Bath / Rental,Bedford-Stuyvesant,Brooklyn
"360 Furman Street, Apt. 517",4200,1 Bed / 1 Bath / 862 Sq. Ft. / Condo,Brooklyn Heights,Brooklyn
"241 Ocean Parkway, Apt. A3",3750,2 Beds / 1 Bath / Rental,Kensington,Brooklyn
"1882 Bergen Street, Apt. 3",2300,3 Units / 3 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"180 Nassau Street, Apt. 2D",3500,1 Bed / 1 Bath / 769 Sq. Ft. / Rental,Downtown Brooklyn,Brooklyn
"110 Livingston Street, Apt. 8R",4250,1 Bed / 1 Bath / Condo,Brooklyn Heights,Brooklyn
"81 5th Avenue, Apt. 3",3000,2 Units / 3 Floors / 825 Sq. Ft. / Multi-Family Townhouse,Park Slope,Brooklyn
"1612 Brooklyn Avenue, Apt. 2",3200,"2 Units / 2 Floors / 1,500 Sq. Ft. / House",empty neighborhood,Brooklyn
"180 Nassau Street, Apt. 10C",5500,"2 Beds / 2 Baths / 1,133 Sq. Ft. / Rental",Downtown Brooklyn,Brooklyn
"180 Nassau Street, Apt. 7a",4500,2 Beds / 1 Bath / 842 Sq. Ft. / Rental,Downtown Brooklyn,Brooklyn
"363 Bond Street, Apt. 703",6650,2 Beds / 1 Bath / Rental,Gowanus,Brooklyn
"5 Monroe Place, Apt. 4",4250,Multi-Family Townhouse,Brooklyn Heights,Brooklyn
"180 Nassau Street, Apt. 7C",3500,1 Bed / 1 Bath / 666 Sq. Ft. / Rental,Downtown Brooklyn,Brooklyn
"130 88th Street, Apt. 1",3500,"2 Units / 2 Floors / 1,400 Sq. Ft. / Multi-Family Townhouse",Bay Ridge,Brooklyn
"75 Livingston Street, Apt. 2A",5000,"2 Beds / 1 Bath / 1,700 Sq. Ft. / Co-op",Brooklyn Heights,Brooklyn
111 Windsor Place,9500,3 Floors / Single Family Townhouse,Park Slope,Brooklyn
"540 East 9th Street, Apt. 2B",2500,3 Beds / 1 Bath / House,Kensington,Brooklyn
"576 Myrtle Avenue, Apt. 1",2995,3 Units / 3 Floors / Multi-Family Townhouse,Clinton Hill,Brooklyn
"76 Pierrepont Street, Apt. 3",4500,5 Units / 5 Floors / Multi-Family Townhouse,Brooklyn Heights,Brooklyn
"420 12th Street, Apt. P1R",3500,1 Bed / 1 Bath / 850 Sq. Ft. / Co-op,Park Slope,Brooklyn
"440 Nostrand Avenue, Apt. 3",2292,4 Units / 4 Floors / Multi-Family Townhouse,Bedford-Stuyvesant,Brooklyn
"678 Midwood Street, Apt. 2",2395,2 Units / 2 Floors / 937 Sq. Ft. / Multi-Family Townhouse,empty neighborhood,Brooklyn
206 Warren Street,9995,3 Floors / Single Family Townhouse,Cobble Hill,Brooklyn
"491 Myrtle Avenue, Apt. 2A",2222,480 Sq. Ft. / Townhouse,Clinton Hill,Brooklyn
"49 Willow Street, Apt. 4E",2025,Studio / 1 Bath / Rental,Brooklyn Heights,Brooklyn
"547 6th Avenue, Apt. Storefront",2500,8 Units / 4 Floors / Townhouse,Park Slope,Brooklyn
"101 Lafayette Avenue, Apt. 14B",2350,Studio / 1 Bath / Co-op,Fort Greene,Brooklyn
"666 Saint Johns Place, Apt. 1R",3000,6 Units / 3 Floors / Multi-Family Townhouse,Crown Heights,Brooklyn
"106 Cambridge Place, Apt. 1",7500,2 Units / 3 Floors / Townhouse,Clinton Hill,Brooklyn
"184 New York Avenue, Apt. 3",2700,3 Units / 4 Floors / 850 Sq. Ft. / Multi-Family Townhouse,Crown Heights,Brooklyn
"61 Martense Street, Apt. 5E",2500,2 Beds / 1 Bath / Condo,Lefferts Gardens,Brooklyn
"39 Plaza Street West, Apt. 6C",4500,2 Beds / 2 Baths / Co-op,Park Slope,Brooklyn
"360 Furman Street, Apt. 913",6999,"2 Beds / 2 Baths / 1,430 Sq. Ft. / Condo",Brooklyn Heights,Brooklyn
"325 Sackett Street, Apt. 1",2950,Multi-Family Townhouse,Carroll Gardens,Brooklyn
"416 Clermont Avenue, Apt. 3R",3000,1 Bed / 1 Bath / Co-op,Fort Greene,Brooklyn
"18-22 Dikeman Street, Apt. 2C",5300,3 Beds / 2 Baths / Condo,Red Hook,Brooklyn
"544 State Street, Apt. GARDEN",4300,4 Units / 4 Floors / Multi-Family Townhouse,Boerum Hill,Brooklyn
"144 North 8th Street, Apt. 12C",4500,1 Bed / 1 Bath / 754 Sq. Ft. / Condo,Williamsburg,Brooklyn
"2705 Glenwood Road, Apt. 3",2600,2 Units / 2 Floors / House,Flatbush,Brooklyn
"2705 Glenwood Road, Apt. 2",2200,2 Units / 2 Floors / House,Flatbush,Brooklyn
"315 Garfield Place, Apt. 1",5500,"3 Units / 4 Floors / 1,400 Sq. Ft. / Multi-Family Townhouse",Park Slope,Brooklyn
"1328 Fulton Street, Apt. P203",4604,"3 Beds / 2 Baths / 1,247 Sq. Ft. / Rental",Bedford-Stuyvesant,Brooklyn
