"154 Broadway, Unit 2",Williamsburg,4500,1 BD,1 BA,Brooklyn
"25 Lexington Avenue, Unit 305",Clinton Hill,3690,1 BD,2 BA,Brooklyn
"165 Coffey Street, Townhouse",Red Hook,8250,2 BD,2 BA,Brooklyn
"484 Hancock Street, Unit 1B",Bedford-Stuyvesant,2639,2 BD,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 5C",Prospect Lefferts Gardens,2375,1 BD,1 BA,Brooklyn
"101 Warren Street, Unit A4B",Cobble Hill,5995,2 BD,2 BA,Brooklyn
"689 Myrtle Avenue, Unit 1C",Bedford-Stuyvesant,3650,2 BD,1 BA,Brooklyn
"618 East 2nd Street, Unit 2R",Kensington,2000,2 BD,1 BA,Brooklyn
"239 Utica Avenue, Unit 2R",Crown Heights,1900,1 BD,1 BA,Brooklyn
"30 3rd Street, Unit 4L",Carroll Gardens,3666,2 BD,1 BA,Brooklyn
"860 Nostrand Avenue, Unit 1",Crown Heights,1725,1 BD,1 BA,Brooklyn
"270 East 2nd Street, Unit 1F",Kensington,2400,1 BD,2 BA,Brooklyn
"401A Monroe Street, Unit TH",Bedford-Stuyvesant,5500,4 BD,2 BA,Brooklyn
"712 Lexington Avenue, Unit 1",Bedford-Stuyvesant,3200,2 BD,2.5 BA,Brooklyn
"39 East 21st Street, Unit 1A",Flatbush,2538,1 BD,empty Bath,Brooklyn
"733 Rogers Avenue, Unit 501",Flatbush,2654,2 BD,empty Bath,Brooklyn
"21 India Street, Unit 34A",Greenpoint,7300,3 BD,2.5 BA,Brooklyn
"271 Jefferson Avenue, Unit 1",Bedford-Stuyvesant,5000,3 BD,2.5 BA,Brooklyn
"2516 Bedford Avenue, Unit 4B",Flatbush,1650,1 BD,1 BA,Brooklyn
"200 Hull Street, Unit 1",Bedford-Stuyvesant,2100,2 BD,1 BA,Brooklyn
655 East 2nd Street,Kensington,4800,3 BD,2 BA,Brooklyn
"459 13th Street, Unit 1",Park Slope,2500,Alcove,1 BA,Brooklyn
"195 Clarkson Avenue, Unit 6E",Prospect Lefferts Gardens,2650,1 BD,1 BA,Brooklyn
"28 Marcy Avenue, Unit Floor 2",Williamsburg,6995,Studio,2 BA,Brooklyn
"30 Orient Avenue, Unit PHB",Williamsburg,3795,2 BD,2 BA,Brooklyn
"201 Court Street, Unit Upper Duplex",Cobble Hill,6300,3 BD,2 BA,Brooklyn
"415 Broadway, Unit 2A",East Williamsburg,2979,2 BD,1 BA,Brooklyn
"108 Marcy Avenue, Unit G",Williamsburg,6829,empty Beds,2 BA,Brooklyn
"84 Front Street, Unit 10C",DUMBO,5950,2 BD,2 BA,Brooklyn
"1017 Fulton Street, Unit COM",Clinton Hill,3650,Studio,1 BA,Brooklyn
160 Dikeman Street,Red Hook,43000,1 BD,1 BA,Brooklyn
"647 Flatbush Avenue, Unit 5",Prospect Lefferts Gardens,2300,2 BD,1 BA,Brooklyn
"388 Pacific Street, Unit 1",Boerum Hill,9400,3 BD,1.5 BA,Brooklyn
"1280 Dean Street, Unit 2H",Crown Heights,2550,2 BD,1 BA,Brooklyn
"473 Lexington Avenue, Unit Garden",Bedford-Stuyvesant,2750,2 BD,1 BA,Brooklyn
"350 East 19th Street, Unit 5E",Ditmas Park,2599,2 BD,1 BA,Brooklyn
"126 Herkimer Street, Unit 4",Bedford-Stuyvesant,2540,2 BD,1 BA,Brooklyn
"268 9th Street, Unit 4",South Slope,2750,1 BD,1 BA,Brooklyn
"49 North 8th Street, Unit 6F",Williamsburg,8000,2 BD,2 BA,Brooklyn
"293 Hawthorne Street, Unit 4A",Prospect Lefferts Gardens,3345,3 BD,2 BA,Brooklyn
"25 Lexington Avenue, Unit 201",Clinton Hill,3258,1 BD,1 BA,Brooklyn
"34 North 7th Street, Unit 3T",Williamsburg,7250,2 BD,2 BA,Brooklyn
"195 Clarkson Avenue, Unit 3D",Prospect Lefferts Gardens,2595,1 BD,1 BA,Brooklyn
"343 Carlton Avenue, Unit 4A",Fort Greene,2475,1 BD,1 BA,Brooklyn
"441 1st Street, Unit 1L",Central Slope,5750,3 BD,2 BA,Brooklyn
"2417 Albemarle Road, Unit 9D",Flatbush,2889,2 BD,1 BA,Brooklyn
"474 East New York Avenue, Unit 2R",East Flatbush,2400,2 BD,1 BA,Brooklyn
"240 Sullivan Place, Unit 2",Crown Heights,3350,2 BD,1 BA,Brooklyn
"114 South 2nd Street, Unit Residence 1",Williamsburg,11500,3 BD,2.5 BA,Brooklyn
"429 Kent Avenue, Unit L35",Williamsburg,14000,3 BD,3.5 BA,Brooklyn
"21 India Street, Unit 32G",Greenpoint,3995,1 BD,1 BA,Brooklyn
"30 Main Street, Unit 11H",DUMBO,7950,2 BD,2 BA,Brooklyn
"195 Clarkson Avenue, Unit 4A",Prospect Lefferts Gardens,2495,1 BD,1 BA,Brooklyn
"319 Schermerhorn Street, Unit 15B",Downtown Brooklyn,5300,2 BD,2 BA,Brooklyn
"37 Montrose Avenue, Unit 5F",Williamsburg,2950,1 BD,1 BA,Brooklyn
"1545 Pacific Street, Unit 3F",Crown Heights,1800,Alcove,1 BA,Brooklyn
"1115 Hancock Street, Unit 3W",Bushwick,2600,1 BD,1 BA,Brooklyn
"463 17th Street, Unit 3",Park Slope,2600,2 BD,1 BA,Brooklyn
"711 Nostrand Avenue, Unit 1",Crown Heights,3437,3 BD,1.5 BA,Brooklyn
"314 Chauncey St, Unit 2",Bedford-Stuyvesant,3200,3 BD,1.5 BA,Brooklyn
"51 South Portland Avenue, Unit GARDEN",Fort Greene,8500,3 BD,2 BA,Brooklyn
"195 Clarkson Avenue, Unit 5E",Prospect Lefferts Gardens,2400,1 BD,1 BA,Brooklyn
"265 Van Brunt Street, Unit 1A",Red Hook,2675,1 BD,1 BA,Brooklyn
