Address,Neighborhood,Price,Beds,Baths,Boro,Agency
"655 6th Avenue, Unit 5A",Chelsea,6300,1 Bed,1.5 Baths,Manhattan,Compass
"13 East 131st Street, Unit 4B",East Harlem,2525,2 Beds,1 Bath,Manhattan,Compass
"539 Malcolm X Boulevard, Unit 1A",Harlem,2799,2 Beds,1 Bath,Manhattan,Compass
"1443 York Avenue, Unit 5S",Upper East Side,2995,2 Beds,1 Bath,Manhattan,Compass
"280 Park Avenue South, Unit 19L",Flatiron,6995,2 Beds,2 Baths,Manhattan,Compass
"55 West 17th Street, Unit 804",Flatiron,16500,3 Beds,2.5 Baths,Manhattan,Compass
"97 Lexington Avenue, Unit 5A",Kips Bay,2750,1 Bed,1 Bath,Manhattan,Compass
"7 West 122nd Street, Unit 3",Harlem,3000,2 Beds,1 Bath,Manhattan,Compass
"123 Washington Street, Unit 47G",Financial District,4500,1 Bed,1 Bath,Manhattan,Compass
"15 Central Park West, Unit 28D",Upper West Side,60000,3 Beds,4 Baths,Manhattan,Compass
"254 West 25th Street, Unit 3D",Chelsea,3300,1 Bed,1 Bath,Manhattan,Compass
"21 West Street, Unit 11C",Financial District,5725,2 Beds,2 Baths,Manhattan,Compass
"330 East 75th Street, Unit 17A",Upper East Side,8500,3 Beds,3 Baths,Manhattan,Compass
"129 East 39th Street, Unit 2B",Murray Hill,2200,Studio,1 Bath,Manhattan,Compass
"382 Central Park West, Unit 12C",Upper West Side,6200,2 Beds,2 Baths,Manhattan,Compass
"25 Tudor City Place, Unit 622",Murray Hill,2000,Studio,1 Bath,Manhattan,Compass
"247 West 46th Street, Unit 1406",Theater District,4300,1 Bed,1.5 Baths,Manhattan,Compass
"210 West 19th Street, Unit 1E",Chelsea,4200,1 Bed,2 Baths,Manhattan,Compass
"195 Hudson Street, Unit 5A",TriBeCa,29000,3 Beds,2.5 Baths,Manhattan,Compass
"350 East 50th Street, Unit 4A",Midtown East,2100,Studio,1 Bath,Manhattan,Compass
"300 East 23rd Street, Unit 7H",Gramercy,4650,1 Bed,1 Bath,Manhattan,Compass
"218 East 13th Street, Unit 1",East Village,3000,Studio,1 Bath,Manhattan,Compass
"245 West 51st Street, Unit 707",Theater District,3795,2 Beds,1 Bath,Manhattan,Compass
"264 Lexington Avenue, Unit 3B",Murray Hill,4350,2 Beds,1 Bath,Manhattan,Compass
"2546 Adam Clayton Powell Junior Boulevard, Unit 6",Harlem,2150,2 Beds,1 Bath,Manhattan,Compass
"245 West 51st Street, Unit 711",Theater District,3750,2 Beds,1 Bath,Manhattan,Compass
"568 West 192nd Street, Unit 26",Washington Heights,2625,3 Beds,1 Bath,Manhattan,Compass
"536 West 159th Street, Unit 4A",Washington Heights,1850,1 Bed,1 Bath,Manhattan,Compass
"252 West 30th Street, Unit 3B",Chelsea,10000,3 Beds,2 Baths,Manhattan,Compass
"27 Bethune Street, Unit 3",West Village,5395,2 Beds,1 Bath,Manhattan,Compass
"235 East 83rd Street, Unit 5H",Upper East Side,2750,1 Bed,1 Bath,Manhattan,Compass
"590 West 204th Street, Unit A55",Inwood,2100,2 Beds,1 Bath,Manhattan,Compass
"15 Hudson Yards, Unit 31J",Manhattan,8200,1 Bed,1.5 Baths,Manhattan,Compass
"177 9th Avenue, Unit PHF",Chelsea,19000,3 Beds,3 Baths,Manhattan,Compass
"1107 Broadway, Unit 2G",NoMad,19500,3 Beds,3.5 Baths,Manhattan,Compass
"2245 Adam Clayton Powell Junior Boulevard, Unit 5E",Harlem,3450,3 Beds,2 Baths,Manhattan,Compass
"9 East 16th Street, Unit 2C",Flatiron,7495,1 Bed,2 Baths,Manhattan,Compass
"140 West 71st Street, Unit 6E",Upper West Side,3300,1 Bed,1 Bath,Manhattan,Compass
"342 West 56th Street, Unit 2C",Hell's Kitchen,3300,1 Bed,1 Bath,Manhattan,Compass
"166 West 129th Street, Unit 20",Harlem,2000,1 Bed,1 Bath,Manhattan,Compass
