Address,Price,Rental_type,Beds_baths,Sqfeet,Boro
"Lawrence Street - Downtown Brooklyn, New York",5943,"Rental, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,132",Brooklyn
"North 9th Street - Williamsburg, New York",5909,Condo,2 Beds | 2 Baths,Approximate Sq. Feet: 966,Brooklyn
"1 Blue Slip, 5B - Greenpoint, New York",5871,Rental,2 Beds | 2 Baths,Listing ID: 3751348,Brooklyn
"323 Washington Avenue, 3 - Clinton Hill, New York",5850,Condo,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,150",Brooklyn
"50 Greenpoint Avenue, PHB - Greenpoint, New York",5795,"Condo, Doorman",2 Beds | 2 Baths,Approximate Exterior Sq. Ft: 284,Brooklyn
"323 Washington Avenue, 4 - Clinton Hill, New York",5775,Condo,2 Beds | 1 Bath,"Approximate Sq. Feet: 1,200",Brooklyn
"Montague Street - Brooklyn Heights, New York",5762,"Rental, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,046",Brooklyn
"860 Prospect Pl, 1 - Crown Heights, New York",5750,Multi-Family,3 Beds | 2 Baths | 1 Half Bath,Listing ID: 3860585,Brooklyn
"21 India Street, 37C - Greenpoint, New York",5750,"Condo, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,194",Brooklyn
"1 Blue Slip, 8M - Greenpoint, New York",5721,Rental,2 Beds | 2 Baths,Listing ID: 3803884,Brooklyn
"North 9th Street - Williamsburg, New York",5571,Rental,2 Beds | 2 Baths,Listing ID: 3515304,Brooklyn
"Gold Street - Downtown Brooklyn, New York",5571,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3703814,Brooklyn
"475 Clermont Avenue, 619 - Fort Greene, New York",5535,Rental,2 Beds | 2 Baths,Listing ID: 3882643,Brooklyn
"170 North 11th Street, 3B - Williamsburg, New York",5500,Condo,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,130",Brooklyn
"164 South 3rd Street, PH4A - Williamsburg, New York",5500,Multi-Family,2 Beds | 2 Baths,Listing ID: 3826105,Brooklyn
"Driggs Avenue - Williamsburg, New York",5500,"Rental, Doorman",2 Beds | 1 Bath,"Approximate Sq. Feet: 1,200",Brooklyn
"531 Nostrand Avenue, 531 - Bedford - Stuyvesant, New York",5499,Commercial,1 Bed | 1 Bath,"Approximate Sq. Feet: 1,000 | Approximate Exterior Sq. Ft: 200",Brooklyn
"Water Street - Dumbo, New York",5495,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3812507,Brooklyn
"Caton Pl - Windsor Terrace, New York",5491,"Rental, Doorman",3 Beds | 2 Baths,Listing ID: 3723879,Brooklyn
"Duffield Street - Downtown Brooklyn, New York",5370,"Rental, Doorman",2 Beds | 2 Baths,Listing ID: 3888521,Brooklyn
"1 Blue Slip, 8D - Greenpoint, New York",5366,Rental,2 Beds | 2 Baths,Listing ID: 3895233,Brooklyn
"North 10th Street - Williamsburg, New York",5335,"Rental, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,047",Brooklyn
"505 Court Street, 6R - Carroll Gardens, New York",5300,"Condo, Doorman",Loft | 3 Beds | 2 Baths,"Approximate Sq. Feet: 1,348",Brooklyn
"475 Clermont Avenue, 217A - Fort Greene, New York",5295,Rental,2 Beds | 2 Baths,Listing ID: 3872933,Brooklyn
"Clifton Pl - Clinton Hill, New York",5250,Rental,3 Beds | 2 Baths,Listing ID: 3841400,Brooklyn
"North 9th Street - Williamsburg, New York",5228,Rental,2 Beds | 1 Bath,Listing ID: 3710773,Brooklyn
"Berry Street - Williamsburg, New York",5200,"Rental, Doorman",2 Beds | 1 Bath,"Approximate Sq. Feet: 1,168",Brooklyn
"365 Bond Street, B703 - Gowanus, New York",5200,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3314021,Brooklyn
"136 Union Street, 1 - Columbia Street Waterfront District, New York",5150,,3 Beds | 2 Baths,Listing ID: 3853956,Brooklyn
"546 Pacific Street, 2 - Boerum Hill, New York",5100,Multi-Family,3 Beds | 1 Bath,"Approximate Sq. Feet: 1,400",Brooklyn
"Berry Street - Williamsburg, New York",5045,"Rental, Doorman",2 Beds | 1 Bath,"Approximate Sq. Feet: 1,119",Brooklyn
"Bridge Harbor Heights, 55 Poplar Street, 2A - Brooklyn Heights, New York",5000,Condo,Loft | 2 Beds | 1 Bath | 1 Half Bath,"Approximate Sq. Feet: 1,100",Brooklyn
"Clifton Pl - Clinton Hill, New York",5000,Rental,Loft | 4 Beds | 2 Baths,"Approximate Sq. Feet: 1,450",Brooklyn
"380 South 5th Street, 2 - Williamsburg, New York",4995,Rental,3 Beds | 2 Baths,Listing ID: 3871854,Brooklyn
"THE GRETSCH BUILDING, 60 Broadway, 6N - Williamsburg, New York",4995,"Condo, Doorman",Loft | 1 Bed | 1 Bath | 1 Half Bath,"Approximate Sq. Feet: 1,140",Brooklyn
"Clinton Street - Brooklyn Heights, New York",4900,Rental,2 Beds | 2 Baths,"Approximate Sq. Feet: 1,000",Brooklyn
"475 Clermont Avenue, 340D - Fort Greene, New York",4895,Rental,2 Beds | 2 Baths,Listing ID: 3872914,Brooklyn
"Clinton Street - Brooklyn Heights, New York",4850,Rental,2 Beds | 2 Baths,Listing ID: 3888129,Brooklyn
"32 Fifth Avenue, 2A - Park Slope, New York",4800,,2 Beds | 2 Baths,Listing ID: 3847645,Brooklyn
"372 Dekalb Avenue, 4F - Clinton Hill, New York",4775,"Cooperative, Doorman",Loft | 2 Beds | 2 Baths,"Approximate Sq. Feet: 1,290",Brooklyn
"Dean Street - Park Slope, New York",4775,Rental,3 Beds | 1 Bath,Approximate Sq. Feet: 742,Brooklyn
"141 Summit Street, 1 - Carroll Gardens, New York",4750,Multi-Family,2 Beds | 1 Bath,"Approximate Sq. Feet: 1,500",Brooklyn
"32 Fifth Avenue, 3B - Park Slope, New York",4700,,2 Beds | 2 Baths,Listing ID: 3847651,Brooklyn
"16 MONROE PL, 10 - Brooklyn Heights, New York",4700,Rental,2 Beds | 1 Bath,Listing ID: 3738461,Brooklyn
"St James Pl - Clinton Hill, New York",4650,Rental,2 Beds | 2 Baths,Listing ID: 3886386,Brooklyn
"32 Fifth Avenue, 3A - Park Slope, New York",4600,,2 Beds | 2 Baths,Listing ID: 3847647,Brooklyn
"Driggs Avenue - Williamsburg, New York",4600,"Rental, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 913,Brooklyn
"300 Ashland Pl, PHG - Fort Greene, New York",4587,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3892152,Brooklyn
"136 Union Street, 2 - Columbia Street Waterfront District, New York",4500,,3 Beds | 2 Baths,Listing ID: 3854942,Brooklyn
"32 Fifth Avenue, 2B - Park Slope, New York",4500,,2 Beds | 2 Baths,Listing ID: 3847646,Brooklyn
"255 1st Street, 11B - Park Slope, New York",4500,"Condo, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,160",Brooklyn
"Kings Highway - Bensonhurst, New York",4500,Commercial,| 1 Bath,Listing ID: 3739467,Brooklyn
"Schermerhorn Street - Fort Greene, New York",4450,"Rental, Doorman",1 Bed | 1 Bath,Approximate Sq. Feet: 600,Brooklyn
"1801 Dorchester Rd, 2E - Ditmas Park, New York",4400,"Rental, Doorman",3 Beds | 2 Baths,Listing ID: 3861876,Brooklyn
"164 South 3rd Street, 1B - Williamsburg, New York",4400,Multi-Family,2 Beds | 1 Bath,Listing ID: 3826070,Brooklyn
"475 Clermont Avenue, 615 - Fort Greene, New York",4340,Rental,1.5 Beds | 1 Bath | 1 Half Bath,Listing ID: 3877313,Brooklyn
"Caton Pl - Windsor Terrace, New York",4325,"Rental, Doorman",2 Beds | 2 Baths,"Approximate Sq. Feet: 1,015",Brooklyn
"918 Ditmas Avenue, 2 - Kensington, New York",4300,Multi-Family,5 Beds | 2 Baths,Listing ID: 3853428,Brooklyn
"10th Street - Park Slope, New York",4295,Rental,3 Beds | 2 Baths,"Approximate Sq. Feet: 1,200",Brooklyn
"290 Greene Avenue, 3 - Clinton Hill, New York",4200,Multi-Family,2 Beds | 1 Bath,Approximate Sq. Feet: 930,Brooklyn
"115 Greenpoint Avenue, D2 - Greenpoint, New York",4200,Rental,3 Beds | 2 Baths,Listing ID: 3858380,Brooklyn
"THE CARLTON, 82 Irving Pl, 1B - Clinton Hill, New York",4200,Condo,2 Beds | 1 Bath | 1 Half Bath,"Approximate Sq. Feet: 1,271 | Approximate Exterior Sq. Ft: 364",Brooklyn
"Gair2, 25 Washington Street, 8D - Dumbo, New York",4195,Rental,1 Bed | 1 Bath,Approximate Sq. Feet: 543,Brooklyn
"475 Clermont Avenue, 224A - Fort Greene, New York",4195,Rental,2 Beds | 1 Bath | 1 Half Bath,Listing ID: 3872904,Brooklyn
"300 Ashland Pl, 28R - Fort Greene, New York",4125,"Rental, Doorman",1 Bed | 1 Bath,Listing ID: 3888404,Brooklyn
"142 Chester Avenue, 1A - Kensington, New York",4125,Rental,3 Beds | 1 Bath | 1 Half Bath,Listing ID: 3777841,Brooklyn
"Atlantic Avenue - Cobble Hill, New York",4030,Rental,1 Bed | 1 Bath,Approximate Sq. Feet: 782,Brooklyn
"4303 Church Avenue, COMM - Prospect-Lefferts Gardens, New York",4000,Commercial,| 2 Baths,Listing ID: 3799645,Brooklyn
"270 Smith Street, 1 - Carroll Gardens, New York",4000,Rental,2.5 Beds | 1 Bath,Listing ID: 3869941,Brooklyn
"42 Butler Street, 3 - Cobble Hill, New York",4000,Rental,2 Beds | 1 Bath,Listing ID: 3894347,Brooklyn
"Montague Street - Brooklyn Heights, New York",4000,Rental,2 Beds | 1 Bath,Listing ID: 3892428,Brooklyn
