"230 East 11th Street, Apt. 2",14000,"4 Beds / 2 Baths / 2,829 Sq. Ft. / Rental",East Village
"43 West 64th Street, Apt. 3B",8700,"1 Bed / 2 Baths / 1,688 Sq. Ft. / Condo",Upper West Side
"421 Hudson Street, Apt. 404",15000,"2 Beds / 2 Baths / 1,900 Sq. Ft. / Condo",West Village
"486 Broadway, Apt. PH",13500,"2 Beds / 2 Baths / 2,196 Sq. Ft. / Rental",Soho/Nolita
"364 West 116th Street, Apt. 3B",2337,2 Beds / 1 Bath / Rental,Morningside Heights
"212 West 16th Street, Apt. 1W",2395,Multi-Family Townhouse,Chelsea/Hudson Yards
"355 East 4th Street, Apt. 5A",3400,3 Beds / 1 Bath / Rental,East Village
"107 West 82nd Street, Apt. 1B",4000,1 Bed / 1 Bath / 750 Sq. Ft. / Co-op,Upper West Side
"51 Bank Street, Apt. 21",3995,2 Beds / 1 Bath / Rental,West Village
"519 Broadway, Apt. 6 FL",19000,"3 Beds / 2 Baths / 4,200 Sq. Ft. / Co-op",Soho/Nolita
"49 West 94th Street, Apt. GARDEN",7500,6 Units / 5 Floors / Multi-Family Townhouse,Upper West Side
"10 West 15th Street, Apt. PHM",17000,"3 Beds / 3 Baths / 1,752 Sq. Ft. / Co-op",Flatiron
"233 East 21st Street, Apt. 18",4750,3 Beds / 1 Bath / Rental,Gramercy
"515 East 72nd Street, Apt. 30B",6750,"2 Beds / 2 Baths / 1,015 Sq. Ft. / Condo",Upper East Side
"275 West 10th Street, Apt. 6D",45000,4 Beds / 4 Baths / Condo,West Village
"111 West 67th Street, Apt. 20D",3550,1 Bed / 1 Bath / 641 Sq. Ft. / Condo,Upper West Side
"54 East 83rd Street, Apt. 3A",3350,Studio / 1 Bath / Rental,Upper East Side
"300 Albany Street, Apt. 6A",3500,1 Bed / 1 Bath / 546 Sq. Ft. / Condo,Battery Park City
"300 Albany Street, Apt. 6A",3500,1 Bed / 1 Bath / 546 Sq. Ft. / Condo,Battery Park City
"210 West 70th Street, Apt. 316",2875,Studio / 1 Bath / Rental,Upper West Side
"527 West 149th Street, Apt. 2",2500,5 Units / 3 Floors / Townhouse,Hamilton Heights
"340 East 64th Street, Apt. 18L",7900,"2 Beds / 2 Baths / 1,616 Sq. Ft. / Condo",Upper East Side
"164 Bank Street, Apt. 4B",4750,1 Bed / 1 Bath / 775 Sq. Ft. / Condo,West Village
"210 East 17th Street, Apt. 2A",4100,2 Beds / 1 Bath / 650 Sq. Ft. / Co-op,Gramercy
"189 Avenue C, Apt. 5D",4000,Studio / 1 Bath / 751 Sq. Ft. / Condo,East Village
"56 Perry Street, Apt. 1FE",4795,2 Beds / 1 Bath / Rental,West Village
"46 West 89th Street, Apt. 4",6995,6 Units / 5 Floors / Multi-Family Townhouse,Upper West Side
"340 East 23rd Street, Apt. 14L",3850,1 Bed / 1 Bath / 770 Sq. Ft. / Condo,Gramercy
"55 East 86th Street, Apt. 3D",3500,1 Bed / 1 Bath / Condo,Carnegie Hill
"123 Washington Street, Apt. 55D",7900,2 Beds / 2 Baths / Condo,Financial District
"101 West 87th Street, Apt. 504",4250,1 Bed / 1 Bath / 662 Sq. Ft. / Condo,Upper West Side
"150 Sullivan Street, Apt. 33",3695,1 Bed / 1 Bath / Co-op,Soho/Nolita
"170 East 87th Street, Apt. W17D",7500,2 Beds / 2 Baths / Condo,Upper East Side
"32 Gramercy Park South, Apt. 12H",4300,1 Bed / 1 Bath / Co-op,Gramercy
"241 Eldridge Street, Apt. 3R",4995,2 Beds / 1 Bath / Condo,Lower East Side
"21 West 12th Street, Apt. PARLORB",6800,1 Bed / 1 Bath / Rental,Greenwich Village
"60 East 8th Street, Apt. 6N",6500,1 Bed / 1 Bath / 980 Sq. Ft. / Condo/Co-op,Greenwich Village
"391 Broadway, Apt. LOFTA",18500,"4 Beds / 4 Baths / 2,981 Sq. Ft. / Condo",Tribeca
"473 Hudson Street, Apt. 2",10000,4 Floors / Multi-Family Townhouse,West Village
"905 West End Avenue, Apt. 43",8700,"3 Beds / 2 Baths / 1,812 Sq. Ft. / Condo",Upper West Side
"204 East 7th Street, Apt. 17-19",3995,2 Beds / 1 Bath / Co-op,East Village
"15 Hudson Yards, Apt. 39J",8000,"1 Bed / 1 Bath / 1,149 Sq. Ft. / Condo",Chelsea/Hudson Yards
"462 West 58th Street, Apt. 7E",4600,1 Bed / 2 Baths / Condo,Midtown West
"9 West 95th Street, Apt. F",2650,4 Units / 5 Floors / Multi-Family Townhouse,Upper West Side
"101 Thompson Street, Apt. 12",3450,1 Bed / 1 Bath / Co-op,Soho/Nolita
"70 La Salle Street, Apt. 14G",3500,2 Beds / 1 Bath / Co-op,Morningside Heights
"235 West 75th Street, Apt. 1020",17000,3 Beds / 3 Baths / Condo,Upper West Side
"150 East 85th Street, Apt. 9E",3400,1 Bed / 1 Bath / 610 Sq. Ft. / Condo,Upper East Side
"124 West 23rd Street, Apt. 5C",3850,Studio / 1 Bath / Condo,Chelsea/Hudson Yards
"117 West 123rd Street, Apt. 2B",3300,1 Bed / 1 Bath / Condo,Harlem
"422 East 72nd Street, Apt. 19B",3550,1 Bed / 1 Bath / Condo,Upper East Side
"61 West 9th Street, Apt. 3D",5500,1 Bed / 1 Bath / 850 Sq. Ft. / Co-op,Greenwich Village
"63 West 107th Street, Apt. 51",3200,2 Beds / 1 Bath / Condo,Upper West Side
"30 Park Place, Apt. 52C/39E",19000,"2 Beds / 2 Baths / 2,044 Sq. Ft. / Condo",Tribeca
"600 West 115th Street, Apt. 31",3950,2 Beds / 1 Bath / Co-op,Morningside Heights
"150 West 51st Street, Apt. 1417",3700,1 Bed / 1 Bath / Condo,Midtown West
"250 East 49th Street, Apt. 19B",3900,1 Bed / 1 Bath / Condo,Midtown East
"200 East 21st Street, Apt. 7A",10250,2 Beds / 2 Baths / Condo,Gramercy
"346 East 119th Street, Apt. 3A",2300,1 Bed / 1 Bath / 730 Sq. Ft. / Condo,East Harlem
"16 East 98th Street, Apt. PH10A",9500,"2 Beds / 1 Bath / 1,380 Sq. Ft. / Co-op",Carnegie Hill
"199 Bowery, Apt. 2F",4500,1 Bed / 1 Bath / Condo,Lower East Side
"211 East 13th Street, Apt. 5K",8500,2 Beds / 2 Baths / Condo,East Village
"370 West 116th Street, Apt. 2B",2550,3 Beds / 1 Bath / Rental,Harlem
"329 West 51st Street, Apt. 1",1900,Studio / 1 Bath / Rental,Clinton
