81 Macon Street,2995000,"5 Units / 4 Floors / 3,200 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"168 Evergreen Avenue, Apt. 2B",575000,1 Bed / 1 Bath / 584 Sq. Ft. / Condo,Bushwick
"378 Baltic Street, Apt. 9B",695000,1 Bed / 1 Bath / 609 Sq. Ft. / Condo,Boerum Hill
"61 Eastern Parkway, Apt. 6D",1495000,2.5 Beds / 2 Baths / Co-op,Prospect Heights
"154 Nelson Street, Apt. Garden",2250000,"2 Beds / 2 Baths / 1,935 Sq. Ft. / Condo",Carroll Gardens
"59 Hawthorne Street, Apt. 2A",695000,2 Beds / 1 Bath / 887 Sq. Ft. / Condo,Lefferts Gardens
1097 Lorimer Street,2650000,"3 Floors / 2,448 Sq. Ft. / Single Family Townhouse",Greenpoint
"68 Grove Street, Apt. 2R",1150000,"3 Beds / 2 Baths / 1,228 Sq. Ft. / Condo",Bushwick
"631 East 18th Street, Apt. 5B",499000,1 Bed / 1 Bath / Condo,Ditmas Park
507 Hart Street,815000,"2 Units / 2 Floors / 1,840 Sq. Ft. / Multi-Family Townhouse",Bushwick
1037 East 85th Street,950000,"2 Units / 3 Floors / 2,840 Sq. Ft. / Multi-Family Townhouse",empty neighborhood
"168 Evergreen Avenue, Apt. 1A",595000,Studio / 1 Bath / 782 Sq. Ft. / Condo,Bushwick
"168 Evergreen Avenue, Apt. 2A",595000,1 Bed / 1 Bath / 610 Sq. Ft. / Condo,Bushwick
"68 Grove Street, Apt. 2L",1125000,"3 Beds / 2 Baths / 1,210 Sq. Ft. / Condo",Bushwick
"87 Smith Street, Apt. 8B",1299000,"2 Beds / 2 Baths / 1,094 Sq. Ft. / Condo",Boerum Hill
"120 Oceana Drive West, Apt. 5G",1899000,"4 Beds / 3 Baths / 1,907 Sq. Ft. / Condo",Brighton Beach
195 Avenue Z,639000,"2 Units / 2 Floors / 1,088 Sq. Ft. / House",Gravesend
100 Albany Avenue,1295000,"2 Units / 2 Floors / 2,100 Sq. Ft. / Multi-Family Townhouse",Crown Heights
7625 6th Avenue,1395000,2 Floors / Single Family Townhouse,Bay Ridge
"285 Prospect Place, Apt. D4",530000,1 Bed / 1 Bath / Co-op,Prospect Heights
"683 41st Street, Apt. 23",445000,1 Bed / 1 Bath / Co-op,Sunset Park
219 26th Street,800000,"2 Floors / 1,800 Sq. Ft. / Multi-Family Townhouse",Greenwood
"200 16th Street, Apt. 3E",650000,1 Bed / 1 Bath / Condo,Park Slope
"124 Freeman Street, Apt. 1B",999999,2 Beds / 1 Bath / 985 Sq. Ft. / Condo,Greenpoint
385 Hawthorne Street,1699999,"3 Beds / 2 Baths / 2,400 Sq. Ft. / House",Lefferts Gardens
"11 Hoyt Street, Apt. 36E",1030000,1 Bed / 1 Bath / 695 Sq. Ft. / Condo,Downtown Brooklyn
530 Chauncey Street,1859000,"6 Units / 3 Floors / 5,460 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
205 Lefferts Avenue,1525000,"2 Units / 2 Floors / 2,160 Sq. Ft. / Multi-Family Townhouse",Lefferts Gardens
257 Kosciuszko Street,1595000,"2 Units / 2 Floors / 3,000 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
27 Gunther Place,1095000,2 Units / 2 Floors / Multi-Family Townhouse,Bedford-Stuyvesant
"39 Plaza Street West, Apt. 7C",1125000,2 Beds / 2 Baths / Co-op,Park Slope
"39 Plaza Street West, Apt. 6C",1165000,2 Beds / 2 Baths / Co-op,Park Slope
"191 Luquer Street, Apt. 4A",1795000,3 Beds / 2 Baths / Condo,Carroll Gardens
410 Atlantic Avenue,2995000,"2 Units / 3 Floors / 3,000 Sq. Ft. / Mixed Use Townhouse",Boerum Hill
"140 8th Avenue, Apt. 6J",690000,1 Bed / 1 Bath / Co-op,Park Slope
"820 Ocean Parkway, Apt. 612",485000,2 Beds / 1 Bath / Co-op,Midwood
"230 Ashland Place, Apt. 5D",1220000,"2 Beds / 2 Baths / 1,059 Sq. Ft. / Condo",Fort Greene
"306 Gold Street, Apt. 9G",1450000,"1 Bed / 2 Baths / 1,684 Sq. Ft. / Condo",Downtown Brooklyn
"147 Hope Street, Apt. TH1A",2850000,"2.5 Beds / 2 Baths / 2,504 Sq. Ft. / Condo",Williamsburg
"147 Hope Street, Apt. PH 6B",2250000,"3 Beds / 2 Baths / 1,536 Sq. Ft. / Condo",Williamsburg
222 Mac Dougal Street,1500000,"3 Units / 3 Floors / 4,000 Sq. Ft. / Multi-Family Townhouse",Bedford-Stuyvesant
"44 Lexington Avenue, Apt. 2D",1250000,"2 Beds / 2 Baths / 1,048 Sq. Ft. / Condo",Clinton Hill
551 74th Street,1300000,2 Units / 2 Floors / Multi-Family Townhouse,Bay Ridge
97 Grand Street,4800000,"4 Units / 4 Floors / 4,500 Sq. Ft. / Multi-Family Townhouse",Williamsburg
"11 Hoyt Street, Apt. 5D",3700000,"3 Beds / 3 Baths / 2,232 Sq. Ft. / Condo",Downtown Brooklyn
105 East 4th Street,990000,"2 Units / 2 Floors / 2,114 Sq. Ft. / Multi-Family Townhouse",Windsor Terrace
268 Dean Street,3995000,"6 Units / 3 Floors / 3,600 Sq. Ft. / Multi-Family Townhouse",Boerum Hill
"108 India Street, Apt. 1",2590000,"3 Beds / 2 Baths / 2,398 Sq. Ft. / Condo",Greenpoint
"289 Devoe Street, Apt. 4R",995000,2 Beds / 1 Bath / Condo,Williamsburg
"219 Weirfield Street, Apt. 2",699000,3 Beds / 1 Bath / Condo,Bushwick
26 Weirfield Street,1035000,2 Units / 3 Floors / Multi-Family Townhouse,Bushwick
292 Lafayette Avenue,2799000,"2 Units / 4 Floors / 2,870 Sq. Ft. / Multi-Family Townhouse",Clinton Hill
"11 Hoyt Street, Apt. 16D",930000,1 Bed / 1 Bath / 719 Sq. Ft. / Condo,Downtown Brooklyn
160 Hoyt Street,3250000,"2 Units / 4 Floors / 3,020 Sq. Ft. / Multi-Family Townhouse",Boerum Hill
"474 Grand Avenue, Apt. 3",995000,2 Beds / 2 Baths / 882 Sq. Ft. / Condo,Clinton Hill
"524 Saint Johns Place, Apt. 2A",798000,2 Beds / 1 Bath / 756 Sq. Ft. / Condo,Crown Heights
"147 Hope Street, Apt. 4I",1250000,"2 Beds / 2 Baths / 1,079 Sq. Ft. / Condo",Williamsburg
"4907 4th Avenue, Apt. PH-BD",975000,2 Beds / 2 Baths / 945 Sq. Ft. / Condo,Sunset Park
"20 Dikeman Street, Apt. 2B",1170000,2 Beds / 2 Baths / Condo,Red Hook
"147 Hope Street, Apt. 3H",1395000,"2 Beds / 2 Baths / 1,294 Sq. Ft. / Condo",Williamsburg
"474 Grand Avenue, Apt. 2",1100000,"2 Beds / 2 Baths / 1,179 Sq. Ft. / Condo",Clinton Hill
"160 Lincoln Place, Apt. 3c",549000,1 Bed / 1 Bath / Co-op,Park Slope
"324 Dean Street, Apt. PHB",2699000,"3 Beds / 3 Baths / 1,840 Sq. Ft. / Condo",Boerum Hill
154 Clifton Place,2795000,"2 Units / 4 Floors / 2,280 Sq. Ft. / Multi-Family Townhouse",Clinton Hill
"315 Greene Avenue, Apt. 1A",1450000,"2 Beds / 2 Baths / 1,562 Sq. Ft. / Condo",Clinton Hill
"100 Jay Street, Apt. 18J",1295000,1 Bed / 1 Bath / 909 Sq. Ft. / Condo,DUMBO/Vinegar Hill
"631 East 18th Street, Apt. 3D",740000,2 Beds / 1 Bath / Condo,Ditmas Park
1079 Hancock Street,1595000,"2 Units / 3 Floors / 3,000 Sq. Ft. / Multi-Family Townhouse",Bushwick
"95 Lexington Avenue, Apt. 2C",1150000,"1.5 Beds / 2 Baths / 1,015 Sq. Ft. / Condo",Clinton Hill
1621 Pacific Street,1595000,"2 Units / 3 Floors / 2,833 Sq. Ft. / Multi-Family Townhouse",Crown Heights
"11 Hoyt Street, Apt. 16G",1395000,"2 Beds / 2 Baths / 1,015 Sq. Ft. / Condo",Downtown Brooklyn
"582 Morgan Avenue, Apt. 2R",550000,2 Beds / 1 Bath / Co-op,Greenpoint
"651 Vanderbilt Street, Apt. 5K",695000,2 Beds / 1 Bath / 810 Sq. Ft. / Co-op,Windsor Terrace
"337 Herkimer Street, Apt. 1R",699000,1 Bed / 1 Bath / Condo,Bedford-Stuyvesant
736 Bergen Street,1900000,2 Floors / Single Family Townhouse,Prospect Heights
"96 Schermerhorn Street, Apt. 8D",940000,1.5 Beds / 1 Bath / 920 Sq. Ft. / Co-op,Brooklyn Heights
"525 Vanderbilt Avenue, Apt. 1A",849000,2 Beds / 2 Baths / 932 Sq. Ft. / Condo,Fort Greene
"175 Prospect Park SW, Apt. 2E",560000,1 Bed / 1 Bath / Co-op,Windsor Terrace
101 Douglass Street,3795000,6 Units / 4 Floors / Multi-Family Townhouse,Boerum Hill
