,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
119,"135 West 118th Street, Unit 2",Harlem,2550,1 BD,1 BA,Manhattan,Compass
120,"425 East 13th Street, Unit 3C",East Village,7000,2 BD,2 BA,Manhattan,Compass
121,"754 East 6th Street, Unit 6B","Manhattan, NY 10009",3800,2 BD,2 BA,Manhattan,Compass
123,"28 East 130th Street, Unit 3A",East Harlem,2275,1 BD,1 BA,Manhattan,Compass
124,"245 West 25th Street, Unit 2C",Chelsea,4790,1 BD,1 BA,Manhattan,Compass
125,"101 Wall Street, Unit 10B",Financial District,7000,2 BD,2.5 BA,Manhattan,Compass
126,"634 Washington Street, Unit GA",West Village,14000,4 BD,3 BA,Manhattan,Compass
127,"522 West 29th Street, Unit 7D",Chelsea,28500,5 BD,5 BA,Manhattan,Compass
128,"413 East 78th Street, Unit 3FW",Upper East Side,2705,1 BD,1 BA,Manhattan,Compass
129,"550 West 45th Street, Unit 2012",Hell's Kitchen,3600,1 BD,1 BA,Manhattan,Compass
130,"40 St Marks Place, Unit 3",East Village,2400,1 BD,1 BA,Manhattan,Compass
131,"54 Thompson Street, Ofc 5",SoHo,44894,1 BD,1 BA,Manhattan,Compass
133,"157 West 57th Street, Unit 39F",Theater District,30000,3 BD,3.5 BA,Manhattan,Compass
134,1635 Lexington Avenue,East Harlem,2995,Studio,1 BA,Manhattan,Compass
135,"845 United Nations Plaza, Unit 62A",Midtown East,14000,3 BD,2.5 BA,Manhattan,Compass
136,"550 West 45th Street, Unit 2411",Hell's Kitchen,3300,1 BD,1 BA,Manhattan,Compass
138,"29 Essex Street, Unit RETAIL",Lower East Side,2900,1 BD,0.5 BA,Manhattan,Compass
139,"410 West 24th Street, Unit 4M",Chelsea,4200,1 BD,1 BA,Manhattan,Compass
140,"148 East 40th Street, Unit CARRIAGE",Murray Hill,40000,Studio,1 BA,Manhattan,Compass
142,"35 East 76th Street, Unit 3101",Upper East Side,90000,1 BD,2 BA,Manhattan,Compass
143,"35 East 76th Street, Unit 2209",Upper East Side,150000,2 BD,2 BA,Manhattan,Compass
144,"35 East 76th Street, Unit 1516",Upper East Side,27000,1 BD,1.5 BA,Manhattan,Compass
145,"35 East 76th Street, Unit 1504",Upper East Side,75000,1 BD,1.5 BA,Manhattan,Compass
146,"838 Greenwich St, Unit Penthouse C",West Village,6500,1 BD,1.5 BA,Manhattan,Compass
147,"55 Wall Street, Unit PH910F",Financial District,13995,3 BD,2.5 BA,Manhattan,Compass
148,"35 East 76th Street, Unit 1202",Upper East Side,75000,1 BD,2 BA,Manhattan,Compass
149,"35 East 76th Street, Unit 602",Upper East Side,66000,2 BD,2 BA,Manhattan,Compass
150,"35 East 76th Street, Unit 3006",Upper East Side,82500,2 BD,2 BA,Manhattan,Compass
151,"35 East 76th Street, Unit 3001",Upper East Side,150000,1 BD,2 BA,Manhattan,Compass
152,"35 East 76th Street, Unit 515",Upper East Side,63000,1 BD,2 BA,Manhattan,Compass
153,"35 East 76th Street, Unit 1706",Upper East Side,75000,1 BD,1.5 BA,Manhattan,Compass
154,"35 East 76th Street, Unit 1015",Upper East Side,75000,1 BD,1.5 BA,Manhattan,Compass
155,"35 East 76th Street, Unit 1506",Upper East Side,150000,2 BD,2 BA,Manhattan,Compass
156,"20 West 53rd Street, Unit 21B",Theater District,10000,1 BD,1 BA,Manhattan,Compass
157,"449 West 24th Street, Unit TRIPLEX",Chelsea,17950,3 BD,2.5 BA,Manhattan,Compass
159,"81 Irving Place, Unit 12D",Gramercy,7000,2 BD,2 BA,Manhattan,Compass
160,"100 Norfolk Street, Unit PHBC",Lower East Side,27500,4 BD,4.5 BA,Manhattan,Compass
161,"234 East 23rd Street, Unit 3B",Gramercy,5200,1 BD,1 BA,Manhattan,Compass
162,"115 East 90th Street, Unit 4E",Upper East Side,4995,2 BD,1 BA,Manhattan,Compass
163,"80 John Street, Unit 10A",Financial District,2850,Studio,1 BA,Manhattan,Compass
164,"7 East 14th Street, Unit 623",Flatiron,2900,Studio,1 BA,Manhattan,Compass
165,"301 East 79th Street, Unit 25R",Upper East Side,3000,1 BD,1 BA,Manhattan,Compass
166,"252 South Street, Unit 10K",Lower East Side,3845,1 BD,1 BA,Manhattan,Compass
167,"251 West 89th Street, Unit 5E",Upper West Side,3300,1 BD,1 BA,Manhattan,Compass
169,"144 East 36th Street, Unit 8B",Murray Hill,4500,2 BD,1.5 BA,Manhattan,Compass
170,"455 Main Street, Unit 3H",Roosevelt Island,3050,1 BD,1 BA,Manhattan,Compass
171,"949 Columbus Avenue, Unit 5",Upper West Side,3600,3 BD,1 BA,Manhattan,Compass
172,"7 East 14th Street, Unit 702",Flatiron,3750,1 BD,1 BA,Manhattan,Compass
173,"100 Norfolk Street, Unit PHC",Lower East Side,9500,2 BD,2 BA,Manhattan,Compass
174,"30 Park Place, Unit 68B",TriBeCa,29995,3 BD,3.5 BA,Manhattan,Compass
175,"322 West 57th Street, Unit 25HH",Hell's Kitchen,4950,1 BD,1 BA,Manhattan,Compass
176,"500 West 21st Street, Unit 3A",Chelsea,20950,3 BD,3.5 BA,Manhattan,Compass
177,"169 Spring Street, Unit 2E",SoHo,18000,3 BD,3 BA,Manhattan,Compass
179,"155 Franklin Street, Unit 4N",TriBeCa,30000,4 BD,3 BA,Manhattan,Compass
180,"312 West 90th Street, Unit 3B",Upper West Side,4700,2 BD,2 BA,Manhattan,Compass
181,"66 Madison Avenue, Unit 3BC",NoMad,5995,2 BD,2 BA,Manhattan,Compass
182,"115 4th Avenue, Unit 3F",Greenwich Village,12000,2 BD,2 BA,Manhattan,Compass
183,"45 East 25th Street, Unit 20A",Flatiron,4600,1 BD,1 BA,Manhattan,Compass
184,"241 East 76th Street, Unit 1B",Upper East Side,3000,1 BD,1 BA,Manhattan,Compass
185,"845 United Nations Plaza, Unit 24H",Midtown East,6800,2 BD,2 BA,Manhattan,Compass
186,"146 West 74th Street, Unit 2",Upper West Side,4995,2 BD,1.5 BA,Manhattan,Compass
187,"404 East 79th Street, Unit 23H",Upper East Side,5500,2 BD,2 BA,Manhattan,Compass
