,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
1503,"927 Madison Avenue, Unit 4R",Upper East Side,2675,1 BD,1 BA,Manhattan,Compass
1504,"302 West 87th Street, Unit 26",Upper West Side,3200,2 BD,1 BA,Manhattan,Compass
1505,"218 West 22nd Street, Unit 3R",Chelsea,5958,3 BD,1 BA,Manhattan,Compass
1506,"150 West 47th Street, Unit 5G",Theater District,2400,Studio,1 BA,Manhattan,Compass
1507,"610 Park Avenue, Unit 10C",Upper East Side,18000,2 BD,3 BA,Manhattan,Compass
1508,"229 East 29th Street, Unit 6N",Kips Bay,3495,2 BD,1 BA,Manhattan,Compass
1509,"113 West 85th Street, Unit 4A",Upper West Side,2850,2 BD,1 BA,Manhattan,Compass
1510,"192 Bleecker Street, Unit 6",Greenwich Village,3340,1 BD,1 BA,Manhattan,Compass
1511,"222 Thompson Street, Unit 11",Greenwich Village,3995,2 BD,1 BA,Manhattan,Compass
1512,"414 West 121st Street, Unit 37",Morningside Heights,3295,2 BD,1 BA,Manhattan,Compass
1513,330 East 11th Street,East Village,3800,Studio,1 BA,Manhattan,Compass
1514,"511 East 73rd Street, Unit 5",Upper East Side,2825,2 BD,1 BA,Manhattan,Compass
1515,"414 West 121st Street, Unit 28",Morningside Heights,3150,2 BD,1 BA,Manhattan,Compass
1516,"525 East 80th Street, Unit 10D",Upper East Side,7995,3 BD,2.5 BA,Manhattan,Compass
1517,"445 East 78th Street, Unit 3B",Upper East Side,2600,1 BD,1 BA,Manhattan,Compass
1518,"404 East 76th Street, Unit 29C",Upper East Side,7000,2 BD,2 BA,Manhattan,Compass
1519,"511 East 73rd Street, Unit 14",Upper East Side,2850,2 BD,1 BA,Manhattan,Compass
1520,"301 East 91st Street, Unit 5E",Upper East Side,2500,2 BD,1 BA,Manhattan,Compass
1521,"301 East 91st Street, Unit 5S",Upper East Side,2450,1 BD,1 BA,Manhattan,Compass
1522,"50 Wooster Street, Unit 5N",SoHo,50000,3 BD,3.5 BA,Manhattan,Compass
1523,"507 East 73rd Street, Unit 14",Upper East Side,2795,2 BD,1 BA,Manhattan,Compass
1524,"150 West 47th Street, Unit 12D",Theater District,2350,Studio,1 BA,Manhattan,Compass
1525,"235 West End Avenue, Unit 11G",Upper West Side,3695,1 BD,1 BA,Manhattan,Compass
1526,"7 West 103rd Street, Unit 1C",Upper West Side,2000,1 BD,1 BA,Manhattan,Compass
1527,"401 2nd Avenue, Unit 26BD",Kips Bay,3500,1 BD,1 BA,Manhattan,Compass
1528,"785 West End Avenue, Unit 3D",Upper West Side,3000,1 BD,1 BA,Manhattan,Compass
1529,"200 East 58th Street, Unit 12E",Midtown East,3600,1 BD,1 BA,Manhattan,Compass
1530,"320 West 17th Street, Unit 3FE",Chelsea,3200,1 BD,1 BA,Manhattan,Compass
1531,"469 Columbus Avenue, Unit 4F",Upper West Side,4500,3 BD,1.5 BA,Manhattan,Compass
1532,"21 West 106th Street, Unit 4D",Upper West Side,2933,2 BD,1 BA,Manhattan,Compass
1533,"311 West 94th Street, Unit 4C",Upper West Side,3095,2 BD,1 BA,Manhattan,Compass
1534,"129 East 47th Street, Unit 4B",Midtown East,2850,2 BD,1 BA,Manhattan,Compass
1535,"30 Morningside Drive, Unit 315",Morningside Heights,4330,1 BD,1 BA,Manhattan,Compass
1536,"273 West 10th Street, Unit 1FE",West Village,3595,1 BD,1 BA,Manhattan,Compass
1537,"107-111 East 102nd Street, Unit 6F",East Harlem,2300,1 BD,1 BA,Manhattan,Compass
1538,"5 East 22nd Street, Unit 4E",Flatiron,3795,1 BD,1 BA,Manhattan,Compass
1539,"307 West 137th Street, Unit 1",Harlem,2495,1 BD,1 BA,Manhattan,Compass
1540,"242 East 10th Street, Unit 22",East Village,2550,1 BD,1 BA,Manhattan,Compass
1541,"62 West 70th Street, Unit 1A",Upper West Side,2050,Studio,1 BA,Manhattan,Compass
1542,"302 East 94th Street, Unit 3D",Upper East Side,2700,2 BD,1 BA,Manhattan,Compass
1543,"1272 Amsterdam Avenue, Unit 1C",Morningside Heights,2658,2 BD,1 BA,Manhattan,Compass
1544,"511 East 73rd Street, Unit 28",Upper East Side,2050,1 BD,1 BA,Manhattan,Compass
1545,"270 Seaman Avenue, Unit E6",Inwood,2600,2 BD,1 BA,Manhattan,Compass
1546,"50 West 88th Street, Unit 1",Upper West Side,2395,Studio,1 BA,Manhattan,Compass
1547,"227 Audubon Avenue, Unit 62",Washington Heights,3000,3 BD,1 BA,Manhattan,Compass
1548,"321 West 37th Street, Unit PHA",Hudson Yards,3720,1 BD,1 BA,Manhattan,Compass
1549,"90 Rivington Street, Unit 4A",Lower East Side,2125,1 BD,1 BA,Manhattan,Compass
1550,"201 West 11th Street, Unit 5H",West Village,3725,1 BD,1 BA,Manhattan,Compass
1551,"339 East 57th Street, Unit 5F",Midtown East,2850,1 BD,1 BA,Manhattan,Compass
1552,"577 Isham Street, Unit 4C",Inwood,2325,1 BD,1 BA,Manhattan,Compass
1553,"407 East 6th Street, Unit 4",East Village,4995,3 BD,2 BA,Manhattan,Compass
1554,"1278 1st Avenue, Unit 3",Upper East Side,3500,3 BD,1 BA,Manhattan,Compass
1555,"1252 Lexington Avenue, Unit 4F",Upper East Side,2500,1 BD,1 BA,Manhattan,Compass
1556,"530 West 174th Street, Unit 3",Washington Heights,2800,3 BD,1 BA,Manhattan,Compass
1557,"125 East 12th Street, Unit 5D",Greenwich Village,14666,3 BD,2 BA,Manhattan,Compass
1558,"481 Washington Street, Unit 5N",SoHo,16000,3 BD,3 BA,Manhattan,Compass
1559,"21 West 106th Street, Unit 1D",Upper West Side,3025,2 BD,1 BA,Manhattan,Compass
1560,"40-42 West 127th Street, Unit 7",Harlem,3695,4 BD,1 BA,Manhattan,Compass
1561,"58 East 80th Street, Unit 1A",Upper East Side,2100,Studio,1 BA,Manhattan,Compass
1562,"252 South Street, Unit 38K",Lower East Side,7000,2 BD,2 BA,Manhattan,Compass
1563,"107-111 East 102nd Street, Unit 3A",East Harlem,2300,1 BD,1 BA,Manhattan,Compass
1564,"306 Mott Street, Unit 4C",NoHo,2395,Studio,1 BA,Manhattan,Compass
1565,"330 East 11th Street, Unit 11",East Village,2500,1 BD,1 BA,Manhattan,Compass
1566,"1270 Amsterdam Avenue, Unit 3D",Morningside Heights,2612,2 BD,1 BA,Manhattan,Compass
1567,"56 East Avenue B Street, Unit 4B",East Village,3595,2 BD,1 BA,Manhattan,Compass
1568,"56 East Avenue B Street, Unit 3E",East Village,3395,2 BD,1 BA,Manhattan,Compass
1569,"1420 York Avenue, Unit 7D",Upper East Side,2350,Studio,1 BA,Manhattan,Compass
1570,"24 Henry Street, Unit 6",Lower East Side,4995,3 BD,2 BA,Manhattan,Compass
1571,"450 Amsterdam Avenue, Unit 2N",Upper West Side,4795,3 BD,1.5 BA,Manhattan,Compass
1572,"14 Delancey Street, Unit PH",Lower East Side,6300,2 BD,2 BA,Manhattan,Compass
1573,"228 8th Avenue, Unit 8",Chelsea,2900,2 BD,1 BA,Manhattan,Compass
1574,"322 West 57th Street, Unit 46K",Hell's Kitchen,3600,Studio,1 BA,Manhattan,Compass
1575,"612 West 137th Street, Unit 36",Hamilton Heights,2400,2 BD,1 BA,Manhattan,Compass
1576,"1270 Amsterdam Avenue, Unit 3C",Morningside Heights,2772,2 BD,1 BA,Manhattan,Compass
1577,"930 Amsterdam Avenue, Unit 4",Upper West Side,2300,1 BD,1 BA,Manhattan,Compass
1578,"305 East 63rd Street, Unit 10B",Upper East Side,4500,1 BD,1 BA,Manhattan,Compass
1579,"305 East 63rd Street, Unit 11E",Upper East Side,9000,2 BD,2.5 BA,Manhattan,Compass
1580,"360 West 28th Street, Unit 6A",Chelsea,2950,Studio,1 BA,Manhattan,Compass
1581,535 West 23rd Street,Chelsea,4400,Studio,1 BA,Manhattan,Compass
1582,"206 West 106th Street, Unit 59",Upper West Side,2300,1 BD,1 BA,Manhattan,Compass
1583,"244 Riverside Drive, Unit 4D",Upper West Side,2595,2 BD,1 BA,Manhattan,Compass
1584,"215 East 4th Street, Unit 2",East Village,2295,1 BD,1 BA,Manhattan,Compass
1585,"400 West 55th Street, Unit 16D",Hell's Kitchen,2995,Studio,1 BA,Manhattan,Compass
1586,"372 Central Park West, Unit 18G",Upper West Side,3000,Studio,1 BA,Manhattan,Compass
1587,"445 East 78th Street, Unit 3C",Upper East Side,3250,2 BD,1 BA,Manhattan,Compass
1588,"305 East 63rd Street, Unit 14D",Upper East Side,9000,2 BD,2.5 BA,Manhattan,Compass
1589,"322 Convent Avenue, Unit 3B",Hamilton Heights,2383,2 BD,1 BA,Manhattan,Compass
1590,"305 East 24th Street, Unit 2R",Kips Bay,2875,Studio,1 BA,Manhattan,Compass
1591,"227 Audubon Avenue, Unit 24",Washington Heights,2000,2 BD,1 BA,Manhattan,Compass
1592,"210 East 60th Street, Unit 3",Upper East Side,4100,3 BD,1 BA,Manhattan,Compass
1593,"163 West 85th Street, Unit G",Upper West Side,5000,2 BD,1 BA,Manhattan,Compass
1594,"201 East 89th Street, Unit 2D",Upper East Side,2250,Studio,1 BA,Manhattan,Compass
1595,"612 West 137th Street, Unit 47",Hamilton Heights,2550,2 BD,1 BA,Manhattan,Compass
1596,"10 Downing Street, Unit 2G",West Village,6400,1 BD,1 BA,Manhattan,Compass
1597,"531 West 159th Street, Unit 6D",Washington Heights,3450,2 BD,2 BA,Manhattan,Compass
1598,"27 West 85th Street, Unit A",Upper West Side,2400,1 BD,1.5 BA,Manhattan,Compass
1599,"400 East 58th Street, Unit 16G",Midtown East,4310,1 BD,1 BA,Manhattan,Compass
1600,"505 West 122nd Street, Unit 1",Morningside Heights,2658,2 BD,1 BA,Manhattan,Compass
1601,"305 East 63rd Street, Unit 6J",Upper East Side,3300,Studio,1 BA,Manhattan,Compass
1602,"238 East 82nd Street, Unit 2A",Upper East Side,2300,1 BD,1 BA,Manhattan,Compass
1603,"100 United Nations Plaza, Unit 16C",Midtown East,4150,1 BD,1 BA,Manhattan,Compass
1604,"1274 1st Avenue, Unit 15",Upper East Side,3000,2 BD,1 BA,Manhattan,Compass
1605,"507 East 73rd Street, Unit 28",Upper East Side,1950,1 BD,1 BA,Manhattan,Compass
1606,"150 West 47th Street, Unit 8F",Theater District,3700,2 BD,1 BA,Manhattan,Compass
1607,"555 West 59th Street, Unit 22H",Upper West Side,4100,1 BD,1 BA,Manhattan,Compass
1608,"215 East 4th Street, Unit 2",East Village,2295,1 BD,1 BA,Manhattan,Compass
1609,"400 West 55th Street, Unit 16D",Hell's Kitchen,2995,Studio,1 BA,Manhattan,Compass
1610,"372 Central Park West, Unit 18G",Upper West Side,3000,Studio,1 BA,Manhattan,Compass
1611,"445 East 78th Street, Unit 3C",Upper East Side,3250,2 BD,1 BA,Manhattan,Compass
1612,"305 East 63rd Street, Unit 14D",Upper East Side,9000,2 BD,2.5 BA,Manhattan,Compass
1613,"322 Convent Avenue, Unit 3B",Hamilton Heights,2383,2 BD,1 BA,Manhattan,Compass
1614,"305 East 24th Street, Unit 2R",Kips Bay,2875,Studio,1 BA,Manhattan,Compass
1615,"227 Audubon Avenue, Unit 24",Washington Heights,2000,2 BD,1 BA,Manhattan,Compass
1616,"210 East 60th Street, Unit 3",Upper East Side,4100,3 BD,1 BA,Manhattan,Compass
1617,"163 West 85th Street, Unit G",Upper West Side,5000,2 BD,1 BA,Manhattan,Compass
1618,"201 East 89th Street, Unit 2D",Upper East Side,2250,Studio,1 BA,Manhattan,Compass
1619,"612 West 137th Street, Unit 47",Hamilton Heights,2550,2 BD,1 BA,Manhattan,Compass
1620,"10 Downing Street, Unit 2G",West Village,6400,1 BD,1 BA,Manhattan,Compass
1621,"531 West 159th Street, Unit 6D",Washington Heights,3450,2 BD,2 BA,Manhattan,Compass
1622,"27 West 85th Street, Unit A",Upper West Side,2400,1 BD,1.5 BA,Manhattan,Compass
1623,"400 East 58th Street, Unit 16G",Midtown East,4310,1 BD,1 BA,Manhattan,Compass
1624,"505 West 122nd Street, Unit 1",Morningside Heights,2658,2 BD,1 BA,Manhattan,Compass
1625,"305 East 63rd Street, Unit 6J",Upper East Side,3300,Studio,1 BA,Manhattan,Compass
1626,"238 East 82nd Street, Unit 2A",Upper East Side,2300,1 BD,1 BA,Manhattan,Compass
1627,"100 United Nations Plaza, Unit 16C",Midtown East,4150,1 BD,1 BA,Manhattan,Compass
1628,"1274 1st Avenue, Unit 15",Upper East Side,3000,2 BD,1 BA,Manhattan,Compass
1629,"507 East 73rd Street, Unit 28",Upper East Side,1950,1 BD,1 BA,Manhattan,Compass
1630,"150 West 47th Street, Unit 8F",Theater District,3700,2 BD,1 BA,Manhattan,Compass
1631,"555 West 59th Street, Unit 22H",Upper West Side,4100,1 BD,1 BA,Manhattan,Compass
1632,"555 West 59th Street, Unit 22H",Upper West Side,4100,1 BD,1 BA,Manhattan,Compass
1633,"150 West 47th Street, Unit 5A",Theater District,3700,2 BD,1 BA,Manhattan,Compass
1634,405 East 61st Street,Upper East Side,6100,2 BD,1 BA,Manhattan,Compass
1635,"56 East Avenue B Street, Unit 2E",East Village,3950,2 BD,1 BA,Manhattan,Compass
1636,"305 West 84th Street, Unit 3BN",Upper West Side,2500,1 BD,1 BA,Manhattan,Compass
1637,"45 East 89th Street, Unit 37B",Upper East Side,14950,3 BD,2.5 BA,Manhattan,Compass
1638,"56 East Avenue B Street, Unit 6F",East Village,3750,2 BD,1 BA,Manhattan,Compass
1639,"25 West 64th Street, Unit 6C",Upper West Side,2800,Studio,1 BA,Manhattan,Compass
1640,"89 Christopher Street, Unit 14",West Village,3950,1 BD,1 BA,Manhattan,Compass
1641,"36 West 76th Street, Unit 3A",Upper West Side,2850,1 BD,1 BA,Manhattan,Compass
1642,"310 Riverside Drive, Unit 911",Upper West Side,1995,Studio,1 BA,Manhattan,Compass
1643,"305 East 63rd Street, Unit 8M",Upper East Side,3350,Studio,1 BA,Manhattan,Compass
1644,"215 East 4th Street, Unit 1",East Village,3595,2 BD,1 BA,Manhattan,Compass
1645,"305 East 63rd Street, Unit 8N",Upper East Side,3350,Studio,1 BA,Manhattan,Compass
1646,"351 West 47th Street, Unit 2F",Hell's Kitchen,3100,2 BD,1 BA,Manhattan,Compass
1647,"360 West 34th Street, Unit 7L",Hudson Yards,2850,Studio,1 BA,Manhattan,Compass
1648,"544 West 156th Street, Unit 4E",Washington Heights,2200,2 BD,1 BA,Manhattan,Compass
1649,"928 Amsterdam Avenue, Unit 5",Upper West Side,2200,Studio,1 BA,Manhattan,Compass
1650,"452 East 84th Street, Unit 3F",Upper East Side,3350,2 BD,1 BA,Manhattan,Compass
1651,"612 West 137th Street, Unit 54",Hamilton Heights,2200,1 BD,1 BA,Manhattan,Compass
1652,"469 Columbus Avenue, Unit 2S",Upper West Side,2750,1 BD,1 BA,Manhattan,Compass
1653,"21 West 106th Street, Unit 1A",Upper West Side,3025,2 BD,1 BA,Manhattan,Compass
1654,"317 West 29th Street, Unit 2A",Chelsea,1895,Studio,1 BA,Manhattan,Compass
1655,"29 West 65th Street, Unit 1",Upper West Side,3250,1 BD,1 BA,Manhattan,Compass
1656,"527 West 141st Street, Unit 1BA",Hamilton Heights,3000,2 BD,2 BA,Manhattan,Compass
1657,"312 West 48th Street, Unit 6",Hell's Kitchen,3350,2 BD,1 BA,Manhattan,Compass
1658,"330 West 58th Street, Unit 11K",Hell's Kitchen,3799,1 BD,1 BA,Manhattan,Compass
1659,"63 Post Avenue, Unit 55",Inwood,1725,1 BD,1 BA,Manhattan,Compass
1660,"651 West 188th Street, Unit 6P",Washington Heights,1999,1 BD,1 BA,Manhattan,Compass
1661,"450 West 17th Street, Unit 507",Chelsea,4825,Studio,1 BA,Manhattan,Compass
1662,"450 West 17th Street, Unit 743",Chelsea,4770,Studio,1 BA,Manhattan,Compass
1663,"377 East 33rd Street, Unit 17B",Kips Bay,3785,1 BD,1 BA,Manhattan,Compass
1664,"126 Macdougal Street, Unit 3B",Greenwich Village,3690,2 BD,1 BA,Manhattan,Compass
1665,"1080 Amsterdam Avenue, Unit 203",Morningside Heights,3254,Studio,1 BA,Manhattan,Compass
1666,"360 East 65th Street, Unit 4F",Upper East Side,6096,3 BD,2 BA,Manhattan,Compass
1667,"375 South End Avenue, Unit 35G",Battery Park City,3655,Studio,1 BA,Manhattan,Compass
1668,"375 South End Avenue, Unit 18D",Battery Park City,3435,Studio,1 BA,Manhattan,Compass
1669,"240 East 86th Street, Unit 17B",Upper East Side,4550,1 BD,1 BA,Manhattan,Compass
1670,"240 East 86th Street, Unit 18F",Upper East Side,3550,Studio,1 BA,Manhattan,Compass
1671,"227 West 77th Street, Unit 10L",Upper West Side,3968,Studio,1 BA,Manhattan,Compass
1672,"413 West 23rd Street, Unit 5D",Chelsea,3275,Studio,1 BA,Manhattan,Compass
1673,"65 East 2nd Street, Unit 2F",East Village,6650,3 BD,2 BA,Manhattan,Compass
1674,50 West 34th Street,Midtown South,4000,3 BD,1 BA,Manhattan,Compass
1675,"342 East 8th Street, Unit 6D",East Village,3804,2 BD,1 BA,Manhattan,Compass
1676,"105 Duane Street, Unit 30E",TriBeCa,7515,2 BD,2 BA,Manhattan,Compass
1677,"245 East 40th Street, Unit 33B",Murray Hill,5530,1 BD,1 BA,Manhattan,Compass
1678,"160 Riverside Boulevard, Unit 17V",Upper West Side,3953,1 BD,1 BA,Manhattan,Compass
1679,"160 Riverside Boulevard, Unit 4N",Upper West Side,3348,1 BD,1 BA,Manhattan,Compass
1680,"125 West 116th Street, Unit 4B",Harlem,2773,2 BD,1 BA,Manhattan,Compass
1681,"349 East 58th Street, Unit 3R",Midtown East,3795,2 BD,1 BA,Manhattan,Compass
1682,"738 St Nicholas Avenue, Unit 3F",Hamilton Heights,1550,Studio,1 BA,Manhattan,Compass
1683,"219 East 84th Street, Unit 4D",Upper East Side,2595,Studio,1 BA,Manhattan,Compass
1684,"324 East 90th Street, Unit 5E",Upper East Side,4525,4 BD,1 BA,Manhattan,Compass
1685,"105 West 29th Street, Unit 45D",Chelsea,9274,2 BD,2 BA,Manhattan,Compass
1686,"105 West 29th Street, Unit 39I",Chelsea,5216,1 BD,1 BA,Manhattan,Compass
1687,"130 West 15th Street, Unit 11F",Chelsea,9205,2 BD,2 BA,Manhattan,Compass
1688,"160 Riverside Boulevard, Unit 15R",Upper West Side,4161,1 BD,1 BA,Manhattan,Compass
1689,"43 West 61st Street, Unit 24Y",Upper West Side,2950,Studio,1 BA,Manhattan,Compass
1690,"226 East 74th Street, Unit 3E",Upper East Side,2300,Studio,1 BA,Manhattan,Compass
1691,"200 East 71st Street, Unit 9G",Upper East Side,4250,1 BD,1 BA,Manhattan,Compass
1692,"1680 York Avenue, Unit 6D",Upper East Side,3000,1 BD,1 BA,Manhattan,Compass
1693,"1680 York Avenue, Unit 5A",Upper East Side,2500,Studio,1 BA,Manhattan,Compass
1694,"1680 York Avenue, Unit 5J",Upper East Side,2500,Studio,1 BA,Manhattan,Compass
1695,"269 East 10th Street, Unit 2",East Village,2600,1 BD,1 BA,Manhattan,Compass
1696,"140 Wadsworth Avenue, Unit 6",Washington Heights,2650,2 BD,1 BA,Manhattan,Compass
1697,"625 West 57th Street, Unit 1508",Hell's Kitchen,5395,1 BD,1 BA,Manhattan,Compass
1698,"310 Greenwich Street, Unit 19L",TriBeCa,6295,2 BD,2 BA,Manhattan,Compass
1699,"127 East 61st Street, Unit 3R",Upper East Side,2295,Studio,1 BA,Manhattan,Compass
1700,"625 West 57th Street, Unit 319",Hell's Kitchen,3795,Studio,1 BA,Manhattan,Compass
1701,"625 West 57th Street, Unit 1207",Hell's Kitchen,4500,1 BD,1 BA,Manhattan,Compass
1702,"150 East 44th Street, Unit 24E",Midtown East,4200,1 BD,1 BA,Manhattan,Compass
1703,"150 East 44th Street, Unit 22G",Midtown East,4795,1 BD,1.5 BA,Manhattan,Compass
1704,"150 East 44th Street, Unit 20H",Midtown East,6175,2 BD,2 BA,Manhattan,Compass
1705,"411 West 35th Street, Unit PHW",Hudson Yards,7354,2 BD,2 BA,Manhattan,Compass
1706,"105 East 88th Street, Unit 1B",Upper East Side,5100,3 BD,1.5 BA,Manhattan,Compass
1707,"105 East 88th Street, Unit 1B",Upper East Side,5100,3 BD,1.5 BA,Manhattan,Compass
1708,229 Chrystie Street,Lower East Side,6295,1 BD,1 BA,Manhattan,Compass
1709,"229 Chrystie Street, Unit 901",Lower East Side,5025,1 BD,1 BA,Manhattan,Compass
1710,"229 Chrystie Street, Unit 908",Lower East Side,3675,Studio,1 BA,Manhattan,Compass
1711,"229 Chrystie Street, Unit 815",Lower East Side,7595,2 BD,2 BA,Manhattan,Compass
1712,"229 Chrystie Street, Unit 407",Lower East Side,3525,Studio,1 BA,Manhattan,Compass
1713,"50 East 28th Street, Unit 4L",NoMad,7825,2 BD,2 BA,Manhattan,Compass
1714,"229 Chrystie Street, Unit 338",Lower East Side,5395,1 BD,1 BA,Manhattan,Compass
1715,"229 Chrystie Street, Unit 1215",Lower East Side,7895,2 BD,2 BA,Manhattan,Compass
1716,"229 Chrystie Street, Unit 1016",Lower East Side,5155,1 BD,1 BA,Manhattan,Compass
1717,"229 Chrystie Street, Unit 1104",Lower East Side,3935,Studio,1 BA,Manhattan,Compass
1718,"750 Columbus Avenue, Unit 10H",Upper West Side,6169,2 BD,2 BA,Manhattan,Compass
1719,"105 West 29th Street, Unit 36F",Chelsea,4484,Studio,1 BA,Manhattan,Compass
1720,"180 Riverside Boulevard, Unit 313",Upper West Side,3304,1 BD,1 BA,Manhattan,Compass
1721,"410 West 53rd Street, Unit 403",Hell's Kitchen,3800,1 BD,1 BA,Manhattan,Compass
1722,"242 East 71st Street, Unit 2E",Upper East Side,4750,3 BD,1.5 BA,Manhattan,Compass
1723,"792 Columbus Avenue, Unit 3P",Upper West Side,4892,1 BD,1 BA,Manhattan,Compass
1724,"610 West 164th Street, Unit 23",Washington Heights,2177,3 BD,1 BA,Manhattan,Compass
1725,"784 Columbus Avenue, Unit 10M",Upper West Side,5077,2 BD,2 BA,Manhattan,Compass
1726,"1402 Lexington Avenue, Unit 1",Upper East Side,5025,3 BD,2 BA,Manhattan,Compass
1727,"1402 Lexington Avenue, Unit 1",Upper East Side,5025,3 BD,2 BA,Manhattan,Compass
1728,"224 East 27th Street, Unit 3C",Kips Bay,2395,1 BD,1 BA,Manhattan,Compass
1729,"305-315 East 86th Street, Unit 21FE",Upper East Side,4652,1 BD,2 BA,Manhattan,Compass
1730,"215 East 68th Street, Unit 9E",Upper East Side,5850,1 BD,2 BA,Manhattan,Compass
1731,"215 East 68th Street, Unit 9E",Upper East Side,5850,1 BD,2 BA,Manhattan,Compass
1732,"788 Columbus Avenue, Unit 1S",Upper West Side,3042,1 BD,1 BA,Manhattan,Compass
1733,"215 East 68th Street, Unit 21F",Upper East Side,5850,1 BD,2 BA,Manhattan,Compass
1734,"215 East 68th Street, Unit 21F",Upper East Side,5850,1 BD,2 BA,Manhattan,Compass
1735,"5 Tudor City Place, Unit B6",Murray Hill,1900,Studio,1 BA,Manhattan,Compass
1736,"215 East 68th Street, Unit 12F",Upper East Side,7435,2 BD,2 BA,Manhattan,Compass
1737,"215 East 68th Street, Unit 12F",Upper East Side,7435,2 BD,2 BA,Manhattan,Compass
1738,"164 Attorney, Unit 504",Lower East Side,4000,1 BD,1 BA,Manhattan,Compass
1739,"164 Attorney Street, Unit 504",Lower East Side,4000,1 BD,1 BA,Manhattan,Compass
1740,"102 Norfolk Street, Unit 17",Lower East Side,4995,3 BD,1 BA,Manhattan,Compass
1741,"215 East 68th Street, Unit 11K",Upper East Side,5850,1 BD,2 BA,Manhattan,Compass
1742,"215 East 68th Street, Unit 11K",Upper East Side,5850,1 BD,2 BA,Manhattan,Compass
1743,"215 East 68th Street, Unit 11Z",Upper East Side,4100,1 BD,1 BA,Manhattan,Compass
1744,"215 East 68th Street, Unit 11Z",Upper East Side,4100,1 BD,1 BA,Manhattan,Compass
1745,"298 Mulberry Street, Unit 3R",NoHo,5150,1 BD,1 BA,Manhattan,Compass
1746,"5 Tudor City Place, Unit 417",Murray Hill,1750,Studio,1 BA,Manhattan,Compass
1747,"337 East 77th Street, Unit 2A",Upper East Side,2475,Studio,1 BA,Manhattan,Compass
1748,"211 East 33rd, Unit 5B",Kips Bay,4500,3 BD,1.5 BA,Manhattan,Compass
1749,"211 East 33rd Street, Unit 5B",Kips Bay,5000,3 BD,1.5 BA,Manhattan,Compass
1750,"120 St Marks Place, Unit 5F",East Village,5400,3 BD,2 BA,Manhattan,Compass
1751,"301 West 105th Street, Unit 5R",Upper West Side,2800,1 BD,1 BA,Manhattan,Compass
1752,"301 West 105th Street, Unit 2F",Upper West Side,2300,Studio,1 BA,Manhattan,Compass
1753,"245 East 30th Street, Unit 54A",Kips Bay,4500,2 BD,1 BA,Manhattan,Compass
1754,"245 East 30th Street, Unit 54A",Kips Bay,4050,2 BD,1 BA,Manhattan,Compass
1755,"125 West 138th Street, Unit 2LL",Harlem,3800,4 BD,2 BA,Manhattan,Compass
1756,"125 West 138th Street, Unit 2LL",Harlem,3800,4 BD,2 BA,Manhattan,Compass
1757,"282 11th Avenue, Unit 202",Chelsea,3165,Studio,1 BA,Manhattan,Compass
1758,"56 West 84th Street, Unit 1F",Upper West Side,2250,Studio,1 BA,Manhattan,Compass
1759,"952 5th Avenue, Unit 4C",Upper East Side,7250,2 BD,2 BA,Manhattan,Compass
1760,"952 5th Avenue, Unit 4C",Upper East Side,7250,2 BD,2 BA,Manhattan,Compass
1761,"240 Central Park South, Unit 18I",Central Park South,10154,2 BD,2 BA,Manhattan,Compass
1762,"647 East 11th Street, Unit 19","Manhattan, NY 10009",4650,3 BD,1 BA,Manhattan,Compass
1763,"237 West 123rd Street, Unit 1",Harlem,3395,1 BD,1 BA,Manhattan,Compass
1764,"237 West 123rd Street, Unit 1",Harlem,3395,1 BD,1 BA,Manhattan,Compass
1765,"200 East 11th Street, Unit 403",East Village,4095,Studio,1 BA,Manhattan,Compass
1766,"1080 Amsterdam Avenue, Unit 1703",Morningside Heights,4217,1 BD,1 BA,Manhattan,Compass
1767,"456 Washington Street, Unit 3E",TriBeCa,8601,2 BD,2 BA,Manhattan,Compass
1768,"624 East 9th Street, Unit 4",East Village,5500,3 BD,2 BA,Manhattan,Compass
1769,355 East 4th Street,East Village,3500,3 BD,1 BA,Manhattan,Compass
1770,"241 Central Park West, Unit 16D",Upper West Side,14000,2 BD,3 BA,Manhattan,Compass
1771,"241 Central Park West, Unit 16D",Upper West Side,14000,2 BD,3 BA,Manhattan,Compass
1772,"8 Spruce Street, Unit 75C",Financial District,7815,2 BD,2 BA,Manhattan,Compass
1773,"8 Spruce Street, Unit 33T",Financial District,6950,2 BD,2 BA,Manhattan,Compass
1774,"8 Spruce Street, Unit 8U",Financial District,3180,Studio,1 BA,Manhattan,Compass
1775,"459 West 43rd Street, Unit 2A",Hell's Kitchen,4850,3 BD,1 BA,Manhattan,Compass
1776,"1716 2nd Avenue, Unit 3F",Upper East Side,2850,2 BD,1 BA,Manhattan,Compass
1777,"1716 2nd Avenue, Unit 3F",Upper East Side,2850,2 BD,1 BA,Manhattan,Compass
1778,"150 East 85th Street, Unit 9G",Upper East Side,3495,1 BD,1 BA,Manhattan,Compass
1779,"341 West 45th Street, Unit 602",Hell's Kitchen,4050,2 BD,1 BA,Manhattan,Compass
1780,"341 West 45th Street, Unit 300",Hell's Kitchen,3375,2 BD,1 BA,Manhattan,Compass
1781,"255 West 94th Street, Unit 14R",Upper West Side,4730,1 BD,1 BA,Manhattan,Compass
1782,"105 Duane Street, Unit 48BC",TriBeCa,13305,3 BD,3 BA,Manhattan,Compass
